Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
REACTOME_PATHWAY	R-HSA-1474244~Extracellular matrix organization	28	21.705426356589147	2.5258590161906306E-22	FBN2, ITGB1, APP, LAMA2, LAMA4, COL11A1, ITGB3, COL12A1, TNC, PLOD2, LAMC1, NID1, NID2, HAPLN1, SCUBE3, ITGAV, JAM2, ITGA4, ITGA1, FN1, COL3A1, VCAN, P4HA1, COL4A4, COL5A2, COL4A5, COL6A3, FBN1	84	300	10946	12.162222222222221	1.0027660294276803E-19	1.005291888443871E-19	9.421454130391052E-20
GOTERM_BP_DIRECT	GO:0007155~cell adhesion	31	24.031007751937985	1.622091863168133E-20	ITGB1, APP, CNTNAP1, NRP2, CCL11, LAMA2, LAMA4, ITGB3, COL12A1, TNC, NEDD9, LAMC1, THBS2, NID2, CLDN1, HAPLN1, THBS3, ITGAV, SVEP1, NEO1, EDIL3, AOC3, POSTN, ENTPD1, ITGA4, ITGA1, FN1, VCAN, FAP, FAT1, COL6A3	118	555	19333	9.151366620858147	1.8686498263696893E-17	1.8670277345065212E-17	1.8329638053799905E-17
REACTOME_PATHWAY	R-HSA-3000178~ECM proteoglycans	16	12.4031007751938	8.028421284917784E-18	ITGB1, APP, LAMA2, LAMA4, ITGB3, TNC, FN1, LAMC1, HAPLN1, COL3A1, VCAN, COL4A4, COL5A2, COL4A5, COL6A3, ITGAV	84	76	10946	27.433583959899746	3.18728325011236E-15	1.5976558356986389E-15	1.4973005696371666E-15
REACTOME_PATHWAY	R-HSA-3000171~Non-integrin membrane-ECM interactions	13	10.077519379844961	1.332747598005431E-14	ITGB1, LAMA2, LAMA4, ITGB3, COL11A1, TNC, FN1, LAMC1, COL3A1, COL4A4, COL5A2, COL4A5, ITGAV	84	59	10946	28.712267958030672	5.289102489314246E-12	1.7681118133538716E-12	1.6570495135200858E-12
REACTOME_PATHWAY	R-HSA-216083~Integrin cell surface interactions	14	10.852713178294573	4.925311145591266E-14	ITGB1, ITGA4, ITGB3, ITGA1, TNC, FN1, COL3A1, COL4A4, COL5A2, COL4A5, COL6A3, ITGAV, JAM2, FBN1	84	85	10946	21.462745098039214	1.956967921046271E-11	4.90068458986331E-12	4.5928526432638556E-12
REACTOME_PATHWAY	R-HSA-3000157~Laminin interactions	10	7.751937984496124	6.676043072707241E-13	ITGB1, LAMA2, COL4A4, LAMA4, ITGA1, COL4A5, ITGAV, LAMC1, NID1, NID2	84	30	10946	43.43650793650793	2.6502811056872133E-10	5.314130285874963E-11	4.9803281322396015E-11
REACTOME_PATHWAY	R-HSA-1474228~Degradation of the extracellular matrix	13	10.077519379844961	5.313557733333977E-10	FBN2, COL11A1, COL12A1, FN1, LAMC1, NID1, SCUBE3, COL3A1, COL4A4, COL5A2, COL4A5, COL6A3, FBN1	84	140	10946	12.10017006802721	2.1094820545908277E-7	3.5246599631115374E-8	3.303261724222622E-8
GOTERM_BP_DIRECT	GO:0007160~cell-matrix adhesion	11	8.527131782945736	9.577510993143228E-10	ITGB1, COL3A1, ITGA4, ITGB3, ITGA1, FN1, ITGAV, ADAMTS12, NID1, NID2, THBS3	118	107	19333	16.84325993980675	1.1033286597683656E-6	5.511857576553927E-7	5.411293711125924E-7
REACTOME_PATHWAY	R-HSA-8874081~MET activates PTK2 signaling	8	6.2015503875969	1.970435870007456E-9	ITGB1, COL3A1, LAMA2, COL11A1, LAMA4, COL5A2, FN1, LAMC1	84	30	10946	34.74920634920635	7.822627131615079E-7	1.1203335375185248E-7	1.0499608278754015E-7
REACTOME_PATHWAY	R-HSA-8875878~MET promotes cell motility	8	6.2015503875969	2.034909954275486E-8	ITGB1, COL3A1, LAMA2, COL11A1, LAMA4, COL5A2, FN1, LAMC1	84	41	10946	25.426248548199766	8.07855995854645E-6	1.0123677022520543E-6	9.487767661809454E-7
