Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
REACTOME_PATHWAY	R-HSA-1474244~Extracellular matrix organization	30	10.79136690647482	1.7292845019813414E-16	FBN2, ITGB1, APP, LAMA2, LAMA4, COL11A1, ITGB3, COL12A1, TNC, ICAM3, PLOD2, LAMC1, NID1, NID2, HAPLN1, SCUBE3, MMP24, ITGAV, JAM2, ITGA4, ITGA1, FN1, COL3A1, VCAN, P4HA1, COL4A4, COL5A2, COL4A5, COL6A3, FBN1	158	300	10946	6.927848101265823	1.4810375148499588E-13	1.155162047323536E-13	1.1205763572839092E-13
GOTERM_BP_DIRECT	GO:0007155~cell adhesion	34	12.23021582733813	8.184963286860185E-14	ITGB1, APP, CNTNAP1, NRP2, CCL11, LAMA2, LAMA4, ITGB3, COL12A1, TNC, NEDD9, ICAM3, LAMC1, THBS2, NID2, CLDN1, HAPLN1, THBS3, CYP1B1, ITGAV, SVEP1, NEO1, EDIL3, AOC3, POSTN, ENTPD1, ITGA4, ITGA1, FN1, VCAN, FAP, FAT1, COL6A3, CDH15	241	555	19333	4.914373294456282	1.4302736772719982E-10	1.4299130862144742E-10	1.415998648626812E-10
REACTOME_PATHWAY	R-HSA-3000178~ECM proteoglycans	16	5.755395683453238	1.5222465887372332E-13	ITGB1, APP, LAMA2, LAMA4, ITGB3, TNC, FN1, LAMC1, HAPLN1, COL3A1, VCAN, COL4A4, COL5A2, COL4A5, COL6A3, ITGAV	158	76	10946	14.584943371085942	1.0152512164296468E-10	5.0843036063823586E-11	4.932078947508636E-11
REACTOME_PATHWAY	R-HSA-216083~Integrin cell surface interactions	15	5.39568345323741	1.3738624046954642E-11	ITGB1, ITGA4, ITGB3, ITGA1, TNC, FN1, ICAM3, COL3A1, COL4A4, COL5A2, COL4A5, COL6A3, ITGAV, JAM2, FBN1	158	85	10946	12.225614296351454	9.163697467506893E-9	3.0591336211219E-9	2.9675427941422026E-9
REACTOME_PATHWAY	R-HSA-3000171~Non-integrin membrane-ECM interactions	13	4.676258992805756	3.109632655059754E-11	ITGB1, LAMA2, LAMA4, ITGB3, COL11A1, TNC, FN1, LAMC1, COL3A1, COL4A4, COL5A2, COL4A5, ITGAV	158	59	10946	15.264750053636558	2.0741263706547386E-8	5.1930865339497894E-9	5.037604901196802E-9
REACTOME_PATHWAY	R-HSA-3000157~Laminin interactions	10	3.597122302158273	2.2575761753035878E-10	ITGB1, LAMA2, COL4A4, LAMA4, ITGA1, COL4A5, ITGAV, LAMC1, NID1, NID2	158	30	10946	23.09282700421941	1.5058033109305313E-7	3.0161217702055934E-8	2.92581872319345E-8
REACTOME_PATHWAY	R-HSA-1474228~Degradation of the extracellular matrix	14	5.0359712230215825	9.86645756809695E-8	FBN2, COL11A1, COL12A1, FN1, LAMC1, NID1, SCUBE3, COL3A1, MMP24, COL4A4, COL5A2, COL4A5, COL6A3, FBN1	158	140	10946	6.927848101265822	6.580710987669214E-5	9.862502945670469E-6	9.567218426339018E-6
REACTOME_PATHWAY	R-HSA-9006934~Signaling by Receptor Tyrosine Kinases	26	9.352517985611511	1.033495817660079E-7	ITGB1, CD274, NRP2, LAMA2, LAMA4, COL11A1, ITGB3, LAMC1, THBS2, THBS3, LYL1, ITGAV, ATP6V1E2, SH2B2, POLR2L, PDGFRB, DUSP4, FN1, CYBA, COL3A1, COL4A4, ID1, COL5A2, COL4A5, ID3, COL6A3	158	524	10946	3.437481882307469	6.89317987048188E-5	9.862502945670469E-6	9.567218426339018E-6
REACTOME_PATHWAY	R-HSA-8874081~MET activates PTK2 signaling	8	2.877697841726619	1.6855777708122792E-7	ITGB1, COL3A1, LAMA2, COL11A1, LAMA4, COL5A2, FN1, LAMC1	158	30	10946	18.474261603375528	1.1242172698455732E-4	1.4074574386282531E-5	1.3653179943579463E-5
GOTERM_BP_DIRECT	GO:0007160~cell-matrix adhesion	11	3.9568345323741005	8.833427276628492E-7	ITGB1, COL3A1, ITGA4, ITGB3, ITGA1, FN1, ITGAV, ADAMTS12, NID1, NID2, THBS3	241	107	19333	8.246907356419902	0.0015428922858620187	7.715998726134988E-4	7.640914594283645E-4
REACTOME_PATHWAY	R-HSA-8875878~MET promotes cell motility	8	2.877697841726619	1.6306993616357681E-6	ITGB1, COL3A1, LAMA2, COL11A1, LAMA4, COL5A2, FN1, LAMC1	158	41	10946	13.517752392713799	0.001087086054443298	1.2103413039696591E-4	1.1741035403777531E-4
REACTOME_PATHWAY	R-HSA-3000170~Syndecan interactions	7	2.5179856115107913	1.8256950921286037E-6	ITGB1, COL3A1, ITGB3, COL5A2, TNC, FN1, ITGAV	158	27	10946	17.96108766994843	0.0012169985938815797	1.2195643215419072E-4	1.1830504196993351E-4
GOTERM_BP_DIRECT	GO:0035633~maintenance of permeability of blood-brain barrier	7	2.5179856115107913	1.9519875243819396E-6	ITGB1, IL6, LAMA2, LAMC1, CLDN1, JAM2, TJP2	241	31	19333	18.114174809262483	0.0034062630013794726	0.0011367074016984163	0.0011256461390602517
REACTOME_PATHWAY	R-HSA-1650814~Collagen biosynthesis and modifying enzymes	9	3.237410071942446	4.769850231794789E-6	COL3A1, P4HA1, COL11A1, COL4A4, COL12A1, COL5A2, COL4A5, COL6A3, PLOD2	158	67	10946	9.306064613640658	0.0031764420913424907	2.896599958944472E-4	2.8098754092754756E-4
GOTERM_BP_DIRECT	GO:0030199~collagen fibril organization	8	2.877697841726619	9.184257728133586E-6	COL3A1, P4HA1, PTPRQ, COL11A1, COL12A1, COL5A2, CYP1B1, ADAMTS12	241	60	19333	10.695988934993085	0.015925975128644354	0.0040112245627623435	0.003972191467417776
REACTOME_PATHWAY	R-HSA-186797~Signaling by PDGF	8	2.877697841726619	1.7781777570268594E-5	PDGFRB, COL3A1, COL4A4, COL5A2, COL4A5, COL6A3, THBS2, THBS3	158	58	10946	9.5556525534701	0.01179049200776594	9.898522847449516E-4	9.602159887945041E-4
GOTERM_BP_DIRECT	GO:0043065~positive regulation of apoptotic process	16	5.755395683453238	1.8483443062211078E-5	PDGFRB, ITGB1, NOTCH2, APP, PRR7, FZD9, OSGIN1, IGF2R, TFPT, IL6, EEF1A2, ID3, CYP1B1, HMOX1, PLEKHN1, TGM2	241	332	19333	3.866020096985452	0.031792985937996954	0.00645811500593655	0.0063952712995250325
GOTERM_BP_DIRECT	GO:0048661~positive regulation of smooth muscle cell proliferation	8	2.877697841726619	2.566013051041395E-5	PDGFRB, IL6, ITGB3, CDH13, HMOX1, CYBA, SKP2, TGM2	241	70	19333	9.167990515708357	0.04386339475252976	0.007471374666948863	0.007398670963836022
