Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
REACTOME_PATHWAY	R-HSA-1474244~Extracellular matrix organization	40	9.280742459396752	4.6283098900402673E-17	FBN2, ITGB1, APP, LAMA2, LAMA4, COL11A1, ITGB3, SDC2, COL12A1, TNC, PLOD2, LAMC1, NID1, NID2, FBLN5, HAPLN1, SCUBE3, CTSK, ITGAV, JAM2, ITGA4, LAMB2, ITGA1, FN1, ADAM10, CASK, LAMB1, COL3A1, VCAN, P4HA1, P4HA2, COL4A4, MFAP3, COL5A2, COL4A5, COL6A3, ADAM9, CD47, FBN1, DDR2	287	300	10946	5.085249709639953	4.0266296043350323E-14	4.031257914225073E-14	3.855382138403543E-14
GOTERM_BP_DIRECT	GO:0007155~cell adhesion	46	10.672853828306264	2.0228596583812724E-15	ITGB1, APP, CNTNAP1, NRP2, CCL11, LAMA2, LAMA4, ITGB3, COL12A1, TNC, NEDD9, ATP2A2, LAMC1, THBS2, NID2, CLDN1, HAPLN1, ROBO1, THBS3, GPNMB, NPTN, ITGAV, SVEP1, CCN1, NEO1, EDIL3, LMLN, AOC3, CD164, POSTN, ENTPD1, ITGA4, ITGA1, FN1, CASK, LAMB1, ATP1B1, VCAN, FAP, CDH11, FAT1, COL6A3, ADAM9, CD47, FERMT2, DDR2	392	555	19333	4.087690751976466	5.051958851254312E-12	5.1117663567294754E-12	5.051080566978037E-12
REACTOME_PATHWAY	R-HSA-3000171~Non-integrin membrane-ECM interactions	18	4.176334106728538	7.939499321425303E-14	ITGB1, LAMA2, LAMB2, LAMA4, ITGB3, SDC2, COL11A1, TNC, FN1, CASK, LAMB1, LAMC1, COL3A1, COL4A4, COL5A2, COL4A5, ITGAV, DDR2	287	59	10946	11.635740861040572	6.906142324680786E-11	3.4576519544807193E-11	3.3068014673736385E-11
REACTOME_PATHWAY	R-HSA-3000178~ECM proteoglycans	18	4.176334106728538	7.331045242734079E-12	ITGB1, APP, LAMA2, LAMB2, LAMA4, ITGB3, TNC, FN1, LAMB1, LAMC1, HAPLN1, COL3A1, VCAN, COL4A4, COL5A2, COL4A5, COL6A3, ITGAV	287	76	10946	9.033009352649916	6.377991468298205E-9	2.1284468021404608E-9	2.035586895732496E-9
REACTOME_PATHWAY	R-HSA-3000157~Laminin interactions	12	2.784222737819025	1.1244678047290632E-10	ITGB1, LAMA2, LAMB2, COL4A4, LAMA4, ITGA1, COL4A5, ITGAV, LAMB1, LAMC1, NID1, NID2	287	30	10946	15.255749128919861	9.78287370001496E-8	2.448528644797535E-8	2.341704203348274E-8
REACTOME_PATHWAY	R-HSA-8957275~Post-translational protein phosphorylation	19	4.408352668213457	3.170927449916495E-10	MBTPS1, APP, IGFBP5, LAMB2, SDC2, TNC, FN1, ADAM10, LAMB1, MIA3, LAMC1, FSTL1, DNAJC3, TGOLN2, IL6, VCAN, CALU, CCN1, FBN1	287	108	10946	6.70970447799716	2.7587069495460526E-7	5.5237556177545344E-8	5.282765131560881E-8
REACTOME_PATHWAY	R-HSA-381426~Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	19	4.408352668213457	3.658986744890952E-9	MBTPS1, APP, IGFBP5, LAMB2, SDC2, TNC, FN1, ADAM10, LAMB1, MIA3, LAMC1, FSTL1, DNAJC3, TGOLN2, IL6, VCAN, CALU, CCN1, FBN1	287	125	10946	5.797184668989547	3.1833134378489447E-6	5.311629091333364E-7	5.079893264156939E-7
GOTERM_BP_DIRECT	GO:0030335~positive regulation of cell migration	23	5.336426914153132	2.310693635983867E-8	PDGFRB, ITGB1, ACVR1, CD274, TCAF2, CCL11, MYOC, CAV1, NEDD9, ADAM10, LAMB1, CLDN1, EGFR, TGFBR1, MYLK, GPNMB, MGAT5, GCNT2, ADAM9, CDH13, ITGAV, CCN1, FERMT2	392	264	19333	4.296720392702536	5.841262971972849E-5	2.8284582950578782E-5	2.7948794470753945E-5
GOTERM_BP_DIRECT	GO:0007160~cell-matrix adhesion	15	3.480278422273782	3.357884798248371E-8	ITGB1, ITGA4, ITGB3, ITGA1, FN1, ADAMTS12, NID1, NID2, FBLN5, THBS3, COL3A1, BCL6, ADAM9, ITGAV, FERMT2	392	107	19333	6.913861338928095	8.488372643145059E-5	2.8284582950578782E-5	2.7948794470753945E-5
REACTOME_PATHWAY	R-HSA-216083~Integrin cell surface interactions	15	3.480278422273782	3.6199223306905124E-8	ITGB1, ITGA4, ITGB3, ITGA1, TNC, FN1, COL3A1, COL4A4, COL5A2, COL4A5, COL6A3, ITGAV, CD47, JAM2, FBN1	287	85	10946	6.7304775568764095	3.149282891889982E-5	4.504217642902052E-6	4.30770757352171E-6
REACTOME_PATHWAY	R-HSA-8874081~MET activates PTK2 signaling	10	2.320185614849188	4.423898767572302E-8	ITGB1, COL3A1, LAMA2, LAMB2, COL11A1, LAMA4, COL5A2, FN1, LAMB1, LAMC1	287	30	10946	12.713124274099883	3.8487179495838575E-5	4.816519783194344E-6	4.606384591734659E-6
REACTOME_PATHWAY	R-HSA-8875878~MET promotes cell motility	11	2.5522041763341066	6.942403714978716E-8	ITGB1, COL3A1, LAMA2, LAMB2, COL11A1, LAMA4, COL5A2, FN1, LAMB1, LAMC1, CRKL	287	41	10946	10.23251465964137	6.039709047045427E-5	6.71870403971829E-6	6.425580327308079E-6
REACTOME_PATHWAY	R-HSA-3000170~Syndecan interactions	9	2.088167053364269	2.839732337382693E-7	ITGB1, COL3A1, ITGB3, SDC2, COL5A2, TNC, FN1, CASK, ITGAV	287	27	10946	12.713124274099883	2.4702623239736266E-4	2.4734068658603255E-5	2.3654970370397832E-5
REACTOME_PATHWAY	R-HSA-1474228~Degradation of the extracellular matrix	17	3.944315545243619	7.198209925532554E-7	FBN2, COL11A1, COL12A1, FN1, ADAM10, LAMB1, LAMC1, NID1, SCUBE3, COL3A1, COL4A4, CTSK, COL5A2, COL4A5, COL6A3, ADAM9, FBN1	287	140	10946	4.631209556993529	6.260484387922149E-4	5.6996734955807775E-5	5.451008061789653E-5
GOTERM_BP_DIRECT	GO:0071711~basement membrane organization	7	1.6241299303944314	9.952695388954661E-7	ITGB1, COL3A1, FLRT2, CAV1, HMCN1, NID1, NID2	392	18	19333	19.17956349206349	0.0025128800640508153	5.678544028771324E-4	5.611129576510484E-4
GOTERM_BP_DIRECT	GO:0001503~ossification	12	2.784222737819025	1.1235742043473137E-6	EXT2, TWSG1, SUN1, SORT1, COL11A1, CDH11, COL5A2, LRRC17, EIF2AK3, STC1, EGFR, DDR2	392	85	19333	6.96266506602641	0.002836367072803214	5.678544028771324E-4	5.611129576510484E-4
GOTERM_BP_DIRECT	GO:0034446~substrate adhesion-dependent cell spreading	10	2.320185614849188	2.291149908378498E-6	ATRN, ITGA4, LAMB2, ITGB3, FN1, ITGAV, LAMB1, LAMC1, BVES, FERMT2	392	58	19333	8.503254750175932	0.005775292114907127	9.649559697454108E-4	9.535002202035183E-4
REACTOME_PATHWAY	R-HSA-1660662~Glycosphingolipid metabolism	10	2.320185614849188	2.3597475441254533E-6	GALC, UGCG, ASAH1, GLB1, ARSJ, HEXA, PSAP, ESYT1, ARSB, SUMF1	287	46	10946	8.29116800484775	0.0020508768578995085	1.712783425777725E-4	1.638058086880419E-4
GOTERM_BP_DIRECT	GO:0030199~collagen fibril organization	10	2.320185614849188	3.06930918142148E-6	COL3A1, P4HA1, PTPRQ, COL11A1, COL12A1, COL5A2, ADAMTS12, ATP7A, TGFBR1, DDR2	392	60	19333	8.219812925170068	0.00772920043523484	0.0011080206144931542	0.0010948664322870622
GOTERM_BP_DIRECT	GO:0030433~ubiquitin-dependent ERAD pathway	11	2.5522041763341066	5.342154552675465E-6	TMEM67, EDEM1, SEL1L, FAF2, DNAJC10, UBE4A, DNAJB9, MAN1A1, STT3B, ERLIN2, MARCHF6	392	81	19333	6.6976253464348705	0.013414219368417801	0.0016874530693263626	0.0016674199897538295
REACTOME_PATHWAY	R-HSA-6806834~Signaling by MET	12	2.784222737819025	5.960659527611379E-6	ITGB1, COL3A1, LAMA2, LAMB2, COL11A1, LAMA4, COL5A2, FN1, LAMB1, LAMC1, CBL, CRKL	287	79	10946	5.793322454020201	0.005172366252328198	3.993641883499624E-4	3.81940722038483E-4
REACTOME_PATHWAY	R-HSA-556833~Metabolism of lipids	41	9.51276102088167	9.300418785403263E-6	AGPAT5, ASAH1, INSIG2, HEXA, MSMO1, SGMS2, HMGCR, HSD17B7, HACD2, SELENOI, ACACA, PTGS1, AGPAT4, FADS2, UGCG, MED14, ARSJ, PSAP, PIP5K1A, CEPT1, FADS1, ARSB, ABCA1, MBTPS1, STARD4, CERS6, SEC24A, ELOVL4, ELOVL5, PLEKHA2, CAV1, ACSL3, SUMF1, GALC, SQLE, FABP3, GLB1, SCD, PPT1, ESYT1, PLA2R1	287	743	10946	2.1045952701403574	0.00805875469061279	5.786189115775887E-4	5.533749177314941E-4
REACTOME_PATHWAY	R-HSA-382551~Transport of small molecules	40	9.280742459396752	1.3489419307007693E-5	SLC35B4, TFRC, SEL1L, ATP2A2, SLC2A3, VLDLR, SLC7A2, RYR3, ATP7B, HEPH, SLC39A6, LRRC8D, STOM, SLC12A6, ATP7A, SLC15A4, LDLR, ABCA1, SLC36A1, MBTPS1, SLC38A1, SLC35A3, SLC16A1, TRPA1, TRPC4, SLC11A2, SLC33A1, NIPA1, ATP11C, ATP11B, ANO6, ERLIN2, ATP1B1, SLC39A14, CLCN5, SLC7A6, NPC1, SLC9A6, SOAT1, GNB4	287	728	10946	2.0955699352911896	0.011667277193501469	7.832856144269134E-4	7.491124188491606E-4
