Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
REACTOME_PATHWAY	R-HSA-3000171~Non-integrin membrane-ECM interactions	18	1.7578125	2.6066609029714166E-8	ITGB1, LAMA2, LAMB2, LAMA4, ITGB3, SDC2, COL11A1, TNC, FN1, CASK, LAMB1, LAMC1, COL3A1, COL4A4, COL5A2, COL4A5, ITGAV, DDR2	644	59	10946	5.185493209811559	3.803045982475606E-5	3.805724918338268E-5	3.761411682987754E-5
REACTOME_PATHWAY	R-HSA-1474244~Extracellular matrix organization	42	4.1015625	3.2958401414733537E-7	FBN2, ITGB1, APP, LAMA2, LAMA4, COL11A1, ITGB3, SDC2, COL12A1, TNC, ICAM3, PLOD2, LAMC1, NID1, NID2, FBLN5, HAPLN1, SCUBE3, MMP24, CTSK, ITGAV, JAM2, ITGA4, LAMB2, ITGA1, FN1, ADAM10, CASK, LAMB1, COL3A1, VCAN, P4HA1, P4HA2, COL4A4, MFAP3, COL5A2, COL4A5, COL6A3, ADAM9, CD47, FBN1, DDR2	644	300	10946	2.3795652173913044	4.807475597897737E-4	2.4059633032755482E-4	2.3779486620730247E-4
REACTOME_PATHWAY	R-HSA-3000157~Laminin interactions	12	1.171875	5.163299437037539E-7	ITGB1, LAMA2, LAMB2, COL4A4, LAMA4, ITGA1, COL4A5, ITGAV, LAMB1, LAMC1, NID1, NID2	644	30	10946	6.798757763975155	7.530419038472846E-4	2.5128057260249357E-4	2.483547029215056E-4
GOTERM_BP_DIRECT	GO:0007155~cell adhesion	54	5.2734375	1.0474131846904647E-6	ITGB1, APP, CNTNAP1, NRP2, ITGB3, COL12A1, TNC, ICAM3, ATP2A2, LAMC1, AATF, CLDN1, HAPLN1, ROBO1, CDH6, NPTN, CYP1B1, ITGAV, SVEP1, CCN1, NEO1, EDIL3, POSTN, ENTPD1, ITGA4, ITGA1, CASK, ATP1B1, VCAN, NINJ1, CDH11, TYRO3, COL6A3, ADAM9, CD47, CDH15, DDR2, CCL11, LAMA2, LAMA4, NEDD9, THBS2, NID2, THBS3, GPNMB, LMLN, AOC3, CD164, FN1, LAMB1, FAP, FAT1, FERMT2, ADA	917	555	19333	2.0513071413834774	0.004098487429556319	0.004105859683986622	0.0040922433125856455
REACTOME_PATHWAY	R-HSA-3000178~ECM proteoglycans	18	1.7578125	1.403000799286926E-6	ITGB1, APP, LAMA2, LAMB2, LAMA4, ITGB3, TNC, FN1, LAMB1, LAMC1, HAPLN1, COL3A1, VCAN, COL4A4, COL5A2, COL4A5, COL6A3, ITGAV	644	76	10946	4.0255802549852895	0.0020448859681991838	5.12095291739728E-4	5.061325383427586E-4
REACTOME_PATHWAY	R-HSA-8957275~Post-translational protein phosphorylation	20	1.953125	1.4852081622386346E-5	MBTPS1, APP, IGFBP5, LAMB2, SDC2, TNC, FN1, ADAM10, LAMB1, MIA3, LAMC1, FSTL1, DNAJC3, TGOLN2, IL6, VCAN, STC2, CALU, CCN1, FBN1	644	108	10946	3.1475730388773866	0.02143625438172314	0.004336807833736813	0.0042863107562206995
REACTOME_PATHWAY	R-HSA-9006934~Signaling by Receptor Tyrosine Kinases	55	5.37109375	3.5265778186666306E-5	ITGB1, NRP2, NAB1, ITGB3, CLTA, LAMC1, CRKL, LYL1, ITGAV, ATP6V1E2, PDGFRB, DUSP4, MAP2K2, ADAM10, PPP2R5D, CYBA, GTF2F1, HGS, CDC37, COL4A4, COL4A5, COL6A3, YAP1, CD274, SHC3, LAMA2, COL11A1, LAMA4, ITPR2, THBS2, CBL, EGFR, THBS3, FLRT2, AP2S1, POLR2F, POLR2G, AAMP, MAP2K5, SH2B2, POLR2L, LAMB2, CAV1, FN1, VEGFC, LAMB1, BAIAP2, MAPK12, MAPK11, COL3A1, COL5A2, ID1, ID3, DNAL4, MXD4	644	524	10946	1.7840251766156179	0.05015235188802092	0.007696120494768194	0.00760650813284281
REACTOME_PATHWAY	R-HSA-8874081~MET activates PTK2 signaling	10	0.9765625	3.6899207851628324E-5	ITGB1, COL3A1, LAMA2, LAMB2, COL11A1, LAMA4, COL5A2, FN1, LAMB1, LAMC1	644	30	10946	5.665631469979296	0.052413390284019146	0.007696120494768194	0.00760650813284281
GOTERM_BP_DIRECT	GO:0051149~positive regulation of muscle cell differentiation	7	0.68359375	3.852411202006864E-5	MAPK11, LAMA2, LAMB2, LAMB1, LAMC1, NID1, MAPK12	917	15	19333	9.838676844783715	0.140200410965182	0.07550725955933454	0.07525685283120409
REACTOME_PATHWAY	R-HSA-199992~trans-Golgi Network Vesicle Budding	15	1.46484375	6.315536565197307E-5	TBC1D8B, APP, TFRC, SORT1, CLTB, CLTA, GNS, IGF2R, GAK, TGOLN2, AP4M1, HGS, CPD, SNX9, FTL	644	72	10946	3.54101966873706	0.08802854459216136	0.011525854231485085	0.011391649079474642
