Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
REACTOME_PATHWAY	R-HSA-8978868~Fatty acid metabolism	3	21.428571428571427	0.00868683122206489	SCD, CYP1A1, FADS1	10	177	10946	18.552542372881355	0.42786827605806144	0.5288112417133697	0.5288112417133697
GOTERM_BP_DIRECT	GO:0006636~unsaturated fatty acid biosynthetic process	2	14.285714285714285	0.009273504313973342	SCD, FADS1	13	15	19333	198.28717948717951	0.7928960195545625	0.6914381897084402	0.6914381897084402
GOTERM_BP_DIRECT	GO:0033189~response to vitamin A	2	14.285714285714285	0.01234711053050786	CYP1A1, FADS1	13	20	19333	148.71538461538464	0.877500806241858	0.6914381897084402	0.6914381897084402
GOTERM_BP_DIRECT	GO:0042759~long-chain fatty acid biosynthetic process	2	14.285714285714285	0.01234711053050786	CYP1A1, FADS1	13	20	19333	148.71538461538464	0.877500806241858	0.6914381897084402	0.6914381897084402
REACTOME_PATHWAY	R-HSA-9619665~EGR2 and SOX10-mediated initiation of Schwann cell myelination	2	14.285714285714285	0.022796192417304236	DRP2, LAMA2	10	28	10946	78.18571428571428	0.7714139981716356	0.5288112417133697	0.5288112417133697
REACTOME_PATHWAY	R-HSA-8874081~MET activates PTK2 signaling	2	14.285714285714285	0.024406672694463213	LAMA2, COL11A1	10	30	10946	72.97333333333333	0.7943140820056507	0.5288112417133697	0.5288112417133697
REACTOME_PATHWAY	R-HSA-8875878~MET promotes cell motility	2	14.285714285714285	0.03322221602880322	LAMA2, COL11A1	10	41	10946	53.395121951219515	0.8849447692074611	0.5398610104680523	0.5398610104680523
GOTERM_BP_DIRECT	GO:0014070~response to organic cyclic compound	2	14.285714285714285	0.04260601530700564	CYP1A1, FADS1	13	70	19333	42.49010989010989	0.999362724287127	1.0	1.0
GOTERM_BP_DIRECT	GO:0007155~cell adhesion	3	21.428571428571427	0.044881104998939735	CCL11, LAMA2, FAT1	13	555	19333	8.038669438669439	0.9995737083657881	1.0	1.0
REACTOME_PATHWAY	R-HSA-3000171~Non-integrin membrane-ECM interactions	2	14.285714285714285	0.04749499278057642	LAMA2, COL11A1	10	59	10946	37.10508474576272	0.9555875109681737	0.6174349061474935	0.6174349061474935
REACTOME_PATHWAY	R-HSA-6806834~Signaling by MET	2	14.285714285714285	0.0631336934485254	LAMA2, COL11A1	10	79	10946	27.711392405063293	0.9846054252322363	0.6769249369760121	0.6769249369760121
GOTERM_BP_DIRECT	GO:0009615~response to virus	2	14.285714285714285	0.06678158791467914	CCL11, CYP1A1	13	111	19333	26.795564795564797	0.9999915437565284	1.0	1.0
REACTOME_PATHWAY	R-HSA-9675108~Nervous system development	3	21.428571428571427	0.078316340543286	DRP2, LAMA2, VLDLR	10	578	10946	5.681314878892733	0.9945894573046075	0.6769249369760121	0.6769249369760121
GOTERM_BP_DIRECT	GO:0007015~actin filament organization	2	14.285714285714285	0.08239510259978092	CCL11, FAT1	13	138	19333	21.552954292084728	0.9999995115533306	1.0	1.0
REACTOME_PATHWAY	R-HSA-1989781~PPARA activates gene expression	2	14.285714285714285	0.09221971017739379	CYP1A1, FADS1	10	117	10946	18.711111111111112	0.9979546486157083	0.6769249369760121	0.6769249369760121
REACTOME_PATHWAY	R-HSA-400206~Regulation of lipid metabolism by PPARalpha	2	14.285714285714285	0.09372806819667859	CYP1A1, FADS1	10	119	10946	18.396638655462187	0.9981611517229247	0.6769249369760121	0.6769249369760121
