Geneid	M04.CTRL	M04.TGFb	M04.TGFb_VTP	M04.VTP	M77.CTRL	M77.TGFb	M77.TGFb_VTP	M77.VTP	M78.CTRL	M78.TGFb	M78.TGFb_VTP	M78.VTP	M81.CTRL	M81.TGFb	M81.TGFb_VTP	M81.VTP	M89.CTRL	M89.TGFb	M89.TGFb_VTP	M89.VTP	M99.CTRL	M99.TGFb	M99.TGFb_VTP	M99.VTP
DDX11L1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WASH7P	6	10	3	16	2	2	3	3	1	4	3	0	3	2	4	6	3	8	4	4	6	1	3	0
MIR6859-1	2	0	0	2	0	4	0	2	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0
MIR1302-2HG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MIR1302-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4G4P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4G11P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL627309.1	2	1	0	2	1	1	0	0	3	1	2	0	0	1	1	1	2	0	0	0	1	0	2	0
AL627309.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CICP27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
AL627309.6	2	0	0	2	5	7	0	3	3	1	1	0	0	0	1	1	4	1	0	1	1	0	1	1
AL627309.7	0	0	0	1	5	3	16	7	6	6	7	2	3	0	2	0	6	3	1	1	0	0	0	0
AL627309.2	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AL627309.5	2	2	0	0	2	1	3	2	2	4	1	0	0	1	5	1	3	2	3	2	2	2	0	1
RNU6-1100P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL627309.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FO538757.1	4	1	1	1	0	1	0	0	0	2	1	0	1	2	2	0	0	1	1	0	0	0	0	0
WASH9P	7	14	5	19	10	8	26	14	12	13	19	4	18	15	49	18	14	9	10	7	10	4	28	2
MIR6859-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP006222.1	19	27	22	31	20	25	25	21	12	34	62	9	19	15	16	37	42	30	13	19	14	17	21	13
AP006222.2	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL23AP24	7	8	13	15	7	9	15	5	6	9	17	10	6	15	6	4	17	13	13	7	8	3	10	14
AL732372.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL732372.2	4	3	4	7	5	12	9	6	4	10	4	0	7	4	1	5	11	8	1	6	8	6	3	2
WBP1LP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CICP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AL732372.3	0	1	2	1	1	2	1	1	1	3	3	0	0	0	0	1	1	3	1	0	0	1	1	0
FO681485.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.3	2	4	4	8	3	2	2	2	3	1	6	4	3	5	2	2	3	3	6	3	1	3	1	1
AC114498.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTND1P23	747	1383	535	1444	835	1096	564	418	1165	1258	1608	375	654	328	779	1127	741	2078	755	405	646	819	1328	342
MTND2P28	1656	2490	1544	3639	1531	2142	1737	1264	1996	2235	3500	1292	2064	1204	2093	2708	1372	4100	2196	1222	1436	1845	3563	1358
MTCO1P12	5749	10105	2720	11314	8479	11011	3544	2490	8666	8966	12009	1723	5119	2637	6727	9673	7393	20513	5543	3823	6542	6032	10290	2171
AC114498.2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
MTCO2P12	1368	1924	953	2505	1195	1893	1311	1063	1208	1601	2839	436	1292	573	1565	2440	1362	2918	1389	947	1142	1444	1889	463
MTATP8P1	41	46	41	50	34	17	40	30	48	60	55	37	45	27	26	35	45	46	49	29	34	42	58	25
MTATP6P1	5919	7395	6717	10105	7820	9718	12773	7778	11010	8256	9481	5007	12972	11671	11042	8664	4981	15212	8976	3866	6477	6114	8605	6318
MTCO3P12	913	1389	410	1572	990	1069	491	357	864	1289	1600	236	774	330	767	1144	952	2224	744	547	749	834	1459	307
WBP1LP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CICP3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.1	4	6	3	10	12	26	19	13	19	13	12	4	16	26	30	19	14	17	12	9	9	7	10	0
RNU6-1199P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01409	3	2	3	3	12	12	2	7	6	4	3	5	4	8	10	19	8	20	6	7	14	4	6	2
AL669831.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.4	0	0	2	3	3	9	0	1	1	1	2	0	0	2	1	6	1	4	0	1	0	2	0	0
FAM87B	3	4	2	7	2	6	16	6	2	6	12	10	1	2	5	3	2	13	5	11	5	1	8	2
LINC01128	194	218	164	255	176	349	265	163	184	154	214	86	150	178	240	153	149	478	315	255	144	152	244	119
LINC00115	4	4	7	5	0	6	11	8	3	3	2	0	1	3	7	2	0	15	3	7	1	2	7	1
AL669831.7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	1
