NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CYP1B1	1	6.21699857711792	0.035173606	No	
row_1	MMP24	38	4.06430196762085	0.05576186	No	
row_2	MMP17	1016	2.0222928524017334	7.176025E-4	No	
row_3	MMP19	1063	1.986162781715393	0.008844983	No	
row_4	KIF9	1524	1.6436227560043335	-0.013151795	No	
row_5	COL13A1	2060	1.314218521118164	-0.042121347	No	
row_6	MMP1	2334	1.1866073608398438	-0.053979017	No	
row_7	GFOD2	2489	1.1176081895828247	-0.058127064	No	
row_8	FURIN	2529	1.104283332824707	-0.05452219	No	
row_9	CAPG	2573	1.0852612257003784	-0.05129744	No	
row_10	MPV17	2880	0.9524375796318054	-0.06672895	No	
row_11	ADAMTS13	3322	0.789999783039093	-0.09227118	No	
row_12	CREB3L1	3382	0.772190511226654	-0.09191027	No	
row_13	LOXL3	3447	0.7494443655014038	-0.09201868	No	
row_14	APLP1	3623	0.7015676498413086	-0.099954635	No	
row_15	FLOT1	3626	0.6997804045677185	-0.09612401	No	
row_16	TGFB1	3936	0.6041063666343689	-0.11373429	No	
row_17	MMP15	4677	0.42018717527389526	-0.16172682	No	
row_18	ADAM15	4786	0.3925113379955292	-0.16685377	No	
row_19	WASHC1	4840	0.3819868266582489	-0.16829634	No	
row_20	NTN4	5087	0.3309183418750763	-0.18316658	No	
row_21	ADAMTS10	5119	0.32694321870803833	-0.18342355	No	
row_22	P3H4	5121	0.3262653946876526	-0.18164214	No	
row_23	MMP16	5128	0.324933260679245	-0.18020868	No	
row_24	MMP14	5158	0.31734851002693176	-0.18038389	No	
row_25	MYO1E	5295	0.2931264042854309	-0.18798026	No	
row_26	TGFBI	6002	0.16794927418231964	-0.23508814	No	
row_27	EFEMP2	6110	0.1548198014497757	-0.24149439	No	
row_28	COL11A2	6142	0.15019850432872772	-0.24275325	No	
row_29	MMP11	6605	0.0942586362361908	-0.27366892	No	
row_30	ADAM8	7043	0.04071551188826561	-0.30318624	No	
row_31	GSN	7103	0.034825585782527924	-0.30700517	No	
row_32	COLGALT2	7537	-0.00778682716190815	-0.33643684	No	
row_33	RAMP2	7579	-0.01170342043042183	-0.33916152	No	
row_34	SERPINH1	7591	-0.013623387552797794	-0.3398331	No	
row_35	SH3PXD2B	7920	-0.04739493876695633	-0.36189255	No	
row_36	EMILIN1	8114	-0.06772954016923904	-0.3746468	No	
row_37	WT1	8378	-0.09594523161649704	-0.39200628	No	
row_38	COL18A1	9293	-0.2169218808412552	-0.45299584	No	
row_39	ST7	9353	-0.22429919242858887	-0.4557407	No	
row_40	LOXL1	9404	-0.2306094765663147	-0.45783713	No	
row_41	ELN	9750	-0.2795411944389343	-0.4797379	No	
row_42	ADAMTS14	9756	-0.2806400954723358	-0.47848743	No	
row_43	PLOD3	9766	-0.2826295495033264	-0.47749797	No	
row_44	ADAMTSL4	9936	-0.30857646465301514	-0.48725322	No	
row_45	COL24A1	10015	-0.3239281475543976	-0.4907267	No	
row_46	SCX	10126	-0.3423915207386017	-0.49627393	No	
row_47	LCP1	10163	-0.3487880229949951	-0.49674743	No	
row_48	GAS6	10316	-0.3742066025733948	-0.50497335	No	
row_49	MYH11	10414	-0.39594894647598267	-0.50933206	No	
row_50	ADAMTS2	10447	-0.40174806118011475	-0.50923306	No	
row_51	COLGALT1	10449	-0.4018772840499878	-0.50702304	No	
row_52	ADAMTS7	10752	-0.46349677443504333	-0.52495384	No	
row_53	COL7A1	11030	-0.5200614333152771	-0.5408622	No	
row_54	ADAMTS9	11107	-0.535809338092804	-0.5429985	No	
row_55	GREM1	11405	-0.6092617511749268	-0.55976266	No	
row_56	COL15A1	11557	-0.6461833119392395	-0.56637883	No	
row_57	SULF2	11655	-0.6710900664329529	-0.5691778	No	
row_58	COL27A1	11748	-0.6972379088401794	-0.5714882	No	
row_59	COL4A3	11805	-0.718138575553894	-0.57122946	No	
row_60	MMP3	11810	-0.7185812592506409	-0.5674284	No	
row_61	EXOC8	12131	-0.8121870160102844	-0.584608	No	
row_62	MMP2	12197	-0.8374727964401245	-0.5842855	No	
row_63	HAS2	12240	-0.8498262166976929	-0.58232725	No	
row_64	QSOX1	12404	-0.907816469669342	-0.58827716	No	
row_65	COL1A1	12520	-0.9565558433532715	-0.5906833	Yes	
row_66	COL14A1	12601	-0.9889937043190002	-0.59052294	Yes	
row_67	COL8A2	12602	-0.9894826412200928	-0.58491397	Yes	
row_68	THSD4	12619	-0.9944603443145752	-0.58036596	Yes	
row_69	HAS3	12680	-1.019752860069275	-0.5786698	Yes	
