NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NUDT14	108	3.5345160961151123	0.0077468473	No	
row_1	DPM3	230	3.076331615447998	0.01264367	No	
row_2	SRD5A3	231	3.071221113204956	0.025790425	No	
row_3	DPM2	731	2.2848174571990967	0.001458216	No	
row_4	MPDU1	956	2.0839784145355225	-0.0049341465	No	
row_5	ST6GALNAC4	1064	1.9850616455078125	-0.0037515755	No	
row_6	B3GAT3	1410	1.717518925666809	-0.019984422	No	
row_7	B3GALNT1	1419	1.7099250555038452	-0.013211765	No	
row_8	SERP1	1479	1.6752145290374756	-0.010074156	No	
row_9	B4GALT7	1880	1.405578851699829	-0.031402215	No	
row_10	ALG3	2202	1.2493577003479004	-0.0479984	No	
row_11	B3GALT4	2212	1.2429898977279663	-0.043292876	No	
row_12	PMM1	2354	1.1773362159729004	-0.047892187	No	
row_13	PMM2	2481	1.122652530670166	-0.05170015	No	
row_14	TMEM258	2724	1.0118606090545654	-0.06391236	No	
row_15	GMPPB	2829	0.9737250208854675	-0.066853866	No	
row_16	A4GALT	2971	0.9177866578102112	-0.07256421	No	
row_17	ALG1	3054	0.8886250257492065	-0.074366026	No	
row_18	GOLGA2	3076	0.8790175914764404	-0.07203888	No	
row_19	AQP11	3079	0.8779271245002747	-0.06841753	No	
row_20	ST3GAL4	3163	0.8479099869728088	-0.07046199	No	
row_21	DAD1	3166	0.8464890122413635	-0.066975206	No	
row_22	TMTC4	3178	0.8409653902053833	-0.064127326	No	
row_23	ST3GAL3	3283	0.8054747581481934	-0.06778905	No	
row_24	DOLK	3419	0.7572763562202454	-0.073776305	No	
row_25	FOXL1	3586	0.7111496329307556	-0.08208024	No	
row_26	POMGNT1	3664	0.6874819397926331	-0.08440126	No	
row_27	GFPT2	3867	0.6226263046264648	-0.09554516	No	
row_28	MGAT1	3946	0.6006804704666138	-0.09830611	No	
row_29	SLC35C1	3971	0.5945115685462952	-0.09740192	No	
row_30	CHPF	4005	0.5855004191398621	-0.097151555	No	
row_31	OST4	4130	0.5476152300834656	-0.103284314	No	
row_32	DHDDS	4185	0.5352404117584229	-0.104684696	No	
row_33	CHST10	4256	0.5144078135490417	-0.10726805	No	
row_34	ALG12	4318	0.49826788902282715	-0.10930524	No	
row_35	ST3GAL2	4376	0.48356708884239197	-0.1111319	No	
row_36	GCNT3	4560	0.4483463764190674	-0.12172295	No	
row_37	SLC35D2	4734	0.40581926703453064	-0.13181242	No	
row_38	GALNT5	4837	0.3833356499671936	-0.13714443	No	
row_39	HS3ST3A1	4864	0.37720978260040283	-0.13730715	No	
row_40	GALNT18	4942	0.35872042179107666	-0.14103548	No	
row_41	GALNT16	5259	0.2984430193901062	-0.16136037	No	
row_42	MAN1C1	5306	0.29168280959129333	-0.16325644	No	
row_43	COG7	5421	0.2695208489894867	-0.16989599	No	
row_44	GALNT10	5494	0.25463011860847473	-0.17372808	No	
row_45	LARGE1	5574	0.2398311048746109	-0.17810206	No	
row_46	B3GNT9	5882	0.18602542579174042	-0.1982929	No	
row_47	MGAT4B	5913	0.1808946281671524	-0.19956942	No	
row_48	DPM1	5953	0.17498664557933807	-0.20148648	No	
row_49	HS6ST1	5957	0.17473798990249634	-0.20094357	No	
row_50	FKRP	6014	0.16655895113945007	-0.20405889	No	
row_51	RXYLT1	6117	0.15375332534313202	-0.21037364	No	
row_52	CANT1	6149	0.1493384838104248	-0.21185361	No	
row_53	DPY19L2P2	6177	0.14614151418209076	-0.2130738	No	
row_54	B3GALT6	6222	0.14028437435626984	-0.21548124	No	
row_55	TRAK1	6355	0.12437897175550461	-0.2239726	No	
row_56	OGA	6665	0.08679061383008957	-0.24472496	No	
row_57	GALNT12	6673	0.08567294478416443	-0.24483675	No	
row_58	MOGS	6738	0.07721110433340073	-0.24888141	No	
row_59	CHST11	6895	0.05906132236123085	-0.25929308	No	
row_60	B3GNT8	6911	0.057636238634586334	-0.26007178	No	
row_61	POMT2	6934	0.05459718033671379	-0.26134205	No	
row_62	DPY19L2	7391	0.005117513705044985	-0.29249322	No	
row_63	CHST12	7492	-0.0034684541169553995	-0.2993146	No	
row_64	DOLPP1	7583	-0.01233289111405611	-0.30541438	No	
row_65	KRTCAP2	7693	-0.02379363775253296	-0.312764	No	
row_66	GAL3ST4	7812	-0.036910563707351685	-0.32067272	No	
row_67	MGAT2	7867	-0.0422954261302948	-0.3241832	No	
row_68	XYLT2	7965	-0.052646227180957794	-0.33058897	No	
row_69	FUT4	8028	-0.05916016548871994	-0.33457416	No	
row_70	GALNT11	8131	-0.06899087876081467	-0.34125176	No	
row_71	ALG5	8289	-0.08600867539644241	-0.35161644	No	
row_72	POMT1	8384	-0.09635661542415619	-0.35763	No	
row_73	SERP2	8428	-0.10197025537490845	-0.36013308	No	
row_74	CRPPA	8582	-0.12113731354475021	-0.37007394	No	
row_75	RPN1	8583	-0.12126760184764862	-0.36955482	No	
row_76	GALNT2	8663	-0.13257062435150146	-0.37438795	No	
row_77	GALNT4	8669	-0.133445143699646	-0.37415853	No	
row_78	CHST14	8765	-0.1449611783027649	-0.3800324	No	
row_79	TNIP1	8794	-0.14978110790252686	-0.38130537	No	
row_80	B4GAT1	8817	-0.1538439691066742	-0.3821508	No	
row_81	GALNT15	8983	-0.17542581260204315	-0.3926796	No	
row_82	CHPF2	9092	-0.1908213496208191	-0.39924586	No	
row_83	XXYLT1	9130	-0.19769521057605743	-0.400929	No	
row_84	PLOD3	9766	-0.2826295495033264	-0.44312906	No	
row_85	PGM3	9841	-0.29419371485710144	-0.44692853	No	
row_86	ALG14	10173	-0.35114699602127075	-0.46805322	No	
row_87	CHST3	10209	-0.35581785440444946	-0.4689228	No	
row_88	DPY19L3	10462	-0.40562260150909424	-0.48441368	No	
row_89	B3GNT5	10503	-0.41247838735580444	-0.4853825	No	
row_90	FUT8	10604	-0.4311390519142151	-0.49037316	No	
row_91	DPAGT1	10730	-0.4590321183204651	-0.4969535	No	
row_92	POMGNT2	10744	-0.4625312089920044	-0.49586228	No	
row_93	ENTPD5	10762	-0.46554479002952576	-0.4950316	No	
row_94	B3GNT2	10904	-0.49253565073013306	-0.5025623	No	
row_95	FUT1	10965	-0.505351722240448	-0.5045008	No	
row_96	XYLT1	11114	-0.5380088090896606	-0.51231533	No	
row_97	UBE2J1	11464	-0.6265684366226196	-0.5334916	No	
row_98	TET2	11541	-0.6423088312149048	-0.5359376	No	
row_99	GCNT4	11622	-0.6638827919960022	-0.53856474	No	
row_100	POFUT2	11704	-0.683143138885498	-0.5411778	No	
row_101	OSTC	11715	-0.6847612857818604	-0.53893024	No	
row_102	NDST1	11808	-0.71849524974823	-0.5421439	No	
row_103	ST3GAL5	11888	-0.7382946610450745	-0.5443841	No	
row_104	ALG11	11976	-0.7669666409492493	-0.54704857	No	
row_105	DSEL	12011	-0.7786939144134521	-0.5460396	No	
row_106	CHST7	12086	-0.797428548336029	-0.54768485	No	
row_107	TMEM106A	12105	-0.8037288188934326	-0.5454749	No	
row_108	ALG10B	12194	-0.8367189764976501	-0.5479091	No	
row_109	EXT1	12223	-0.8448629379272461	-0.54620665	No	
row_110	UST	12291	-0.8662956953048706	-0.54707867	No	
row_111	ALG6	12342	-0.8854972720146179	-0.54670626	No	
row_112	TET3	12438	-0.9211786389350891	-0.54925746	No	
row_113	DDOST	12495	-0.9449962973594666	-0.54904056	No	
row_114	GCNT1	12515	-0.9533956050872803	-0.5462583	No	
row_115	COG3	12614	-0.9932732582092285	-0.54870594	No	
row_116	POFUT1	12714	-1.0339512825012207	-0.5510478	No	
row_117	CSGALNACT1	12780	-1.0601801872253418	-0.5509531	No	
row_118	SLC39A8	12884	-1.1097016334533691	-0.5532442	Yes	
row_119	OGT	12907	-1.1212486028671265	-0.5499485	Yes	
row_120	POMK	12989	-1.156679391860962	-0.5505345	Yes	
row_121	ST6GAL1	13036	-1.1774166822433472	-0.54863906	Yes	
row_122	GALNT7	13123	-1.2220561504364014	-0.549287	Yes	
row_123	B4GALT1	13175	-1.2573484182357788	-0.54739124	Yes	
