NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MRPL24	54	3.941640615463257	0.029263966	Yes	
row_1	MRPL23	144	3.3603322505950928	0.051293775	Yes	
row_2	MRPS7	172	3.2559704780578613	0.07666304	Yes	
row_3	MRPL57	200	3.169126272201538	0.10130673	Yes	
row_4	MRPL52	202	3.1647708415985107	0.1276801	Yes	
row_5	GADD45GIP1	218	3.102060317993164	0.15257856	Yes	
row_6	MRPL12	318	2.896522045135498	0.17005403	Yes	
row_7	MRPL41	327	2.87783145904541	0.19355458	Yes	
row_8	MRPS12	347	2.8477392196655273	0.21605651	Yes	
row_9	MRPS18A	388	2.7894065380096436	0.23664466	Yes	
row_10	MRPS18B	440	2.676006317138672	0.25553817	Yes	
row_11	MRPL28	487	2.6022448539733887	0.27415505	Yes	
row_12	MRPL54	583	2.4802656173706055	0.28842446	Yes	
row_13	AURKAIP1	621	2.432666540145874	0.30623585	Yes	
row_14	MRPL20	684	2.3472635746002197	0.32163557	Yes	
row_15	MRPL58	690	2.340311288833618	0.34084898	Yes	
row_16	MRPS2	713	2.3093042373657227	0.3586486	Yes	
row_17	MRPL21	736	2.281182289123535	0.37621325	Yes	
row_18	MRPS21	739	2.2797117233276367	0.3951241	Yes	
row_19	MRPL4	749	2.2718865871429443	0.41349414	Yes	
row_20	MRPS25	856	2.1633498668670654	0.42436856	Yes	
row_21	MRPL38	871	2.1512084007263184	0.4413907	Yes	
row_22	MRPL55	987	2.0484514236450195	0.45069382	Yes	
row_23	MRPL36	1007	2.029864549636841	0.46636254	Yes	
row_24	MRPL27	1153	1.9087547063827515	0.47246075	Yes	
row_25	MRPL14	1198	1.8726837635040283	0.48511806	Yes	
row_26	MRPL10	1270	1.817743182182312	0.4954824	Yes	
row_27	OXA1L	1328	1.7722764015197754	0.5064178	Yes	
row_28	MRPL43	1329	1.772225022315979	0.5212245	Yes	
row_29	MRPL34	1354	1.755271315574646	0.5342594	Yes	
row_30	MRPS26	1389	1.7307941913604736	0.5464105	Yes	
row_31	MRPL2	1413	1.7149624824523926	0.55917656	Yes	
row_32	MRPS11	1438	1.698058009147644	0.5717334	Yes	
row_33	MRPL15	1525	1.6433318853378296	0.5796217	Yes	
row_34	MRPL51	1579	1.6067618131637573	0.5894459	Yes	
row_35	MRPS34	1628	1.5719084739685059	0.59931856	Yes	
row_36	MRPL32	1664	1.5458005666732788	0.6098562	Yes	
row_37	CHCHD1	1718	1.5118094682693481	0.6188871	Yes	
row_38	MRPL37	1766	1.4840484857559204	0.62809366	Yes	
row_39	MRPL11	1843	1.4257099628448486	0.63484293	Yes	
row_40	MRPS15	1846	1.4236268997192383	0.6466013	Yes	
row_41	TUFM	1890	1.4004530906677246	0.65538114	Yes	
row_42	MRPL17	2220	1.2368340492248535	0.6433673	Yes	
row_43	MRPL9	2244	1.2254695892333984	0.65204364	Yes	
row_44	MRPL18	2277	1.2121968269348145	0.65999776	Yes	
row_45	MTIF3	2521	1.1063939332962036	0.65273565	Yes	
row_46	ERAL1	2624	1.0596206188201904	0.6546603	Yes	
row_47	MRPS31	2655	1.0458064079284668	0.6613601	Yes	
row_48	MRPS5	2733	1.0095082521438599	0.66456413	Yes	
row_49	MRPS30	2795	0.985459566116333	0.6686541	Yes	
row_50	MRPS36	3135	0.8565390706062317	0.6527836	No	
row_51	MRPS22	3197	0.8335751295089722	0.65560454	No	
row_52	MRPL40	3392	0.7671787738800049	0.6488367	No	
row_53	MRPL3	3469	0.7419782876968384	0.6498735	No	
row_54	MRPL49	3511	0.7321690917015076	0.65320575	No	
row_55	MRPS33	3513	0.7310917377471924	0.65924597	No	
row_56	MRPL1	3889	0.6173850297927856	0.6389321	No	
row_57	MRPS9	3928	0.6073365211486816	0.64142513	No	
row_58	MRPS28	3944	0.6014382839202881	0.6454312	No	
row_59	MRRF	4317	0.49826914072036743	0.6243259	No	
row_60	MRPS24	4332	0.4951331317424774	0.6275117	No	
row_61	MRPL22	4531	0.45437267422676086	0.6178587	No	
row_62	MRPL46	4679	0.42008882761001587	0.61138344	No	
row_63	MTIF2	4829	0.384776771068573	0.6044773	No	
row_64	MTRF1L	5003	0.3469104766845703	0.59562457	No	
row_65	MRPS14	5076	0.33244645595550537	0.59351146	No	
row_66	MRPL39	5137	0.3233177959918976	0.5921372	No	
row_67	MRPL48	5293	0.29329296946525574	0.5840592	No	
row_68	MRPS18C	5509	0.25182661414146423	0.5715592	No	
row_69	DAP3	5517	0.2509036064147949	0.57317996	No	
row_70	MRPL13	5982	0.17129814624786377	0.5430937	No	
row_71	MRPS23	6808	0.06978593021631241	0.48763815	No	
row_72	MRPL47	7177	0.027582911774516106	0.462872	No	
row_73	MTFMT	7263	0.017945652827620506	0.45724827	No	
row_74	MRPL30	7509	-0.005066420882940292	0.44064882	No	
row_75	MRPL33	7978	-0.05443194508552551	0.40931445	No	
row_76	MRPL50	8227	-0.07908129692077637	0.39312962	No	
row_77	MRPL45	8436	-0.10285370796918869	0.37986043	No	
row_78	MRPS10	8959	-0.17281852662563324	0.34584716	No	
row_79	MRPS16	9174	-0.20210188627243042	0.33299965	No	
row_80	MRPL35	9305	-0.21882744133472443	0.3259976	No	
row_81	GFM2	9337	-0.22233150899410248	0.32574946	No	
row_82	MRPS35	9575	-0.2540619373321533	0.31177375	No	
