NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ADTRP	1761	1.4875963926315308	-0.09445294	No	
row_1	CST3	2317	1.1911171674728394	-0.11219553	No	
row_2	FSCN1	3190	0.8354325294494629	-0.15732092	No	
row_3	CHADL	3576	0.7152771353721619	-0.17147677	No	
row_4	TGFB1	3936	0.6041063666343689	-0.18572332	No	
row_5	TNFRSF1A	4034	0.5780593156814575	-0.18266606	No	
row_6	PHLDB1	4081	0.560782253742218	-0.17644376	No	
row_7	AXIN2	5086	0.33094024658203125	-0.23890492	No	
row_8	SMAD3	5249	0.3009437918663025	-0.24486192	No	
row_9	EFEMP2	6110	0.1548198014497757	-0.3005065	No	
row_10	BMP2	6624	0.09086805582046509	-0.33372384	No	
row_11	PDPN	7238	0.020342914387583733	-0.37488538	No	
row_12	EMILIN1	8114	-0.06772954016923904	-0.43299544	No	
row_13	DDR1	8554	-0.11753032356500626	-0.46075907	No	
row_14	RUNX1	9117	-0.19576838612556458	-0.49554724	No	
row_15	PHLDB2	9198	-0.20419526100158691	-0.49756357	No	
row_16	MELTF	9369	-0.22610194981098175	-0.5053082	No	
row_17	TNFRSF1B	9582	-0.2549339532852173	-0.51541626	No	
row_18	TIE1	9919	-0.3056590259075165	-0.53307456	No	
row_19	PRDM5	10240	-0.3612750470638275	-0.5487237	No	
row_20	COLGALT1	10449	-0.4018772840499878	-0.5561145	No	
row_21	DAG1	10622	-0.4351761043071747	-0.5605136	No	
row_22	NOTCH1	11665	-0.672998309135437	-0.6198524	No	
row_23	ZNF469	11786	-0.7098531126976013	-0.616158	No	
row_24	RGCC	11848	-0.72700035572052	-0.60818386	No	
row_25	IER3IP1	11856	-0.7304590344429016	-0.5964962	No	
row_26	CLASP2	12236	-0.8488594889640808	-0.60802186	No	
row_27	CLASP1	13211	-1.2775152921676636	-0.65269244	No	
row_28	RIC1	13898	-1.7984875440597534	-0.66919154	Yes	
row_29	LAMA1	13965	-1.8697803020477295	-0.6425296	Yes	
row_30	SLC2A10	14001	-1.904889702796936	-0.6131844	Yes	
row_31	DPP4	14058	-1.9676316976547241	-0.5842163	Yes	
row_32	RB1	14242	-2.2010295391082764	-0.55996025	Yes	
row_33	AEBP1	14332	-2.370055675506592	-0.5265262	Yes	
row_34	LAMB2	14476	-2.691678762435913	-0.49139333	Yes	
row_35	DDR2	14543	-2.9070396423339844	-0.4474619	Yes	
row_36	LRP1	14572	-3.023204803466797	-0.39902386	Yes	
row_37	LAMB1	14618	-3.206843614578247	-0.34867927	Yes	
row_38	FAP	14698	-3.6544599533081055	-0.2931841	Yes	
row_39	NID1	14729	-3.924238920211792	-0.22988002	Yes	
row_40	LAMC1	14755	-4.170003890991211	-0.16214567	Yes	
row_41	IL6	14757	-4.222736835479736	-0.091908574	Yes	
row_42	LAMA2	14804	-5.743967056274414	6.0915237E-4	Yes	
