NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RRP12	29	4.165460586547852	0.019823285	Yes	
row_1	TSR3	62	3.844343900680542	0.03776054	Yes	
row_2	DDX49	99	3.5860073566436768	0.054072067	Yes	
row_3	BOP1	135	3.3985702991485596	0.06947074	Yes	
row_4	EXOSC4	155	3.3142035007476807	0.08552134	Yes	
row_5	BUD23	180	3.2300198078155518	0.10078952	Yes	
row_6	EXOSC5	236	3.0675158500671387	0.11308822	Yes	
row_7	WDR18	241	3.057309865951538	0.12881926	Yes	
row_8	PES1	263	3.006507635116577	0.14312243	Yes	
row_9	DDX54	273	2.98309063911438	0.1581232	Yes	
row_10	EXOSC9	312	2.9062716960906982	0.17073974	Yes	
row_11	RRS1	367	2.818592071533203	0.18180373	Yes	
row_12	WDR46	375	2.8001036643981934	0.19598329	Yes	
row_13	ERI3	419	2.7325963973999023	0.20734894	Yes	
row_14	GTF3C5	453	2.644663095474243	0.21893775	Yes	
row_15	TRIR	511	2.5639712810516357	0.22846381	Yes	
row_16	NOP53	570	2.4922585487365723	0.23754612	Yes	
row_17	EMG1	588	2.4768481254577637	0.24935001	Yes	
row_18	ABT1	604	2.455440044403076	0.26117855	Yes	
row_19	WDR74	605	2.4535977840423584	0.27402267	Yes	
row_20	RRP9	609	2.4490082263946533	0.2866377	Yes	
row_21	NHP2	612	2.4444925785064697	0.29929745	Yes	
row_22	NSUN5	632	2.4135305881500244	0.31063318	Yes	
row_23	NOB1	647	2.3927981853485107	0.32220215	Yes	
row_24	POLR1E	693	2.3399910926818848	0.3313759	Yes	
row_25	FBL	711	2.31394100189209	0.342327	Yes	
row_26	SART1	805	2.209996223449707	0.34753954	Yes	
row_27	IMP3	812	2.2032992839813232	0.3586633	Yes	
row_28	DEDD2	862	2.1565558910369873	0.3666034	Yes	
row_29	IMP4	870	2.1512367725372314	0.37738627	Yes	
row_30	EIF6	896	2.129958391189575	0.3868275	Yes	
row_31	MRTO4	920	2.1119766235351562	0.39631125	Yes	
row_32	PELP1	948	2.09494686126709	0.40543252	Yes	
row_33	RPUSD1	1021	2.0195536613464355	0.41108343	Yes	
row_34	LAS1L	1039	2.003770589828491	0.42041087	Yes	
row_35	EXOSC3	1075	1.9703354835510254	0.428333	Yes	
row_36	KRI1	1083	1.9642809629440308	0.4381372	Yes	
row_37	TBL3	1168	1.899185299873352	0.44233784	Yes	
row_38	RPL35	1188	1.8794914484024048	0.450878	Yes	
row_39	RPS16	1250	1.8340914249420166	0.45630988	Yes	
row_40	TSR2	1252	1.831512212753296	0.46582913	Yes	
row_41	EBNA1BP2	1276	1.8111151456832886	0.47373796	Yes	
row_42	POP4	1285	1.8006186485290527	0.48261708	Yes	
row_43	BYSL	1289	1.799828052520752	0.49183378	Yes	
row_44	RPS14	1293	1.7984647750854492	0.5010433	Yes	
