NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL36	126	3.4430034160614014	0.029778685	Yes	
row_1	RPL17	248	3.0401535034179688	0.055411417	Yes	
row_2	RPL18	418	2.734043598175049	0.07437578	Yes	
row_3	RPL28	458	2.6376373767852783	0.10109583	Yes	
row_4	FAU	498	2.5787177085876465	0.12715985	Yes	
row_5	RPLP2	525	2.5554258823394775	0.15384743	Yes	
row_6	RPL13	674	2.3551669120788574	0.17001943	Yes	
row_7	RPL38	746	2.2732772827148438	0.19050919	Yes	
row_8	RPS5	783	2.2383766174316406	0.21298742	Yes	
row_9	RPL8	840	2.1768484115600586	0.23342223	Yes	
row_10	EEFSEC	848	2.1707534790039062	0.2571171	Yes	
row_11	RPS18	913	2.1170449256896973	0.2763427	Yes	
row_12	RPS26	1053	1.9942132234573364	0.2891069	Yes	
row_13	RPL35	1188	1.8794914484024048	0.30093333	Yes	
row_14	RPS16	1250	1.8340914249420166	0.31721213	Yes	
row_15	RPS14	1293	1.7984647750854492	0.33438468	Yes	
row_16	RPS15	1307	1.783797025680542	0.35336345	Yes	
row_17	RPS9	1313	1.780760645866394	0.37285176	Yes	
row_18	RPL24	1396	1.7252411842346191	0.38649234	Yes	
row_19	RPLP1	1493	1.6671226024627686	0.39853495	Yes	
row_20	RPL18A	1626	1.5727345943450928	0.40708163	Yes	
row_21	RPL13A	1751	1.4965927600860596	0.41532382	Yes	
row_22	RPL29	1786	1.4713798761367798	0.42939776	Yes	
row_23	RPL26	1926	1.3814595937728882	0.43533924	Yes	
row_24	RPS28	1950	1.3688132762908936	0.44901824	Yes	
row_25	RPL10A	1976	1.3491489887237549	0.46234244	Yes	
row_26	RPS2	2237	1.2284278869628906	0.45836213	Yes	
row_27	RPL23	2255	1.221953272819519	0.4708134	Yes	
row_28	RPL30	2266	1.2164652347564697	0.48367897	Yes	
row_29	UBA52	2338	1.1836302280426025	0.49203604	Yes	
row_30	RPL26L1	2398	1.1555191278457642	0.50089514	Yes	
row_31	RPS21	2502	1.1153655052185059	0.5063188	Yes	
row_32	PSTK	2506	1.1142821311950684	0.518522	Yes	
row_33	RPS8	2629	1.056567668914795	0.5220006	Yes	
row_34	RPL36AL	2688	1.0290980339050293	0.5295199	Yes	
row_35	RPS19	2742	1.0074639320373535	0.537138	Yes	
row_36	RPS3	2755	0.9997960925102234	0.54745525	Yes	
row_37	SARS1	2846	0.9673594236373901	0.55211383	Yes	
row_38	RPL10	2921	0.9354466199874878	0.55750376	Yes	
row_39	RPL27A	3010	0.9029865860939026	0.56158143	Yes	
row_40	SEPHS2	3025	0.896527111530304	0.57061297	Yes	
row_41	RPL37A	3041	0.8920474052429199	0.5795267	Yes	
row_42	RPL32	3266	0.8116526007652283	0.57335085	Yes	
row_43	RPS11	3299	0.7997882962226868	0.5800828	Yes	
row_44	RPS27	3332	0.7859076857566833	0.58666015	Yes	
row_45	RPL31	3425	0.756342887878418	0.58883333	Yes	
row_46	RPL27	3547	0.7228309512138367	0.5886638	Yes	
row_47	RPL14	3593	0.7096566557884216	0.59350926	Yes	
row_48	RPL35A	3629	0.6984885334968567	0.5989095	Yes	
row_49	RPL3	3812	0.637963056564331	0.5936521	Yes	
row_50	RPL37	3818	0.6373488903045654	0.60040915	Yes	
row_51	RPS24	3837	0.6332070827484131	0.6062371	Yes	
row_52	RPL4	3843	0.6313051581382751	0.6129268	Yes	
row_53	RPS17	3891	0.616853654384613	0.6166031	Yes	
row_54	RPS25	3905	0.6135926842689514	0.6225522	Yes	
row_55	RPLP0	4147	0.5439459085464478	0.61224097	No	
row_56	RPS15A	4303	0.5025526881217957	0.6073096	No	
row_57	RPL19	4392	0.48110711574554443	0.6066899	No	
row_58	SECISBP2	4464	0.4689936637878418	0.6070898	No	
row_59	RPL41	4532	0.45433205366134644	0.6075982	No	
row_60	RPL22L1	4597	0.43948981165885925	0.60814506	No	
row_61	RPL12	4609	0.4378792941570282	0.6122735	No	
row_62	RPS20	4701	0.4131105840206146	0.6106929	No	
row_63	RPL11	5143	0.3214554488658905	0.5843211	No	
row_64	RPL21	5275	0.2953431010246277	0.5787125	No	
row_65	RPL34	5292	0.2933652400970459	0.5808923	No	
row_66	RPL7A	5503	0.25269484519958496	0.5694435	No	
row_67	RPL6	5612	0.23414504528045654	0.5647157	No	
row_68	RPS10	5647	0.22800728678703308	0.5649453	No	
row_69	RPS6	5854	0.19046323001384735	0.5530752	No	
row_70	RPL39L	6140	0.15031521022319794	0.53539276	No	
row_71	RPL23A	6486	0.11022817343473434	0.51318896	No	
row_72	RPL15	6499	0.10817491263151169	0.5135784	No	
row_73	RPS29	6560	0.099910207092762	0.5106159	No	
row_74	RPS27A	6702	0.08151713758707047	0.50194734	No	
row_75	RPS4X	6780	0.07249128073453903	0.49752495	No	
row_76	RPL5	6864	0.06274673342704773	0.49258655	No	
row_77	RPS13	7187	0.02676396071910858	0.47101548	No	
row_78	RPSA	7214	0.024015920236706734	0.46951708	No	
row_79	RPS12	7344	0.008584021590650082	0.46085146	No	
row_80	RPS27L	7560	-0.01001809909939766	0.44636098	No	
row_81	RPS7	7907	-0.04655945301055908	0.42338035	No	
row_82	RPL7	8998	-0.1770474761724472	0.3513229	No	
row_83	RPS4Y1	9528	-0.24740912020206451	0.31814992	No	
row_84	RPL36A	9924	-0.30664074420928955	0.29473728	No	
row_85	SEPSECS	10086	-0.3375173807144165	0.28756082	No	
row_86	RPL22	10549	-0.4217858910560608	0.26087987	No	
row_87	RPS23	11222	-0.5651987195014954	0.2215333	No	
row_88	RPL39	12625	-0.9970484375953674	0.13741626	No	
row_89	RPS3A	12628	-0.9984087944030762	0.1483972	No	
