NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL36	126	3.4430034160614014	0.02846557	Yes	
row_1	EIF3G	171	3.2656795978546143	0.060596284	Yes	
row_2	RPL17	248	3.0401535034179688	0.08812708	Yes	
row_3	RPL18	418	2.734043598175049	0.10604617	Yes	
row_4	RPL28	458	2.6376373767852783	0.13176239	Yes	
row_5	FAU	498	2.5787177085876465	0.15684496	Yes	
row_6	RPLP2	525	2.5554258823394775	0.18256041	Yes	
row_7	RPL13	674	2.3551669120788574	0.19783191	Yes	
row_8	RPL38	746	2.2732772827148438	0.21745512	Yes	
row_9	RPS5	783	2.2383766174316406	0.23908137	Yes	
row_10	RPL8	840	2.1768484115600586	0.25868684	Yes	
row_11	RPS18	913	2.1170449256896973	0.2765619	Yes	
row_12	RPS26	1053	1.9942132234573364	0.2885631	Yes	
row_13	RPL35	1188	1.8794914484024048	0.2996703	Yes	
row_14	RPS16	1250	1.8340914249420166	0.31524983	Yes	
row_15	RPS14	1293	1.7984647750854492	0.33173734	Yes	
row_16	RPS15	1307	1.783797025680542	0.35003772	Yes	
row_17	RPS9	1313	1.780760645866394	0.3688491	Yes	
row_18	RPL24	1396	1.7252411842346191	0.381831	Yes	
row_19	RPLP1	1493	1.6671226024627686	0.39323652	Yes	
row_20	RPL18A	1626	1.5727345943450928	0.4011806	Yes	
row_21	RPL13A	1751	1.4965927600860596	0.40884948	Yes	
row_22	RPL29	1786	1.4713798761367798	0.42236298	Yes	
row_23	RPL26	1926	1.3814595937728882	0.42777434	Yes	
row_24	RPS28	1950	1.3688132762908936	0.44093227	Yes	
row_25	RPL10A	1976	1.3491489887237549	0.45374283	Yes	
row_26	RPS2	2237	1.2284278869628906	0.44928607	Yes	
row_27	RPL23	2255	1.221953272819519	0.46127233	Yes	
row_28	RPL30	2266	1.2164652347564697	0.47367522	Yes	
row_29	EIF3D	2322	1.1904631853103638	0.4827406	Yes	
row_30	UBA52	2338	1.1836302280426025	0.49445063	Yes	
row_31	RPL26L1	2398	1.1555191278457642	0.50286835	Yes	
row_32	RPS21	2502	1.1153655052185059	0.50786436	Yes	
row_33	RPS8	2629	1.056567668914795	0.51066506	Yes	
row_34	RPL36AL	2688	1.0290980339050293	0.5177912	Yes	
row_35	RPS19	2742	1.0074639320373535	0.5250244	Yes	
row_36	RPS3	2755	0.9997960925102234	0.5349612	Yes	
row_37	RPL10	2921	0.9354466199874878	0.5338092	Yes	
row_38	RPL27A	3010	0.9029865860939026	0.53754044	Yes	
row_39	RPL37A	3041	0.8920474052429199	0.5450953	Yes	
row_40	RPL32	3266	0.8116526007652283	0.5386027	Yes	
row_41	EIF1AX	3272	0.8084932565689087	0.54695785	Yes	
row_42	RPS11	3299	0.7997882962226868	0.55379236	Yes	
row_43	RPS27	3332	0.7859076857566833	0.5600699	Yes	
row_44	RPL31	3425	0.756342887878418	0.5619523	Yes	
row_45	EIF3I	3500	0.7341922521591187	0.5648196	Yes	
row_46	RPL27	3547	0.7228309512138367	0.56946737	Yes	
row_47	EIF3K	3548	0.7222847938537598	0.57723516	Yes	
row_48	RPL14	3593	0.7096566557884216	0.58187723	Yes	
row_49	RPL35A	3629	0.6984885334968567	0.58701074	Yes	
row_50	RPL3	3812	0.637963056564331	0.5815042	Yes	
row_51	RPL37	3818	0.6373488903045654	0.5880188	Yes	
row_52	RPS24	3837	0.6332070827484131	0.5936054	Yes	
row_53	RPL4	3843	0.6313051581382751	0.60005504	Yes	
row_54	RPS17	3891	0.616853654384613	0.6034951	Yes	
row_55	RPS25	3905	0.6135926842689514	0.6092106	Yes	
row_56	RPLP0	4147	0.5439459085464478	0.5986837	No	
row_57	EIF3B	4210	0.5274980068206787	0.6001436	No	
row_58	RPS15A	4303	0.5025526881217957	0.59929657	No	
row_59	RPL19	4392	0.48110711574554443	0.5984908	No	
row_60	EIF3H	4406	0.47862955927848816	0.6027548	No	
row_61	RPL41	4532	0.45433205366134644	0.5991467	No	
row_62	RPL22L1	4597	0.43948981165885925	0.5995242	No	
row_63	RPL12	4609	0.4378792941570282	0.6034859	No	
row_64	RPS20	4701	0.4131105840206146	0.6017449	No	
row_65	EIF3C	5054	0.33689144253730774	0.58144844	No	
row_66	EIF3J	5089	0.33073464035987854	0.5826949	No	
row_67	RPL11	5143	0.3214554488658905	0.58255047	No	
row_68	RPL21	5275	0.2953431010246277	0.57682484	No	
row_69	RPL34	5292	0.2933652400970459	0.5788926	No	
row_70	EIF3A	5305	0.291750967502594	0.5812148	No	
row_71	RPL7A	5503	0.25269484519958496	0.5705456	No	
row_72	RPL6	5612	0.23414504528045654	0.56572473	No	
row_73	RPS10	5647	0.22800728678703308	0.5658664	No	
row_74	RPS6	5854	0.19046323001384735	0.5539164	No	
row_75	RPL39L	6140	0.15031521022319794	0.5361663	No	
row_76	EIF3F	6473	0.11150705814361572	0.514805	No	
row_77	RPL23A	6486	0.11022817343473434	0.515175	No	
row_78	RPL15	6499	0.10817491263151169	0.51552296	No	
row_79	RPS29	6560	0.099910207092762	0.5125202	No	
row_80	RPS27A	6702	0.08151713758707047	0.5038155	No	
row_81	RPS4X	6780	0.07249128073453903	0.49936268	No	
row_82	RPL5	6864	0.06274673342704773	0.49439737	No	
row_83	RPS13	7187	0.02676396071910858	0.47280428	No	
row_84	RPSA	7214	0.024015920236706734	0.47129577	No	
row_85	RPS12	7344	0.008584021590650082	0.4626221	No	
row_86	RPS27L	7560	-0.01001809909939766	0.4481199	No	
row_87	RPS7	7907	-0.04655945301055908	0.4251088	No	
row_88	EIF3M	8429	-0.10202652961015701	0.3908024	No	
row_89	EIF3E	8437	-0.10285523533821106	0.39143288	No	
row_90	EIF3L	8624	-0.12610545754432678	0.38014978	No	
row_91	RPL7	8998	-0.1770474761724472	0.35670727	No	
row_92	RPS4Y1	9528	-0.24740912020206451	0.32342076	No	
row_93	RPL36A	9924	-0.30664074420928955	0.299877	No	
row_94	RPL22	10549	-0.4217858910560608	0.26201025	No	
row_95	RPS23	11222	-0.5651987195014954	0.22242408	No	
row_96	RPL39	12625	-0.9970484375953674	0.13787635	No	
row_97	RPS3A	12628	-0.9984087944030762	0.1484778	No	
