NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STC2	219	3.1016647815704346	0.011172545	No	
row_1	LGALS1	780	2.244680166244507	-0.0079850005	No	
row_2	MXRA8	1079	1.9671510457992554	-0.011694655	No	
row_3	IGFBP6	1591	1.5970118045806885	-0.032963306	No	
row_4	APOA1	1938	1.3756076097488403	-0.044894636	No	
row_5	PNPLA2	2204	1.247501254081726	-0.05240516	No	
row_6	CST3	2317	1.1911171674728394	-0.05000759	No	
row_7	MMP1	2334	1.1866073608398438	-0.04113409	No	
row_8	SPP1	2343	1.1812944412231445	-0.03176237	No	
row_9	SERPIND1	2652	1.0463171005249023	-0.04387905	No	
row_10	TIMP1	2737	1.0079679489135742	-0.041118786	No	
row_11	SHISA5	3297	0.8020356893539429	-0.072316505	No	
row_12	FAM20C	4470	0.4676596522331238	-0.1479138	No	
row_13	MEN1	4733	0.4061205983161926	-0.16228242	No	
row_14	AFP	5020	0.34306055307388306	-0.17880875	No	
row_15	VWA1	5120	0.3264038860797882	-0.18278658	No	
row_16	BMP4	5345	0.2833464741706848	-0.19560729	No	
row_17	IGFBP4	6183	0.14530791342258453	-0.2511797	No	
row_18	EVA1A	6502	0.1073768362402916	-0.27185535	No	
row_19	CKAP4	7162	0.029020732268691063	-0.31632614	No	
row_20	GPC3	7581	-0.01202564500272274	-0.34458727	No	
row_21	IGFBP2	8151	-0.07178395241498947	-0.38259247	No	
row_22	GOLM1	8577	-0.12089943140745163	-0.4104148	No	
row_23	MFGE8	8692	-0.13600154221057892	-0.41700843	No	
row_24	WFS1	8757	-0.14423884451389313	-0.42014036	No	
row_25	FSTL3	8804	-0.15140298008918762	-0.42199084	No	
row_26	MELTF	9369	-0.22610194981098175	-0.4583616	No	
row_27	PRKCSH	9419	-0.23307907581329346	-0.45973012	No	
row_28	CP	9465	-0.23942524194717407	-0.46077397	No	
row_29	NUCB1	9784	-0.2868023216724396	-0.47994372	No	
row_30	GAS6	10316	-0.3742066025733948	-0.51283234	No	
row_31	RCN1	10416	-0.39612850546836853	-0.516225	No	
row_32	CDH2	10819	-0.4764169454574585	-0.53950286	No	
row_33	PRSS23	10835	-0.4797804355621338	-0.5364939	No	
row_34	PAPPA2	11146	-0.5450109839439392	-0.5529537	No	
row_35	CSF1	11262	-0.574660062789917	-0.5559336	No	
row_36	IGF2	11307	-0.5837594270706177	-0.5540196	No	
row_37	KTN1	11339	-0.5922028422355652	-0.55115265	No	
row_38	PAPPA	11599	-0.656517744064331	-0.56321615	No	
row_39	ANO8	11849	-0.7285289168357849	-0.5739968	No	
row_40	IGFBP7	11854	-0.7301488518714905	-0.5681401	No	
row_41	TMEM132A	12077	-0.7933604717254639	-0.5765446	No	
row_42	MMP2	12197	-0.8374727964401245	-0.57759005	No	
row_43	P4HB	12306	-0.8703914284706116	-0.57761294	No	
row_44	QSOX1	12404	-0.907816469669342	-0.5765753	No	
row_45	APOL1	12901	-1.1188818216323853	-0.6008391	No	
row_46	SCG2	13262	-1.3080132007598877	-0.6142877	Yes	
row_47	FUCA2	13297	-1.3339104652404785	-0.6053992	Yes	
row_48	APOE	13549	-1.5018596649169922	-0.60982496	Yes	
row_49	LTBP1	13570	-1.5203081369400024	-0.59842217	Yes	
row_50	IGFBP3	13736	-1.638141393661499	-0.5958689	Yes	
row_51	PCSK9	14120	-2.0300066471099854	-0.6048184	Yes	
row_52	HSP90B1	14220	-2.1613917350769043	-0.5933953	Yes	
row_53	C3	14268	-2.240534543991089	-0.57777965	Yes	
row_54	APLP2	14307	-2.3201000690460205	-0.56088555	Yes	
row_55	PDIA6	14342	-2.3885087966918945	-0.5431459	Yes	
row_56	MATN3	14350	-2.398193359375	-0.52349293	Yes	
row_57	ADAM10	14410	-2.521599531173706	-0.5063326	Yes	
row_58	MIA3	14447	-2.6294500827789307	-0.4867064	Yes	
row_59	MBTPS1	14452	-2.6397249698638916	-0.46482277	Yes	
row_60	LAMB2	14476	-2.691678762435913	-0.44379225	Yes	
row_61	VCAN	14486	-2.722500801086426	-0.42155313	Yes	
row_62	DNAJC3	14542	-2.9066247940063477	-0.40088984	Yes	
row_63	TGOLN2	14581	-3.050534248352051	-0.37786525	Yes	
row_64	LAMB1	14618	-3.206843614578247	-0.35339308	Yes	
row_65	CALU	14624	-3.2310242652893066	-0.32661453	Yes	
row_66	FN1	14628	-3.2496085166931152	-0.29954433	Yes	
row_67	SDC2	14692	-3.5890979766845703	-0.2736959	Yes	
row_68	IGFBP5	14708	-3.7176201343536377	-0.2435119	Yes	
row_69	APP	14726	-3.9039628505706787	-0.21189965	Yes	
row_70	TNC	14745	-4.06110954284668	-0.17903633	Yes	
row_71	FBN1	14752	-4.125420570373535	-0.14481902	Yes	
row_72	LAMC1	14755	-4.170003890991211	-0.10995613	Yes	
row_73	IL6	14757	-4.222736835479736	-0.0745828	Yes	
row_74	FSTL1	14760	-4.262561798095703	-0.03894307	Yes	
row_75	CCN1	14792	-5.060362339019775	0.0014248502	Yes	
