NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
BETA1 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA1 INTEGRIN CELL SURFACE INTERACTIONS	BETA1 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA1 INTEGRIN CELL SURFACE INTERACTIONS	Details ...	57	-0.73359644	-2.5782712	0.0	0.0	0.0	1538	tags=53%, list=10%, signal=59%	
NON-INTEGRIN MEMBRANE-ECM INTERACTIONS%REACTOME%R-HSA-3000171.3	NON-INTEGRIN MEMBRANE-ECM INTERACTIONS%REACTOME%R-HSA-3000171.3	Details ...	39	-0.7673077	-2.529532	0.0	0.0	0.0	1142	tags=44%, list=8%, signal=47%	
PID_INTEGRIN1_PATHWAY%MSIGDB_C2%PID_INTEGRIN1_PATHWAY	PID_INTEGRIN1_PATHWAY%MSIGDB_C2%PID_INTEGRIN1_PATHWAY	Details ...	42	-0.74991846	-2.5187142	0.0	0.0	0.0	1241	tags=50%, list=8%, signal=54%	
COLLAGEN FORMATION%REACTOME DATABASE ID RELEASE 83%1474290	COLLAGEN FORMATION%REACTOME DATABASE ID RELEASE 83%1474290	Details ...	66	-0.6845758	-2.4687545	0.0	0.0	0.0	2295	tags=53%, list=15%, signal=62%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDBHALLMARK%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDBHALLMARK%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	145	-0.60434616	-2.4478543	0.0	0.0	0.0	2032	tags=47%, list=14%, signal=54%	
ECM PROTEOGLYCANS%REACTOME%R-HSA-3000178.4	ECM PROTEOGLYCANS%REACTOME%R-HSA-3000178.4	Details ...	36	-0.7722841	-2.4477363	0.0	0.0	0.0	1574	tags=64%, list=11%, signal=71%	
COLLAGEN BIOSYNTHESIS AND MODIFYING ENZYMES%REACTOME%R-HSA-1650814.4	COLLAGEN BIOSYNTHESIS AND MODIFYING ENZYMES%REACTOME%R-HSA-1650814.4	Details ...	50	-0.717752	-2.4292798	0.0	0.0	0.0	2295	tags=58%, list=15%, signal=68%	
BETA3 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA3 INTEGRIN CELL SURFACE INTERACTIONS	BETA3 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA3 INTEGRIN CELL SURFACE INTERACTIONS	Details ...	37	-0.7566827	-2.4079328	0.0	0.0	0.0	1241	tags=51%, list=8%, signal=56%	
EXTRACELLULAR STRUCTURE ORGANIZATION%GOBP%GO:0043062	EXTRACELLULAR STRUCTURE ORGANIZATION%GOBP%GO:0043062	Details ...	123	-0.5943899	-2.395192	0.0	0.0	0.0	2295	tags=47%, list=15%, signal=55%	
EXTERNAL ENCAPSULATING STRUCTURE ORGANIZATION%GOBP%GO:0045229	EXTERNAL ENCAPSULATING STRUCTURE ORGANIZATION%GOBP%GO:0045229	Details ...	124	-0.5961292	-2.379604	0.0	0.0	0.0	2214	tags=47%, list=15%, signal=55%	
ELASTIC FIBRE FORMATION%REACTOME%R-HSA-1566948.2	ELASTIC FIBRE FORMATION%REACTOME%R-HSA-1566948.2	Details ...	35	-0.7471692	-2.379467	0.0	0.0	0.0	1677	tags=49%, list=11%, signal=55%	
