NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TGM2	589	2.4765870571136475	-0.017977357	No	
row_1	MDK	1561	1.6186884641647339	-0.06943941	No	
row_2	SPP1	2343	1.1812944412231445	-0.11190035	No	
row_3	PLAUR	4830	0.38444340229034424	-0.27695763	No	
row_4	IGSF8	5834	0.19348308444023132	-0.34321165	No	
row_5	TGFBI	6002	0.16794927418231964	-0.35304072	No	
row_6	COL11A2	6142	0.15019850432872772	-0.3611296	No	
row_7	ITGA2	7876	-0.04268548637628555	-0.47818732	No	
row_8	ITGA10	8243	-0.08116752654314041	-0.5022702	No	
row_9	COL18A1	9293	-0.2169218808412552	-0.5714338	No	
row_10	LAMB3	9707	-0.27342814207077026	-0.59699863	No	
row_11	CD81	10349	-0.38235968351364136	-0.63704896	No	
row_12	CD14	10667	-0.4458495080471039	-0.65458125	No	
row_13	LAMA3	10686	-0.4505486488342285	-0.6518104	No	
row_14	COL7A1	11030	-0.5200614333152771	-0.67044723	No	
row_15	ITGA6	11584	-0.652535080909729	-0.7021413	No	
row_16	LAMA5	11608	-0.6591001152992249	-0.697862	No	
row_17	VEGFA	11682	-0.6769861578941345	-0.6968125	No	
row_18	CSPG4	11766	-0.705801248550415	-0.69618547	No	
row_19	COL4A3	11805	-0.718138575553894	-0.69239974	No	
row_20	ITGA11	11957	-0.7619784474372864	-0.6958831	No	
row_21	ITGA3	11977	-0.7674347162246704	-0.69037324	No	
row_22	ITGA7	12451	-0.9276338219642639	-0.71420944	No	
row_23	COL1A1	12520	-0.9565558433532715	-0.7103449	No	
row_24	VTN	12637	-0.999884843826294	-0.70934933	No	
row_25	PLAU	12784	-1.064760446548462	-0.709812	No	
row_26	VCAM1	12803	-1.0711976289749146	-0.70154387	No	
row_27	LAMC2	13277	-1.3170310258865356	-0.72193104	Yes	
row_28	COL5A1	13306	-1.339519739151001	-0.71196395	Yes	
row_29	COL1A2	13574	-1.5234814882278442	-0.7165631	Yes	
row_30	ITGA5	13640	-1.571584701538086	-0.70704776	Yes	
row_31	COL4A1	13848	-1.7425100803375244	-0.70564103	Yes	
row_32	THBS1	13961	-1.8631861209869385	-0.6967279	Yes	
row_33	LAMA1	13965	-1.8697803020477295	-0.6803699	Yes	
row_34	COL6A1	14063	-1.9709237813949585	-0.669486	Yes	
row_35	COL6A2	14124	-2.035679578781128	-0.6555212	Yes	
row_36	ITGA4	14446	-2.6202638149261475	-0.6540651	Yes	
row_37	LAMB2	14476	-2.691678762435913	-0.6321892	Yes	
row_38	COL4A4	14478	-2.7010691165924072	-0.60833275	Yes	
row_39	COL5A2	14498	-2.7544007301330566	-0.58522373	Yes	
row_40	COL6A3	14582	-3.053947687149048	-0.56379837	Yes	
row_41	LAMB1	14618	-3.206843614578247	-0.53776616	Yes	
row_42	FN1	14628	-3.2496085166931152	-0.5095932	Yes	
row_43	ITGAV	14645	-3.325247287750244	-0.4812247	Yes	
row_44	THBS2	14646	-3.326231002807617	-0.45176324	Yes	
row_45	COL4A5	14665	-3.4300639629364014	-0.42260185	Yes	
row_46	COL3A1	14671	-3.4593846797943115	-0.39229983	Yes	
row_47	LAMA4	14722	-3.8888306617736816	-0.36124346	Yes	
row_48	NID1	14729	-3.924238920211792	-0.32689184	Yes	
row_49	ITGB1	14731	-3.9445080757141113	-0.29202187	Yes	
row_50	TNC	14745	-4.06110954284668	-0.2569323	Yes	
row_51	FBN1	14752	-4.125420570373535	-0.22079873	Yes	
row_52	LAMC1	14755	-4.170003890991211	-0.18399924	Yes	
row_53	JAM2	14761	-4.26666259765625	-0.1465469	Yes	
row_54	ITGA1	14794	-5.096080780029297	-0.103577785	Yes	
row_55	LAMA2	14804	-5.743967056274414	-0.053311557	Yes	
row_56	COL11A1	14810	-6.080113887786865	2.0308998E-4	Yes	
