NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ITGA2	7876	-0.04268548637628555	-0.5315196	No	
row_1	COL18A1	9293	-0.2169218808412552	-0.62269545	No	
row_2	LAMB3	9707	-0.27342814207077026	-0.64488506	No	
row_3	LAMA3	10686	-0.4505486488342285	-0.7015572	No	
row_4	ITGA6	11584	-0.652535080909729	-0.74852175	No	
row_5	LAMA5	11608	-0.6591001152992249	-0.7362667	No	
row_6	ITGA3	11977	-0.7674347162246704	-0.74506354	No	
row_7	ITGA7	12451	-0.9276338219642639	-0.7576018	No	
row_8	LAMC2	13277	-1.3170310258865356	-0.7857762	No	
row_9	LAMA1	13965	-1.8697803020477295	-0.79304034	Yes	
row_10	HSPG2	14026	-1.928109884262085	-0.75669736	Yes	
row_11	NID2	14448	-2.6301746368408203	-0.7300478	Yes	
row_12	LAMB2	14476	-2.691678762435913	-0.67547536	Yes	
row_13	LAMB1	14618	-3.206843614578247	-0.6178152	Yes	
row_14	ITGAV	14645	-3.325247287750244	-0.5499002	Yes	
row_15	LAMA4	14722	-3.8888306617736816	-0.47355667	Yes	
row_16	NID1	14729	-3.924238920211792	-0.39173928	Yes	
row_17	ITGB1	14731	-3.9445080757141113	-0.3091592	Yes	
row_18	LAMC1	14755	-4.170003890991211	-0.22334157	Yes	
row_19	ITGA1	14794	-5.096080780029297	-0.11913423	Yes	
row_20	LAMA2	14804	-5.743967056274414	6.083877E-4	Yes	
