NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DDX49	99	3.5860073566436768	0.012978178	Yes	
row_1	RPL36	126	3.4430034160614014	0.030156445	Yes	
row_2	BOP1	135	3.3985702991485596	0.048319858	Yes	
row_3	EXOSC4	155	3.3142035007476807	0.06526729	Yes	
row_4	BUD23	180	3.2300198078155518	0.08140966	Yes	
row_5	EXOSC5	236	3.0675158500671387	0.0945395	Yes	
row_6	WDR18	241	3.057309865951538	0.11109747	Yes	
row_7	RPL17	248	3.0401535034179688	0.12742434	Yes	
row_8	PES1	263	3.006507635116577	0.14301944	Yes	
row_9	EXOSC9	312	2.9062716960906982	0.15573981	Yes	
row_10	RRP1	342	2.8547005653381348	0.16947438	Yes	
row_11	WDR46	375	2.8001036643981934	0.1827034	Yes	
row_12	RPL18	418	2.734043598175049	0.19488555	Yes	
row_13	RPL28	458	2.6376373767852783	0.20674191	Yes	
row_14	FAU	498	2.5787177085876465	0.21827391	Yes	
row_15	RPLP2	525	2.5554258823394775	0.23056585	Yes	
row_16	EMG1	588	2.4768481254577637	0.23996566	Yes	
row_17	RRP9	609	2.4490082263946533	0.25208166	Yes	
row_18	NOB1	647	2.3927981853485107	0.26272675	Yes	
row_19	RPL13	674	2.3551669120788574	0.2739162	Yes	
row_20	FBL	711	2.31394100189209	0.2841955	Yes	
row_21	RPL38	746	2.2732772827148438	0.2943876	Yes	
row_22	RPS5	783	2.2383766174316406	0.3042509	Yes	
row_23	IMP3	812	2.2032992839813232	0.31446764	Yes	
row_24	RPL8	840	2.1768484115600586	0.3246071	Yes	
row_25	IMP4	870	2.1512367725372314	0.3344689	Yes	
row_26	RPS18	913	2.1170449256896973	0.34325433	Yes	
row_27	PELP1	948	2.09494686126709	0.35246465	Yes	
row_28	LAS1L	1039	2.003770589828491	0.3573471	Yes	
row_29	RPS26	1053	1.9942132234573364	0.36743757	Yes	
row_30	EXOSC3	1075	1.9703354835510254	0.37685004	Yes	
row_31	TBL3	1168	1.899185299873352	0.38102007	Yes	
row_32	RPL35	1188	1.8794914484024048	0.39006907	Yes	
row_33	RPS16	1250	1.8340914249420166	0.3959987	Yes	
row_34	EBNA1BP2	1276	1.8111151456832886	0.40426132	Yes	
row_35	BYSL	1289	1.799828052520752	0.41334996	Yes	
row_36	RPS14	1293	1.7984647750854492	0.423046	Yes	
row_37	NOC4L	1297	1.7957183122634888	0.43272692	Yes	
row_38	RPS15	1307	1.783797025680542	0.4419323	Yes	
row_39	RPS9	1313	1.780760645866394	0.4513942	Yes	
row_40	RPL24	1396	1.7252411842346191	0.45528984	Yes	
row_41	CSNK1D	1472	1.6796015501022339	0.4594125	Yes	
row_42	SENP3	1480	1.6740697622299194	0.4681504	Yes	
row_43	RPLP1	1493	1.6671226024627686	0.4765085	Yes	
row_44	RPL18A	1626	1.5727345943450928	0.47614855	Yes	
row_45	RPL13A	1751	1.4965927600860596	0.47591597	Yes	
row_46	RPL29	1786	1.4713798761367798	0.4816934	Yes	
row_47	CSNK1E	1788	1.4694571495056152	0.4897148	Yes	
row_48	NOP58	1848	1.4222228527069092	0.4935136	Yes	
row_49	UTP14A	1887	1.4025264978408813	0.49863872	Yes	
row_50	NOL6	1903	1.3925327062606812	0.50528014	Yes	
row_51	RPL26	1926	1.3814595937728882	0.5113824	Yes	
row_52	RPS28	1950	1.3688132762908936	0.5173467	Yes	
row_53	RPP25	1971	1.3534060716629028	0.5234311	Yes	
row_54	RPL10A	1976	1.3491489887237549	0.5305852	Yes	
row_55	RPS2	2237	1.2284278869628906	0.51958483	Yes	
row_56	RPL23	2255	1.221953272819519	0.52515054	Yes	
