NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SPP1	2343	1.1812944412231445	-0.13674869	No	
row_1	SPHK1	3217	0.8266358971595764	-0.18059056	No	
row_2	HMGB1	3495	0.7353801131248474	-0.18579751	No	
row_3	L1CAM	4345	0.4912657141685486	-0.23418614	No	
row_4	PLAUR	4830	0.38444340229034424	-0.25985125	No	
row_5	SDC1	5058	0.3363746702671051	-0.26901707	No	
row_6	TGFBI	6002	0.16794927418231964	-0.3297123	No	
row_7	THY1	6659	0.08754999935626984	-0.37247387	No	
row_8	TGFBR2	10075	-0.33465999364852905	-0.59730977	No	
row_9	KDR	11283	-0.5797022581100464	-0.6682867	No	
row_10	VEGFA	11682	-0.6769861578941345	-0.6827525	No	
row_11	COL4A3	11805	-0.718138575553894	-0.6777924	No	
row_12	COL1A1	12520	-0.9565558433532715	-0.7084891	No	
row_13	PECAM1	12591	-0.9860537648200989	-0.69508255	No	
row_14	VTN	12637	-0.999884843826294	-0.6797305	No	
row_15	COL1A2	13574	-1.5234814882278442	-0.71501315	Yes	
row_16	SDC4	13799	-1.6941107511520386	-0.6989964	Yes	
row_17	COL4A1	13848	-1.7425100803375244	-0.67018443	Yes	
row_18	THBS1	13961	-1.8631861209869385	-0.6434813	Yes	
row_19	F11R	14358	-2.4131884574890137	-0.62586915	Yes	
row_20	COL4A4	14478	-2.7010691165924072	-0.58422416	Yes	
row_21	EDIL3	14608	-3.1564433574676514	-0.53487754	Yes	
row_22	LAMB1	14618	-3.206843614578247	-0.4764868	Yes	
row_23	ITGAV	14645	-3.325247287750244	-0.41706756	Yes	
row_24	COL4A5	14665	-3.4300639629364014	-0.3552464	Yes	
row_25	CD47	14701	-3.6898977756500244	-0.2897271	Yes	
row_26	LAMA4	14722	-3.8888306617736816	-0.21953319	Yes	
row_27	ITGB3	14732	-3.9605491161346436	-0.14727576	Yes	
row_28	FBN1	14752	-4.125420570373535	-0.072661445	Yes	
row_29	LAMC1	14755	-4.170003890991211	0.003923013	Yes	
