NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
MITOCHONDRIAL TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 83%5389840	MITOCHONDRIAL TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 83%5389840	Details ...	86	0.6780297	2.4096112	0.0	0.0	0.0	2795	tags=57%, list=19%, signal=70%	
RRNA PROCESSING%REACTOME DATABASE ID RELEASE 83%72312	RRNA PROCESSING%REACTOME DATABASE ID RELEASE 83%72312	Details ...	195	0.60570717	2.397535	0.0	0.0	0.0	3914	tags=54%, list=26%, signal=73%	
MITOCHONDRIAL TRANSLATION%GOBP%GO:0032543	MITOCHONDRIAL TRANSLATION%GOBP%GO:0032543	Details ...	107	0.6469687	2.391291	0.0	0.0	0.0	2795	tags=50%, list=19%, signal=61%	
MITOCHONDRIAL TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 83%5368286	MITOCHONDRIAL TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 83%5368286	Details ...	87	0.6767272	2.390326	0.0	0.0	0.0	2795	tags=56%, list=19%, signal=69%	
MAJOR PATHWAY OF RRNA PROCESSING IN THE NUCLEOLUS AND CYTOSOL%REACTOME DATABASE ID RELEASE 83%6791226	MAJOR PATHWAY OF RRNA PROCESSING IN THE NUCLEOLUS AND CYTOSOL%REACTOME DATABASE ID RELEASE 83%6791226	Details ...	177	0.61149174	2.3848906	0.0	0.0	0.0	3914	tags=56%, list=26%, signal=75%	
RRNA PROCESSING IN THE NUCLEUS AND CYTOSOL%REACTOME%R-HSA-8868773.3	RRNA PROCESSING IN THE NUCLEUS AND CYTOSOL%REACTOME%R-HSA-8868773.3	Details ...	186	0.6088941	2.3798015	0.0	0.0	0.0	3914	tags=55%, list=26%, signal=74%	
MITOCHONDRIAL TRANSLATION TERMINATION%REACTOME DATABASE ID RELEASE 83%5419276	MITOCHONDRIAL TRANSLATION TERMINATION%REACTOME DATABASE ID RELEASE 83%5419276	Details ...	87	0.67043483	2.3700094	0.0	0.0	0.0	2795	tags=55%, list=19%, signal=68%	
MITOCHONDRIAL TRANSLATION%REACTOME%R-HSA-5368287.1	MITOCHONDRIAL TRANSLATION%REACTOME%R-HSA-5368287.1	Details ...	92	0.6686541	2.3566937	0.0	0.0	0.0	2795	tags=54%, list=19%, signal=67%	
RRNA PROCESSING%GOBP%GO:0006364	RRNA PROCESSING%GOBP%GO:0006364	Details ...	157	0.6093675	2.3398561	0.0	0.0	0.0	3923	tags=55%, list=26%, signal=74%	
RRNA METABOLIC PROCESS%GOBP%GO:0016072	RRNA METABOLIC PROCESS%GOBP%GO:0016072	Details ...	183	0.5967197	2.3213181	0.0	0.0	0.0	3923	tags=53%, list=26%, signal=71%	
AEROBIC RESPIRATION I (CYTOCHROME C)%BIOCYC%PWY-3781	AEROBIC RESPIRATION I (CYTOCHROME C)%BIOCYC%PWY-3781	Details ...	71	0.6657627	2.2648058	0.0	0.0	0.0	3111	tags=51%, list=21%, signal=64%	
PROTEIN SYNTHESIS: GLYCINE%PATHWHIZ%PW112928	PROTEIN SYNTHESIS: GLYCINE%PATHWHIZ%PW112928	Details ...	79	0.6299963	2.2419236	0.0	0.0	0.0	3905	tags=63%, list=26%, signal=85%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION%MSIGDBHALLMARK%HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION%MSIGDBHALLMARK%HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	153	0.5862295	2.2284608	0.0	0.0	0.0	2980	tags=44%, list=20%, signal=54%	
PROTON MOTIVE FORCE-DRIVEN MITOCHONDRIAL ATP SYNTHESIS%GOBP%GO:0042776	PROTON MOTIVE FORCE-DRIVEN MITOCHONDRIAL ATP SYNTHESIS%GOBP%GO:0042776	Details ...	61	0.6600838	2.2233462	0.0	0.0	0.0	3192	tags=52%, list=22%, signal=67%	
PROTEIN SYNTHESIS: ALANINE%PATHWHIZ%PW101384	PROTEIN SYNTHESIS: ALANINE%PATHWHIZ%PW101384	Details ...	79	0.63315344	2.2204015	0.0	0.0	0.0	3905	tags=65%, list=26%, signal=87%	
PROTEIN SYNTHESIS: THREONINE%PATHWHIZ%PW120525	PROTEIN SYNTHESIS: THREONINE%PATHWHIZ%PW120525	Details ...	79	0.6299771	2.2185755	0.0	0.0	0.0	3905	tags=63%, list=26%, signal=85%	
ELECTRON TRANSPORT CHAIN: OXPHOS SYSTEM IN MITOCHONDRIA%WIKIPATHWAYS_20220510%WP111%HOMO SAPIENS	ELECTRON TRANSPORT CHAIN: OXPHOS SYSTEM IN MITOCHONDRIA%WIKIPATHWAYS_20220510%WP111%HOMO SAPIENS	Details ...	71	0.64481694	2.2160857	0.0	0.0	0.0	3111	tags=49%, list=21%, signal=62%	
MITOCHONDRIAL COMPLEX I ASSEMBLY MODEL OXPHOS SYSTEM%WIKIPATHWAYS_20220510%WP4324%HOMO SAPIENS	MITOCHONDRIAL COMPLEX I ASSEMBLY MODEL OXPHOS SYSTEM%WIKIPATHWAYS_20220510%WP4324%HOMO SAPIENS	Details ...	43	0.71235627	2.2149851	0.0	0.0	0.0	1885	tags=49%, list=13%, signal=56%	
FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME DATABASE ID RELEASE 83%72689	FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME DATABASE ID RELEASE 83%72689	Details ...	98	0.6092106	2.214953	0.0	0.0	0.0	3905	tags=57%, list=26%, signal=77%	
PROTEIN SYNTHESIS: SERINE%PATHWHIZ%PW120517	PROTEIN SYNTHESIS: SERINE%PATHWHIZ%PW120517	Details ...	79	0.6331513	2.211165	0.0	0.0	0.0	3905	tags=65%, list=26%, signal=87%	
SELENOCYSTEINE SYNTHESIS%REACTOME%R-HSA-2408557.2	SELENOCYSTEINE SYNTHESIS%REACTOME%R-HSA-2408557.2		90	0.6225522	2.2079592	0.0	0.0	0.0	3905	tags=61%, list=26%, signal=82%	
PROTEIN SYNTHESIS: LYSINE%SMPDB%SMP0111874	PROTEIN SYNTHESIS: LYSINE%SMPDB%SMP0111874		79	0.63383424	2.2055628	0.0	0.0	0.0	3905	tags=65%, list=26%, signal=87%	
PURINE NUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009145	PURINE NUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009145		73	0.63184	2.2023149	0.0	0.0	0.0	3989	tags=62%, list=27%, signal=84%	
