NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLEC	2907	0.9426538944244385	-0.1801263	No	
row_1	LOXL3	3447	0.7494443655014038	-0.20336503	No	
row_2	CD151	4148	0.5433880090713501	-0.24114557	No	
row_3	COL6A6	5271	0.2963313162326813	-0.3118613	No	
row_4	COL11A2	6142	0.15019850432872772	-0.36810118	No	
row_5	CTSL	7605	-0.014430788345634937	-0.4668171	No	
row_6	COL18A1	9293	-0.2169218808412552	-0.57718474	No	
row_7	LOXL1	9404	-0.2306094765663147	-0.58055437	No	
row_8	LAMB3	9707	-0.27342814207077026	-0.5961646	No	
row_9	COL24A1	10015	-0.3239281475543976	-0.61122054	No	
row_10	LAMA3	10686	-0.4505486488342285	-0.6486115	No	
row_11	PCOLCE	10701	-0.4526500105857849	-0.6415569	No	
row_12	CTSB	10709	-0.4540106952190399	-0.6340045	No	
row_13	COL7A1	11030	-0.5200614333152771	-0.64647305	No	
row_14	COL15A1	11557	-0.6461833119392395	-0.6706572	Yes	
row_15	ITGA6	11584	-0.652535080909729	-0.66088134	Yes	
row_16	COL27A1	11748	-0.6972379088401794	-0.65958947	Yes	
row_17	COL4A3	11805	-0.718138575553894	-0.6506846	Yes	
row_18	MMP3	11810	-0.7185812592506409	-0.6382518	Yes	
row_19	COL1A1	12520	-0.9565558433532715	-0.66933733	Yes	
row_20	COL8A2	12602	-0.9894826412200928	-0.65732783	Yes	
row_21	COL5A3	12822	-1.0809032917022705	-0.6530442	Yes	
row_22	BMP1	13230	-1.291958212852478	-0.65775615	Yes	
row_23	LOX	13235	-1.294661045074463	-0.6351389	Yes	
row_24	LAMC2	13277	-1.3170310258865356	-0.61463106	Yes	
row_25	COL4A2	13284	-1.3232883214950562	-0.59164315	Yes	
row_26	COL5A1	13306	-1.339519739151001	-0.56938374	Yes	
row_27	COL8A1	13519	-1.4802166223526	-0.5575669	Yes	
row_28	COL1A2	13574	-1.5234814882278442	-0.5342892	Yes	
row_29	CTSS	13730	-1.6339627504348755	-0.5158956	Yes	
row_30	LOXL4	13737	-1.6407948732376099	-0.48729464	Yes	
row_31	COL4A1	13848	-1.7425100803375244	-0.4639358	Yes	
row_32	PXDN	14060	-1.9696056842803955	-0.44339943	Yes	
row_33	COL6A1	14063	-1.9709237813949585	-0.40869138	Yes	
row_34	COL6A2	14124	-2.035679578781128	-0.37676486	Yes	
row_35	LOXL2	14372	-2.4442975521087646	-0.3502736	Yes	
row_36	COL4A4	14478	-2.7010691165924072	-0.3096302	Yes	
row_37	COL5A2	14498	-2.7544007301330566	-0.26222208	Yes	
row_38	COL6A3	14582	-3.053947687149048	-0.21385089	Yes	
row_39	COL4A5	14665	-3.4300639629364014	-0.15876274	Yes	
row_40	COL3A1	14671	-3.4593846797943115	-0.09794367	Yes	
row_41	COL11A1	14810	-6.080113887786865	2.0304327E-4	Yes	
