NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PPIB	1362	1.7498211860656738	-0.06925154	No	
row_1	COL13A1	2060	1.314218521118164	-0.09918671	No	
row_2	COL6A6	5271	0.2963313162326813	-0.31271243	No	
row_3	COL11A2	6142	0.15019850432872772	-0.36966532	No	
row_4	P3H3	6460	0.11281334608793259	-0.38965362	No	
row_5	COLGALT2	7537	-0.00778682716190815	-0.46243125	No	
row_6	SERPINH1	7591	-0.013623387552797794	-0.465842	No	
row_7	P4HA3	8409	-0.09959299862384796	-0.5198702	No	
row_8	COL18A1	9293	-0.2169218808412552	-0.57682663	No	
row_9	PCOLCE2	9510	-0.24486321210861206	-0.5882383	No	
row_10	ADAMTS14	9756	-0.2806400954723358	-0.60114396	No	
row_11	PLOD3	9766	-0.2826295495033264	-0.5980386	No	
row_12	COL24A1	10015	-0.3239281475543976	-0.6105785	No	
row_13	ADAMTS2	10447	-0.40174806118011475	-0.6344905	No	
row_14	COLGALT1	10449	-0.4018772840499878	-0.62927586	No	
row_15	PCOLCE	10701	-0.4526500105857849	-0.64032704	No	
row_16	COL7A1	11030	-0.5200614333152771	-0.6557075	No	
row_17	COL15A1	11557	-0.6461833119392395	-0.6828411	No	
row_18	COL27A1	11748	-0.6972379088401794	-0.68654567	No	
row_19	COL4A3	11805	-0.718138575553894	-0.6808994	No	
row_20	P4HB	12306	-0.8703914284706116	-0.70332503	No	
row_21	COL1A1	12520	-0.9565558433532715	-0.7051789	Yes	
row_22	COL14A1	12601	-0.9889937043190002	-0.69759804	Yes	
row_23	COL8A2	12602	-0.9894826412200928	-0.6845921	Yes	
row_24	COL5A3	12822	-1.0809032917022705	-0.685218	Yes	
row_25	COL22A1	13152	-1.2347849607467651	-0.6912717	Yes	
row_26	BMP1	13230	-1.291958212852478	-0.67950547	Yes	
row_27	COL4A2	13284	-1.3232883214950562	-0.6657018	Yes	
row_28	COL5A1	13306	-1.339519739151001	-0.64951736	Yes	
row_29	P3H1	13401	-1.410838007926941	-0.63733995	Yes	
row_30	CRTAP	13407	-1.41508150100708	-0.61907864	Yes	
row_31	COL8A1	13519	-1.4802166223526	-0.6071407	Yes	
row_32	COL1A2	13574	-1.5234814882278442	-0.59077346	Yes	
row_33	PLOD1	13700	-1.61794912815094	-0.5779734	Yes	
row_34	COL4A1	13848	-1.7425100803375244	-0.56502634	Yes	
row_35	COL16A1	14024	-1.9248872995376587	-0.5515785	Yes	
row_36	COL6A1	14063	-1.9709237813949585	-0.5282463	Yes	
row_37	ADAMTS3	14072	-1.9782251119613647	-0.5027861	Yes	
row_38	COL6A2	14124	-2.035679578781128	-0.4794832	Yes	
row_39	P3H2	14243	-2.20190167427063	-0.45853353	Yes	
row_40	COL4A4	14478	-2.7010691165924072	-0.43887967	Yes	
row_41	COL5A2	14498	-2.7544007301330566	-0.4039624	Yes	
row_42	P4HA2	14544	-2.909818649291992	-0.3687633	Yes	
row_43	COL6A3	14582	-3.053947687149048	-0.3311279	Yes	
row_44	PLOD2	14651	-3.3461501598358154	-0.2917515	Yes	
row_45	COL4A5	14665	-3.4300639629364014	-0.2475468	Yes	
row_46	COL3A1	14671	-3.4593846797943115	-0.20241486	Yes	
row_47	COL12A1	14741	-4.0190887451171875	-0.15426096	Yes	
row_48	P4HA1	14809	-6.016695976257324	-0.0797148	Yes	
row_49	COL11A1	14810	-6.080113887786865	2.0300376E-4	Yes	
