NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COX7A1	25	4.23783016204834	0.04870671	Yes	
row_1	NDUFA6	57	3.895881175994873	0.09293949	Yes	
row_2	ATP5IF1	158	3.3077492713928223	0.12549716	Yes	
row_3	NDUFS6	163	3.2917990684509277	0.1643767	Yes	
row_4	SURF1	222	3.100433588027954	0.1973175	Yes	
row_5	NDUFB7	242	3.056640625	0.23238274	Yes	
row_6	NDUFV1	260	3.0114660263061523	0.2670464	Yes	
row_7	ATP5F1D	307	2.9158527851104736	0.29860583	Yes	
row_8	NDUFS5	340	2.8563764095306396	0.33040747	Yes	
row_9	NDUFS8	370	2.814394235610962	0.3619133	Yes	
row_10	NDUFA3	686	2.345160722732544	0.3684393	Yes	
row_11	COX8A	730	2.288411855697632	0.39273977	Yes	
row_12	UQCR10	844	2.174609422683716	0.4109387	Yes	
row_13	NDUFB9	950	2.0922250747680664	0.42870048	Yes	
row_14	ATP5ME	954	2.086771011352539	0.45331588	Yes	
row_15	NDUFB10	1074	1.9737751483917236	0.46871927	Yes	
row_16	NDUFA12	1173	1.8937913179397583	0.48459578	Yes	
row_17	NDUFC1	1240	1.8445966243743896	0.5020577	Yes	
row_18	SLC25A6	1253	1.830115556716919	0.52301013	Yes	
row_19	NDUFV3	1375	1.7401467561721802	0.5354992	Yes	
row_20	COX6B1	1500	1.6614837646484375	0.5468492	Yes	
row_21	UQCRC1	1552	1.624830961227417	0.56271476	Yes	
row_22	NDUFB6	1738	1.5024596452713013	0.5680359	Yes	
row_23	NDUFB4	1771	1.4813460111618042	0.5834837	Yes	
row_24	NDUFB2	1860	1.4161242246627808	0.5943574	Yes	
row_25	NDUFA2	1885	1.4037410020828247	0.60942477	Yes	
row_26	ATP5MF	1989	1.3447387218475342	0.618432	Yes	
row_27	COX6A1	2044	1.3213934898376465	0.6304852	Yes	
row_28	ATP5MC2	2108	1.2896355390548706	0.6415502	Yes	
row_29	COX4I1	2540	1.1006916761398315	0.625407	Yes	
row_30	COX6C	2549	1.0966737270355225	0.6379076	Yes	
row_31	NDUFB3	2649	1.0474618673324585	0.6436505	Yes	
row_32	SLC25A5	2925	0.9342177510261536	0.63610864	Yes	
row_33	UQCRQ	2980	0.9151366949081421	0.64333004	Yes	
row_34	NDUFAB1	3111	0.8664163947105408	0.64481694	Yes	
row_35	COX5A	3815	0.637608528137207	0.60471666	No	
row_36	ATP5PO	3900	0.6149973273277283	0.6063335	No	
row_37	SDHA	3927	0.6075485944747925	0.6117958	No	
row_38	NDUFS3	4310	0.5004695653915405	0.5918375	No	
row_39	COX17	4449	0.4715506136417389	0.58808553	No	
row_40	COX7A2	4455	0.47053611278533936	0.59334266	No	
row_41	COX11	4500	0.4603358209133148	0.5958332	No	
row_42	NDUFS4	4900	0.3691367208957672	0.5731598	No	
row_43	NDUFC2	5405	0.2724320590496063	0.5422142	No	
row_44	NDUFB8	5491	0.2547236680984497	0.53947836	No	
row_45	UQCRH	5528	0.24930571019649506	0.54000163	No	
row_46	NDUFA10	5758	0.2089250683784485	0.52695364	No	
row_47	DMAC2L	6015	0.16649410128593445	0.5115697	No	
row_48	ATP5F1E	6582	0.0971071794629097	0.4743335	No	
row_49	SDHB	6670	0.08611582964658737	0.4694566	No	
row_50	NDUFB1	6788	0.0712614580988884	0.4623682	No	
row_51	COX7B	7126	0.0332089364528656	0.43990484	No	
row_52	NDUFA4	7248	0.01955408789217472	0.43193012	No	
row_53	SCO1	7353	0.00829559750854969	0.4249746	No	
row_54	COX7C	7510	-0.005120496265590191	0.41445422	No	
row_55	SDHC	7534	-0.00773630803450942	0.41298616	No	
row_56	SLC25A4	7785	-0.03331919014453888	0.39642525	No	
row_57	UQCR11	7816	-0.037035029381513596	0.39483085	No	
row_58	NDUFB5	7827	-0.03843708336353302	0.39460972	No	
row_59	UQCRB	7913	-0.04698936641216278	0.38940313	No	
row_60	NDUFA9	8053	-0.061309173703193665	0.3807041	No	
row_61	NDUFA5	8413	-0.0999847874045372	0.35754272	No	
row_62	ATP5MG	8654	-0.13091936707496643	0.3428209	No	
row_63	UQCRC2	9026	-0.18112346529960632	0.3198106	No	
row_64	COX7A2L	9973	-0.31492793560028076	0.25939015	No	
row_65	SLC25A27	10323	-0.37636998295783997	0.24019423	No	
row_66	UQCRFS1	11394	-0.6072940826416016	0.17484024	No	
row_67	NDUFS1	12416	-0.9148504137992859	0.11646777	No	
row_68	SLC25A14	12767	-1.056146264076233	0.10528891	No	
row_69	SDHD	13251	-1.3032188415527344	0.08802737	No	
row_70	UCP2	13546	-1.50111722946167	0.08593917	No	
