NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ICAM3	107	3.545600652694702	0.037121497	No	
row_1	COL13A1	2060	1.314218521118164	-0.078611076	No	
row_2	SPP1	2343	1.1812944412231445	-0.08292461	No	
row_3	CD44	2689	1.0289474725723267	-0.093410484	No	
row_4	BSG	5610	0.2343258559703827	-0.28820312	No	
row_5	ICAM5	6937	0.05442389100790024	-0.37731084	No	
row_6	ITGA2	7876	-0.04268548637628555	-0.44029242	No	
row_7	ITGA10	8243	-0.08116752654314041	-0.46406007	No	
row_8	ITGB5	8482	-0.10868718475103378	-0.47881597	No	
row_9	CDH1	8986	-0.17558610439300537	-0.51067895	No	
row_10	COL18A1	9293	-0.2169218808412552	-0.52868503	No	
row_11	ITGB8	9641	-0.2642131745815277	-0.54887563	No	
row_12	ICAM2	9983	-0.3161713778972626	-0.56800973	No	
row_13	KDR	11283	-0.5797022581100464	-0.6487163	No	
row_14	ITGA6	11584	-0.652535080909729	-0.6608651	No	
row_15	COL4A3	11805	-0.718138575553894	-0.666776	No	
row_16	ITGA11	11957	-0.7619784474372864	-0.667466	No	
row_17	ITGA3	11977	-0.7674347162246704	-0.65914947	No	
row_18	ITGA7	12451	-0.9276338219642639	-0.6795705	Yes	
row_19	PECAM1	12591	-0.9860537648200989	-0.676644	Yes	
row_20	VTN	12637	-0.999884843826294	-0.6671794	Yes	
row_21	AGRN	12706	-1.0307955741882324	-0.65888536	Yes	
row_22	VCAM1	12803	-1.0711976289749146	-0.6519818	Yes	
row_23	COL4A2	13284	-1.3232883214950562	-0.6679259	Yes	
row_24	ITGB2	13596	-1.539384126663208	-0.66972226	Yes	
row_25	ITGA5	13640	-1.571584701538086	-0.65296835	Yes	
row_26	ITGAE	13714	-1.6250265836715698	-0.6375772	Yes	
row_27	COL4A1	13848	-1.7425100803375244	-0.6247787	Yes	
row_28	THBS1	13961	-1.8631861209869385	-0.6090482	Yes	
row_29	LUM	14015	-1.918782114982605	-0.5886269	Yes	
row_30	COL16A1	14024	-1.9248872995376587	-0.5650821	Yes	
row_31	HSPG2	14026	-1.928109884262085	-0.5410229	Yes	
row_32	JAM3	14037	-1.940119743347168	-0.5174229	Yes	
row_33	ICAM1	14116	-2.0253727436065674	-0.49736065	Yes	
row_34	F11R	14358	-2.4131884574890137	-0.48348296	Yes	
row_35	ITGA4	14446	-2.6202638149261475	-0.45658612	Yes	
row_36	COL4A4	14478	-2.7010691165924072	-0.42488617	Yes	
row_37	FN1	14628	-3.2496085166931152	-0.39431247	Yes	
row_38	ITGAV	14645	-3.325247287750244	-0.35378632	Yes	
row_39	CD47	14701	-3.6898977756500244	-0.3113381	Yes	
row_40	ITGB1	14731	-3.9445080757141113	-0.26394328	Yes	
row_41	ITGB3	14732	-3.9605491161346436	-0.21438405	Yes	
row_42	TNC	14745	-4.06110954284668	-0.16437905	Yes	
row_43	FBN1	14752	-4.125420570373535	-0.11316302	Yes	
row_44	JAM2	14761	-4.26666259765625	-0.060315024	Yes	
row_45	ITGA1	14794	-5.096080780029297	0.0012865308	Yes	
