NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MRPL24	54	3.941640615463257	0.026687894	Yes	
row_1	MRPL23	144	3.3603322505950928	0.046518568	Yes	
row_2	MRPS7	172	3.2559704780578613	0.0697611	Yes	
row_3	MRPL57	200	3.169126272201538	0.09233473	Yes	
row_4	MRPL52	202	3.1647708415985107	0.116642684	Yes	
row_5	GADD45GIP1	218	3.102060317993164	0.1395157	Yes	
row_6	MRPL12	318	2.896522045135498	0.15509403	Yes	
row_7	MRPL41	327	2.87783145904541	0.17671593	Yes	
row_8	MRPS12	347	2.8477392196655273	0.1973581	Yes	
row_9	MRPS18A	388	2.7894065380096436	0.2161231	Yes	
row_10	TARS2	410	2.7510201930999756	0.23588432	Yes	
row_11	MRPS18B	440	2.676006317138672	0.2545238	Yes	
row_12	MRPL28	487	2.6022448539733887	0.27143928	Yes	
row_13	MRPL54	583	2.4802656173706055	0.28408346	Yes	
row_14	AURKAIP1	621	2.432666540145874	0.30030474	Yes	
row_15	MRPL20	684	2.3472635746002197	0.31416833	Yes	
row_16	MRPL58	690	2.340311288833618	0.33185408	Yes	
row_17	MRPS2	713	2.3093042373657227	0.3481451	Yes	
row_18	MRPL21	736	2.281182289123535	0.36421952	Yes	
row_19	MRPS21	739	2.2797117233276367	0.3816425	Yes	
row_20	MRPL4	749	2.2718865871429443	0.39852926	Yes	
row_21	GATB	775	2.248077630996704	0.4141447	Yes	
row_22	MRPS25	856	2.1633498668670654	0.42536783	Yes	
row_23	MRPL38	871	2.1512084007263184	0.4409851	Yes	
row_24	MRPL55	987	2.0484514236450195	0.44894347	Yes	
row_25	MRPL36	1007	2.029864549636841	0.46328613	Yes	
row_26	MRPL27	1153	1.9087547063827515	0.46812865	Yes	
row_27	MRPL14	1198	1.8726837635040283	0.4795608	Yes	
row_28	MRPL10	1270	1.817743182182312	0.48873395	Yes	
row_29	MRPL43	1329	1.772225022315979	0.4984404	Yes	
row_30	MRPL34	1354	1.755271315574646	0.5103281	Yes	
row_31	MRPS26	1389	1.7307941913604736	0.52134734	Yes	
row_32	MRPL2	1413	1.7149624824523926	0.5329926	Yes	
row_33	MRPS11	1438	1.698058009147644	0.5444396	Yes	
row_34	MRPL15	1525	1.6433318853378296	0.5512495	Yes	
row_35	MRPL51	1579	1.6067618131637573	0.56002146	Yes	
row_36	MRPS34	1628	1.5719084739685059	0.568865	Yes	
row_37	MRPL32	1664	1.5458005666732788	0.5783914	Yes	
row_38	CHCHD1	1718	1.5118094682693481	0.58643204	Yes	
row_39	HARS1	1762	1.487244963645935	0.59496343	Yes	
row_40	MRPL37	1766	1.4840484857559204	0.60618997	Yes	
row_41	MRPL11	1843	1.4257099628448486	0.6120036	Yes	
row_42	MRPS15	1846	1.4236268997192383	0.6228328	Yes	
row_43	TUFM	1890	1.4004530906677246	0.6306957	Yes	
row_44	MRPL17	2220	1.2368340492248535	0.6178518	Yes	
row_45	MRPL9	2244	1.2254695892333984	0.6257268	Yes	
row_46	MRPL18	2277	1.2121968269348145	0.63288766	Yes	
row_47	YARS2	2432	1.143009901046753	0.6312203	Yes	
row_48	MTIF3	2521	1.1063939332962036	0.6337585	Yes	
row_49	NOA1	2625	1.0578608512878418	0.63490295	Yes	
row_50	MRPS31	2655	1.0458064079284668	0.6409862	Yes	
row_51	MRPS5	2733	1.0095082521438599	0.6435261	Yes	
row_52	MRPS30	2795	0.985459566116333	0.6469687	Yes	
row_53	MRPS22	3197	0.8335751295089722	0.6261232	No	
row_54	MRPL40	3392	0.7671787738800049	0.61884123	No	
row_55	MRPL3	3469	0.7419782876968384	0.6193885	No	
row_56	MRPL49	3511	0.7321690917015076	0.6222401	No	
row_57	MRPS33	3513	0.7310917377471924	0.6278032	No	
row_58	SARS2	3747	0.6595535278320312	0.61704046	No	
row_59	MRPL1	3889	0.6173850297927856	0.6122085	No	
row_60	MRPS9	3928	0.6073365211486816	0.6143025	No	
row_61	MRPS28	3944	0.6014382839202881	0.61791503	No	
row_62	MRPS24	4332	0.4951331317424774	0.5954147	No	
row_63	WARS2	4483	0.4649128019809723	0.5887964	No	
row_64	MRPL22	4531	0.45437267422676086	0.5891003	No	
row_65	MRPL46	4679	0.42008882761001587	0.5823407	No	
row_66	AARS2	4698	0.4145856201648712	0.58431005	No	
row_67	MTIF2	4829	0.384776771068573	0.5784344	No	
row_68	MTG1	4859	0.37806737422943115	0.57937455	No	
row_69	MTRF1L	5003	0.3469104766845703	0.57232326	No	
row_70	MRPS14	5076	0.33244645595550537	0.56998825	No	
row_71	MRPL39	5137	0.3233177959918976	0.56839883	No	
row_72	QRSL1	5254	0.2994503974914551	0.5628179	No	
row_73	MRPL48	5293	0.29329296946525574	0.5624931	No	
row_74	MRPS18C	5509	0.25182661414146423	0.54981387	No	
row_75	DAP3	5517	0.2509036064147949	0.5512704	No	
row_76	DROSHA	5663	0.2255496084690094	0.5431484	No	
row_77	MRPL13	5982	0.17129814624786377	0.52284545	No	
row_78	GARS1	6003	0.1678946614265442	0.5227787	No	
row_79	RARS2	6411	0.11793354153633118	0.49601316	No	
row_80	GATC	6747	0.07667165249586105	0.47382545	No	
row_81	MRPS23	6808	0.06978593021631241	0.47028327	No	
row_82	MRPL47	7177	0.027582911774516106	0.4454736	No	
row_83	MRPL30	7509	-0.005066420882940292	0.42300636	No	
row_84	EARS2	7721	-0.027257299050688744	0.4088694	No	
row_85	MTRF1	7807	-0.035888660699129105	0.40336624	No	
row_86	MRPL33	7978	-0.05443194508552551	0.39222637	No	
row_87	LARS2	8057	-0.06157982349395752	0.38739708	No	
row_88	FASTKD2	8180	-0.07499279081821442	0.37967932	No	
row_89	MRPL50	8227	-0.07908129692077637	0.37716067	No	
row_90	MRPL45	8436	-0.10285370796918869	0.36380994	No	
row_91	MRPS10	8959	-0.17281852662563324	0.32964775	No	
row_92	MRPS16	9174	-0.20210188627243042	0.3166535	No	
row_93	MRPL35	9305	-0.21882744133472443	0.30949965	No	
row_94	GFM2	9337	-0.22233150899410248	0.30910426	No	
row_95	MRPS35	9575	-0.2540619373321533	0.29494634	No	
row_96	GFM1	9709	-0.2742995023727417	0.28801575	No	
row_97	MRPL42	9802	-0.28934863209724426	0.28398886	No	
row_98	MRPL44	10413	-0.39580675959587097	0.24556063	No	
row_99	MRPL16	10715	-0.4563821852207184	0.22860937	No	
row_100	PTCD3	10858	-0.48428428173065186	0.2226842	No	
row_101	MRPS17	11159	-0.548867404460907	0.20651329	No	
row_102	MRPL19	11505	-0.6349666118621826	0.18794575	No	
row_103	MRPS6	12631	-0.9988434910774231	0.11914493	No	
row_104	MRPS27	12889	-1.1128549575805664	0.11024178	No	
row_105	DARS2	13264	-1.3092596530914307	0.09489599	No	
row_106	IARS2	13316	-1.3450791835784912	0.10178843	No	
