NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL36	126	3.4430034160614014	0.033160448	Yes	
row_1	RPL17	248	3.0401535034179688	0.06177975	Yes	
row_2	RPL18	418	2.734043598175049	0.083433025	Yes	
row_3	RPL28	458	2.6376373767852783	0.11274088	Yes	
row_4	FAU	498	2.5787177085876465	0.14133494	Yes	
row_5	RPLP2	525	2.5554258823394775	0.17052907	Yes	
row_6	RPL13	674	2.3551669120788574	0.18901747	Yes	
row_7	RPL38	746	2.2732772827148438	0.21173945	Yes	
row_8	RPS5	783	2.2383766174316406	0.23641393	Yes	
row_9	RPL8	840	2.1768484115600586	0.25898567	Yes	
row_10	RPS18	913	2.1170449256896973	0.27974704	Yes	
row_11	RPS26	1053	1.9942132234573364	0.29447335	Yes	
row_12	RPL35	1188	1.8794914484024048	0.30814913	Yes	
row_13	RPS16	1250	1.8340914249420166	0.3262291	Yes	
row_14	RPS14	1293	1.7984647750854492	0.3451669	Yes	
row_15	RPS15	1307	1.783797025680542	0.3658951	Yes	
row_16	RPS9	1313	1.780760645866394	0.38712946	Yes	
row_17	RPL24	1396	1.7252411842346191	0.40246552	Yes	
row_18	RPLP1	1493	1.6671226024627686	0.41614738	Yes	
row_19	RPL18A	1626	1.5727345943450928	0.4262426	Yes	
row_20	RPL13A	1751	1.4965927600860596	0.43595827	Yes	
row_21	RPL29	1786	1.4713798761367798	0.4514764	Yes	
row_22	RPL26	1926	1.3814595937728882	0.45877928	Yes	
row_23	RPS28	1950	1.3688132762908936	0.47380134	Yes	
row_24	RPL10A	1976	1.3491489887237549	0.48844945	Yes	
row_25	RPS2	2237	1.2284278869628906	0.48568663	Yes	
row_26	RPL23	2255	1.221953272819519	0.49933672	Yes	
row_27	RPL30	2266	1.2164652347564697	0.51339537	Yes	
row_28	UBA52	2338	1.1836302280426025	0.52291644	Yes	
row_29	RPS21	2502	1.1153655052185059	0.52536684	Yes	
row_30	YARS1	2591	1.0790202617645264	0.5324668	Yes	
row_31	RPS8	2629	1.056567668914795	0.54275596	Yes	
row_32	RPS19	2742	1.0074639320373535	0.5473603	Yes	
row_33	RPS3	2755	0.9997960925102234	0.5586583	Yes	
row_34	RPL10	2921	0.9354466199874878	0.5587933	Yes	
row_35	RPL27A	3010	0.9029865860939026	0.5637607	Yes	
row_36	RPL37A	3041	0.8920474052429199	0.57253176	Yes	
row_37	RPL32	3266	0.8116526007652283	0.56716293	Yes	
row_38	RPS11	3299	0.7997882962226868	0.5746805	Yes	
row_39	RPS27	3332	0.7859076857566833	0.58203	Yes	
row_40	RPL31	3425	0.756342887878418	0.5849494	Yes	
row_41	RPL27	3547	0.7228309512138367	0.58549464	Yes	
row_42	RACK1	3549	0.7221279740333557	0.5941752	Yes	
row_43	RPL14	3593	0.7096566557884216	0.5998544	Yes	
row_44	RPL35A	3629	0.6984885334968567	0.6059412	Yes	
row_45	RPL3	3812	0.637963056564331	0.6013185	Yes	
row_46	RPL37	3818	0.6373488903045654	0.6087006	Yes	
row_47	RPS24	3837	0.6332070827484131	0.6151502	Yes	
row_48	RPL4	3843	0.6313051581382751	0.62245905	Yes	
row_49	RPS17	3891	0.616853654384613	0.6267424	Yes	
row_50	RPS25	3905	0.6135926842689514	0.6332938	Yes	
row_51	RPLP0	4147	0.5439459085464478	0.623528	No	
row_52	RPS15A	4303	0.5025526881217957	0.6190972	No	
row_53	RPL19	4392	0.48110711574554443	0.6189535	No	
row_54	RPL41	4532	0.45433205366134644	0.6150244	No	
row_55	RPL12	4609	0.4378792941570282	0.61517143	No	
row_56	RPS20	4701	0.4131105840206146	0.61400044	No	
row_57	RPL11	5143	0.3214554488658905	0.5879661	No	
row_58	RPL21	5275	0.2953431010246277	0.58265376	No	
row_59	RPL34	5292	0.2933652400970459	0.585122	No	
row_60	RPL7A	5503	0.25269484519958496	0.5739316	No	
row_61	RPL6	5612	0.23414504528045654	0.5694387	No	
row_62	RPS10	5647	0.22800728678703308	0.56989354	No	
row_63	RPS6	5854	0.19046323001384735	0.5582207	No	
row_64	RPL23A	6486	0.11022817343473434	0.5167329	No	
row_65	RPL15	6499	0.10817491263151169	0.517229	No	
row_66	RPS29	6560	0.099910207092762	0.51436746	No	
row_67	RPS4X	6780	0.07249128073453903	0.50038314	No	
row_68	RPL5	6864	0.06274673342704773	0.49551043	No	
row_69	RPS13	7187	0.02676396071910858	0.47398195	No	
row_70	RPSA	7214	0.024015920236706734	0.47250837	No	
row_71	RPS12	7344	0.008584021590650082	0.4638577	No	
row_72	RPS7	7907	-0.04655945301055908	0.4262813	No	
row_73	RPL7	8998	-0.1770474761724472	0.35445267	No	
row_74	RPL36A	9924	-0.30664074420928955	0.29539186	No	
row_75	RPL22	10549	-0.4217858910560608	0.2581536	No	
row_76	RPS23	11222	-0.5651987195014954	0.21939519	No	
row_77	RPL39	12625	-0.9970484375953674	0.13632669	No	
row_78	RPS3A	12628	-0.9984087944030762	0.14828654	No	
