NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFA6	57	3.895881175994873	0.05023217	Yes	
row_1	NDUFS6	163	3.2917990684509277	0.08882286	Yes	
row_2	NDUFS7	215	3.113870620727539	0.1286032	Yes	
row_3	NDUFB7	242	3.056640625	0.16928346	Yes	
row_4	NDUFV1	260	3.0114660263061523	0.20994651	Yes	
row_5	NDUFA11	270	2.991800308227539	0.25087875	Yes	
row_6	ATP5F1D	307	2.9158527851104736	0.28892627	Yes	
row_7	NDUFS5	340	2.8563764095306396	0.32641912	Yes	
row_8	NDUFS8	370	2.814394235610962	0.36353233	Yes	
row_9	NDUFA13	391	2.7781548500061035	0.40075243	Yes	
row_10	NDUFA3	686	2.345160722732544	0.41338772	Yes	
row_11	NDUFB9	950	2.0922250747680664	0.42461216	Yes	
row_12	ATP5ME	954	2.086771011352539	0.45338443	Yes	
row_13	NDUFB10	1074	1.9737751483917236	0.47272488	Yes	
row_14	NDUFA12	1173	1.8937913179397583	0.49237818	Yes	
row_15	NDUFC1	1240	1.8445966243743896	0.51351744	Yes	
row_16	NDUFV3	1375	1.7401467561721802	0.5285972	Yes	
row_17	NDUFB11	1536	1.6323314905166626	0.54041743	Yes	
row_18	NDUFB6	1738	1.5024596452713013	0.54765534	Yes	
row_19	NDUFB4	1771	1.4813460111618042	0.5660553	Yes	
row_20	NDUFB2	1860	1.4161242246627808	0.5797539	Yes	
row_21	NDUFA2	1885	1.4037410020828247	0.5976185	Yes	
row_22	ATP5PB	1928	1.3796151876449585	0.61392814	Yes	
row_23	ATP5MF	1989	1.3447387218475342	0.62853336	Yes	
row_24	ATP5PD	2215	1.2408918142318726	0.6305125	Yes	
row_25	NDUFA8	2303	1.1972650289535522	0.6412399	Yes	
row_26	MT-ND3	2460	1.131603717803955	0.6463785	Yes	
row_27	NDUFB3	2649	1.0474618673324585	0.6481797	Yes	
row_28	NDUFS2	3016	0.9004252552986145	0.635874	Yes	
row_29	MT-ND2	3060	0.886584997177124	0.6452699	Yes	
row_30	NDUFAB1	3111	0.8664163947105408	0.65391123	Yes	
row_31	ATP5F1B	3192	0.8350625038146973	0.6600838	Yes	
row_32	ATP5F1C	3373	0.774441123008728	0.6586363	No	
row_33	NDUFA1	3712	0.6685990691184998	0.64500946	No	
row_34	ATP5PO	3900	0.6149973273277283	0.64087355	No	
row_35	SDHA	3927	0.6075485944747925	0.64754725	No	
row_36	NDUFS3	4310	0.5004695653915405	0.6286034	No	
row_37	MT-ND1	4414	0.47703585028648376	0.6282456	No	
row_38	MT-ND5	4821	0.38633009791374207	0.6060901	No	
row_39	NDUFS4	4900	0.3691367208957672	0.60592866	No	
row_40	NDUFC2	5405	0.2724320590496063	0.57554895	No	
row_41	NDUFB8	5491	0.2547236680984497	0.5733243	No	
row_42	NDUFA10	5758	0.2089250683784485	0.5581951	No	
row_43	MT-ATP8	5951	0.17530351877212524	0.54761493	No	
row_44	ATP5PF	6047	0.16208243370056152	0.54342616	No	
row_45	MT-ND6	6240	0.13732792437076569	0.5323187	No	
row_46	ATP5F1E	6582	0.0971071794629097	0.5105531	No	
row_47	MT-ND4	6604	0.09430591762065887	0.51043916	No	
row_48	SDHB	6670	0.08611582964658737	0.50722903	No	
row_49	NDUFB1	6788	0.0712614580988884	0.50028795	No	
row_50	ATP5F1EP2	7185	0.026880593970417976	0.4738192	No	
row_51	SDHC	7534	-0.00773630803450942	0.45033818	No	
row_52	NDUFB5	7827	-0.03843708336353302	0.43107933	No	
row_53	MT-ND4L	7985	-0.055547572672367096	0.4212087	No	
row_54	NDUFA9	8053	-0.061309173703193665	0.4175186	No	
row_55	NDUFA5	8413	-0.0999847874045372	0.39457285	No	
row_56	ATP5MG	8654	-0.13091936707496643	0.38012287	No	
row_57	MT-ATP6	8691	-0.1359332799911499	0.37957016	No	
row_58	ATP5F1A	9986	-0.31647801399230957	0.2962536	No	
row_59	NDUFS1	12416	-0.9148504137992859	0.14431217	No	
row_60	SDHD	13251	-1.3032188415527344	0.105877	No	
