NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RRP12	29	4.165460586547852	0.022887642	Yes	
row_1	TSR3	62	3.844343900680542	0.043653656	Yes	
row_2	DDX49	99	3.5860073566436768	0.06260459	Yes	
row_3	BOP1	135	3.3985702991485596	0.08050483	Yes	
row_4	EXOSC4	155	3.3142035007476807	0.098993056	Yes	
row_5	BUD23	180	3.2300198078155518	0.1166376	Yes	
row_6	EXOSC5	236	3.0675158500671387	0.13119704	Yes	
row_7	WDR18	241	3.057309865951538	0.14917511	Yes	
row_8	PES1	263	3.006507635116577	0.16569005	Yes	
row_9	DDX54	273	2.98309063911438	0.18288393	Yes	
row_10	EXOSC9	312	2.9062716960906982	0.19764066	Yes	
row_11	RRS1	367	2.818592071533203	0.21078233	Yes	
row_12	WDR46	375	2.8001036643981934	0.2270203	Yes	
row_13	ERI3	419	2.7325963973999023	0.2403991	Yes	
row_14	NOP53	570	2.4922585487365723	0.24504292	Yes	
row_15	EMG1	588	2.4768481254577637	0.2586689	Yes	
row_16	ABT1	604	2.455440044403076	0.27230355	Yes	
row_17	WDR74	605	2.4535977840423584	0.2869506	Yes	
row_18	RRP9	609	2.4490082263946533	0.30136555	Yes	
row_19	NHP2	612	2.4444925785064697	0.3158218	Yes	
row_20	NSUN5	632	2.4135305881500244	0.32893336	Yes	
row_21	NOB1	647	2.3927981853485107	0.34226227	Yes	
row_22	FBL	711	2.31394100189209	0.35177734	Yes	
row_23	SART1	805	2.209996223449707	0.35862508	Yes	
row_24	IMP3	812	2.2032992839813232	0.3713686	Yes	
row_25	IMP4	870	2.1512367725372314	0.38032174	Yes	
row_26	EIF6	896	2.129958391189575	0.3913311	Yes	
row_27	MRTO4	920	2.1119766235351562	0.4023696	Yes	
row_28	PELP1	948	2.09494686126709	0.4130335	Yes	
row_29	RPUSD1	1021	2.0195536613464355	0.42017713	Yes	
row_30	LAS1L	1039	2.003770589828491	0.43097904	Yes	
row_31	EXOSC3	1075	1.9703354835510254	0.44035324	Yes	
row_32	KRI1	1083	1.9642809629440308	0.45160168	Yes	
row_33	TBL3	1168	1.899185299873352	0.45720804	Yes	
row_34	RPL35	1188	1.8794914484024048	0.46713158	Yes	
row_35	RPS16	1250	1.8340914249420166	0.47391856	Yes	
row_36	TSR2	1252	1.831512212753296	0.48478377	Yes	
row_37	EBNA1BP2	1276	1.8111151456832886	0.49402624	Yes	
row_38	POP4	1285	1.8006186485290527	0.5042294	Yes	
row_39	BYSL	1289	1.799828052520752	0.514769	Yes	
row_40	RPS14	1293	1.7984647750854492	0.5253005	Yes	
row_41	NOC4L	1297	1.7957183122634888	0.5358156	Yes	
row_42	RPS15	1307	1.783797025680542	0.54585016	Yes	
row_43	MRPS11	1438	1.698058009147644	0.5471174	Yes	
row_44	NSA2	1697	1.5207384824752808	0.5385931	Yes	
row_45	NOLC1	1814	1.4512542486190796	0.5393423	Yes	
row_46	NOP58	1848	1.4222228527069092	0.5455809	Yes	
row_47	NOL6	1903	1.3925327062606812	0.5502095	Yes	
row_48	RPL26	1926	1.3814595937728882	0.55695534	Yes	
row_49	RPS28	1950	1.3688132762908936	0.56355745	Yes	
row_50	DDX27	2063	1.312726616859436	0.56375253	Yes	
row_51	RPF1	2065	1.311611294746399	0.5715141	Yes	
row_52	PIH1D1	2276	1.2127057313919067	0.5644259	Yes	
row_53	RPS21	2502	1.1153655052185059	0.55573314	Yes	
row_54	MPHOSPH6	2542	1.1005730628967285	0.5596423	Yes	
row_55	EXOSC7	2543	1.1000205278396606	0.566209	Yes	
row_56	DHX37	2586	1.079752802848816	0.56978923	Yes	
row_57	RPS8	2629	1.056567668914795	0.573231	Yes	
row_58	RPS19	2742	1.0074639320373535	0.5716038	Yes	
row_59	LSM6	3152	0.8501520752906799	0.54877406	Yes	
row_60	NOL10	3180	0.840688943862915	0.5519506	Yes	
row_61	TRMT112	3216	0.826964795589447	0.55449927	Yes	
row_62	RRP7A	3226	0.8242648839950562	0.5588058	Yes	
row_63	NOP56	3252	0.8148723244667053	0.56196463	Yes	
row_64	RPS27	3332	0.7859076857566833	0.56126624	Yes	
row_65	PIN4	3354	0.779608428478241	0.56448746	Yes	
row_66	RPP40	3375	0.774055540561676	0.5677437	Yes	
row_67	MRM1	3379	0.7725798487663269	0.57215106	Yes	
row_68	RIOK1	3385	0.7696644067764282	0.5764046	Yes	
row_69	EXOSC10	3443	0.7504854798316956	0.57699573	Yes	
row_70	NAF1	3487	0.73789381980896	0.57846695	Yes	
row_71	SNU13	3499	0.7344042658805847	0.5821006	Yes	
row_72	RPL27	3547	0.7228309512138367	0.5832089	Yes	
row_73	RPL14	3593	0.7096566557884216	0.5843751	Yes	
row_74	FTSJ3	3619	0.7019519209861755	0.5868598	Yes	
row_75	RPUSD2	3627	0.6996548175811768	0.5905589	Yes	
row_76	RPL35A	3629	0.6984885334968567	0.5946604	Yes	
row_77	ESF1	3660	0.6891075968742371	0.59672725	Yes	
row_78	UTP3	3714	0.6685882210731506	0.59710246	Yes	
