NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
BETA1 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA1 INTEGRIN CELL SURFACE INTERACTIONS	BETA1 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA1 INTEGRIN CELL SURFACE INTERACTIONS	Details ...	57	-0.73359644	-2.604748	0.0	0.0	0.0	1538	tags=53%, list=10%, signal=59%	
COLLAGEN BIOSYNTHESIS AND MODIFYING ENZYMES%REACTOME%R-HSA-1650814.4	COLLAGEN BIOSYNTHESIS AND MODIFYING ENZYMES%REACTOME%R-HSA-1650814.4	Details ...	50	-0.717752	-2.4892557	0.0	0.0	0.0	2295	tags=58%, list=15%, signal=68%	
ECM PROTEOGLYCANS%REACTOME%R-HSA-3000178.4	ECM PROTEOGLYCANS%REACTOME%R-HSA-3000178.4	Details ...	36	-0.7722841	-2.485639	0.0	0.0	0.0	1574	tags=64%, list=11%, signal=71%	
NON-INTEGRIN MEMBRANE-ECM INTERACTIONS%REACTOME%R-HSA-3000171.3	NON-INTEGRIN MEMBRANE-ECM INTERACTIONS%REACTOME%R-HSA-3000171.3	Details ...	39	-0.7673077	-2.4842546	0.0	0.0	0.0	1142	tags=44%, list=8%, signal=47%	
PID_INTEGRIN1_PATHWAY%MSIGDB_C2%PID_INTEGRIN1_PATHWAY	PID_INTEGRIN1_PATHWAY%MSIGDB_C2%PID_INTEGRIN1_PATHWAY	Details ...	42	-0.74991846	-2.4793706	0.0	0.0	0.0	1241	tags=50%, list=8%, signal=54%	
COLLAGEN FORMATION%REACTOME DATABASE ID RELEASE 83%1474290	COLLAGEN FORMATION%REACTOME DATABASE ID RELEASE 83%1474290	Details ...	66	-0.6845758	-2.4413536	0.0	0.0	0.0	2295	tags=53%, list=15%, signal=62%	
BETA3 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA3 INTEGRIN CELL SURFACE INTERACTIONS	BETA3 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA3 INTEGRIN CELL SURFACE INTERACTIONS	Details ...	37	-0.7566827	-2.434318	0.0	0.0	0.0	1241	tags=51%, list=8%, signal=56%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDBHALLMARK%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDBHALLMARK%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	145	-0.60434616	-2.4249134	0.0	0.0	0.0	2032	tags=47%, list=14%, signal=54%	
POST-TRANSLATIONAL PROTEIN PHOSPHORYLATION%REACTOME DATABASE ID RELEASE 83%8957275	POST-TRANSLATIONAL PROTEIN PHOSPHORYLATION%REACTOME DATABASE ID RELEASE 83%8957275	Details ...	69	-0.66042566	-2.4075332	0.0	0.0	0.0	1553	tags=43%, list=10%, signal=48%	
ELASTIC FIBRE FORMATION%REACTOME%R-HSA-1566948.2	ELASTIC FIBRE FORMATION%REACTOME%R-HSA-1566948.2	Details ...	35	-0.7471692	-2.4016728	0.0	0.0	0.0	1677	tags=49%, list=11%, signal=55%	
EXTERNAL ENCAPSULATING STRUCTURE ORGANIZATION%GOBP%GO:0045229	EXTERNAL ENCAPSULATING STRUCTURE ORGANIZATION%GOBP%GO:0045229	Details ...	124	-0.5961292	-2.3724008	0.0	0.0	0.0	2214	tags=47%, list=15%, signal=55%	
EXTRACELLULAR STRUCTURE ORGANIZATION%GOBP%GO:0043062	EXTRACELLULAR STRUCTURE ORGANIZATION%GOBP%GO:0043062	Details ...	123	-0.5943899	-2.3714948	0.0	0.0	0.0	2295	tags=47%, list=15%, signal=55%	
GLYCOPROTEIN BIOSYNTHETIC PROCESS%GOBP%GO:0009101	GLYCOPROTEIN BIOSYNTHETIC PROCESS%GOBP%GO:0009101	Details ...	186	-0.55799437	-2.3690364	0.0	0.0	0.0	1931	tags=37%, list=13%, signal=42%	
LAMININ INTERACTIONS%REACTOME%R-HSA-3000157.2	LAMININ INTERACTIONS%REACTOME%R-HSA-3000157.2	Details ...	21	-0.8322171	-2.3674803	0.0	0.0	0.0	850	tags=57%, list=6%, signal=61%	
EXTRACELLULAR MATRIX ORGANIZATION%GOBP%GO:0030198	EXTRACELLULAR MATRIX ORGANIZATION%GOBP%GO:0030198	Details ...	123	-0.5943899	-2.356076	0.0	0.0	0.0	2295	tags=47%, list=15%, signal=55%	
REGULATION OF IGF ACTIVITY BY IGFBP%REACTOME DATABASE ID RELEASE 83%381426	REGULATION OF IGF ACTIVITY BY IGFBP%REACTOME DATABASE ID RELEASE 83%381426	Details ...	76	-0.6252657	-2.3413348	0.0	0.0	0.0	1553	tags=39%, list=10%, signal=44%	
INTEGRIN CELL SURFACE INTERACTIONS%REACTOME DATABASE ID RELEASE 83%216083	INTEGRIN CELL SURFACE INTERACTIONS%REACTOME DATABASE ID RELEASE 83%216083	Details ...	46	-0.6911782	-2.3162477	0.0	0.0	0.0	2364	tags=61%, list=16%, signal=72%	
REGULATION OF EXTRACELLULAR MATRIX ORGANIZATION%GOBP%GO:1903053	REGULATION OF EXTRACELLULAR MATRIX ORGANIZATION%GOBP%GO:1903053	Details ...	43	-0.69913477	-2.3126943	0.0	0.0	0.0	917	tags=35%, list=6%, signal=37%	
PID_INTEGRIN3_PATHWAY%MSIGDB_C2%PID_INTEGRIN3_PATHWAY	PID_INTEGRIN3_PATHWAY%MSIGDB_C2%PID_INTEGRIN3_PATHWAY	Details ...	30	-0.7430422	-2.288731	0.0	0.0	0.0	1241	tags=50%, list=8%, signal=54%	
ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES%REACTOME%R-HSA-2022090.3	ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES%REACTOME%R-HSA-2022090.3	Details ...	42	-0.686248	-2.2822256	0.0	6.961611E-5	0.001	2295	tags=55%, list=15%, signal=65%	
COLLAGEN CHAIN TRIMERIZATION%REACTOME DATABASE ID RELEASE 83%8948216	COLLAGEN CHAIN TRIMERIZATION%REACTOME DATABASE ID RELEASE 83%8948216		29	-0.74648196	-2.273003	0.0	6.630105E-5	0.001	2295	tags=69%, list=15%, signal=81%	
