NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE
MITOCHONDRIAL TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 83%5389840,MITOCHONDRIAL TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 83%5389840,Details ...,86,0.6780297,2.4061463,0,0,0,2795,"tags=57%, list=19%, signal=70%"
MITOCHONDRIAL TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 83%5368286,MITOCHONDRIAL TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 83%5368286,Details ...,87,0.6767272,2.3976998,0,0,0,2795,"tags=56%, list=19%, signal=69%"
RRNA PROCESSING IN THE NUCLEUS AND CYTOSOL%REACTOME%R-HSA-8868773.3,RRNA PROCESSING IN THE NUCLEUS AND CYTOSOL%REACTOME%R-HSA-8868773.3,Details ...,186,0.6088941,2.3906958,0,0,0,3914,"tags=55%, list=26%, signal=74%"
RRNA PROCESSING%REACTOME DATABASE ID RELEASE 83%72312,RRNA PROCESSING%REACTOME DATABASE ID RELEASE 83%72312,Details ...,195,0.60570717,2.3905568,0,0,0,3914,"tags=54%, list=26%, signal=73%"
MITOCHONDRIAL TRANSLATION%REACTOME%R-HSA-5368287.1,MITOCHONDRIAL TRANSLATION%REACTOME%R-HSA-5368287.1,Details ...,92,0.6686541,2.3883471,0,0,0,2795,"tags=54%, list=19%, signal=67%"
MITOCHONDRIAL TRANSLATION TERMINATION%REACTOME DATABASE ID RELEASE 83%5419276,MITOCHONDRIAL TRANSLATION TERMINATION%REACTOME DATABASE ID RELEASE 83%5419276,Details ...,87,0.67043483,2.3862169,0,0,0,2795,"tags=55%, list=19%, signal=68%"
MAJOR PATHWAY OF RRNA PROCESSING IN THE NUCLEOLUS AND CYTOSOL%REACTOME DATABASE ID RELEASE 83%6791226,MAJOR PATHWAY OF RRNA PROCESSING IN THE NUCLEOLUS AND CYTOSOL%REACTOME DATABASE ID RELEASE 83%6791226,Details ...,177,0.61149174,2.375737,0,0,0,3914,"tags=56%, list=26%, signal=75%"
RRNA PROCESSING%GOBP%GO:0006364,RRNA PROCESSING%GOBP%GO:0006364,Details ...,157,0.6093675,2.3368506,0,0,0,3923,"tags=55%, list=26%, signal=74%"
MITOCHONDRIAL TRANSLATION%GOBP%GO:0032543,MITOCHONDRIAL TRANSLATION%GOBP%GO:0032543,Details ...,107,0.6469687,2.335516,0,0,0,2795,"tags=50%, list=19%, signal=61%"
RRNA METABOLIC PROCESS%GOBP%GO:0016072,RRNA METABOLIC PROCESS%GOBP%GO:0016072,Details ...,183,0.5967197,2.3198614,0,0,0,3923,"tags=53%, list=26%, signal=71%"
AEROBIC RESPIRATION I (CYTOCHROME C)%BIOCYC%PWY-3781,AEROBIC RESPIRATION I (CYTOCHROME C)%BIOCYC%PWY-3781,Details ...,71,0.6657627,2.2698257,0,0,0,3111,"tags=51%, list=21%, signal=64%"
MITOCHONDRIAL COMPLEX I ASSEMBLY MODEL OXPHOS SYSTEM%WIKIPATHWAYS_20220510%WP4324%HOMO SAPIENS,MITOCHONDRIAL COMPLEX I ASSEMBLY MODEL OXPHOS SYSTEM%WIKIPATHWAYS_20220510%WP4324%HOMO SAPIENS,Details ...,43,0.71235627,2.2364297,0,0,0,1885,"tags=49%, list=13%, signal=56%"
PROTEIN SYNTHESIS: TYROSINE%PATHWHIZ%PW120527,PROTEIN SYNTHESIS: TYROSINE%PATHWHIZ%PW120527,Details ...,79,0.6332938,2.2356944,0,0,0,3905,"tags=65%, list=26%, signal=87%"
HALLMARK_OXIDATIVE_PHOSPHORYLATION%MSIGDBHALLMARK%HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION%MSIGDBHALLMARK%HALLMARK_OXIDATIVE_PHOSPHORYLATION,Details ...,153,0.5862295,2.2352045,0,0,0,2980,"tags=44%, list=20%, signal=54%"
