NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SPP1	2343	1.1812944412231445	-0.14211167	No	
row_1	SPHK1	3217	0.8266358971595764	-0.18968184	No	
row_2	PVR	3401	0.7628691792488098	-0.19144557	No	
row_3	HMGB1	3495	0.7353801131248474	-0.18750145	No	
row_4	L1CAM	4345	0.4912657141685486	-0.23811637	No	
row_5	PLAUR	4830	0.38444340229034424	-0.2655179	No	
row_6	SDC1	5058	0.3363746702671051	-0.27619672	No	
row_7	TGFBI	6002	0.16794927418231964	-0.337674	No	
row_8	THY1	6659	0.08754999935626984	-0.38084847	No	
row_9	PDGFB	9565	-0.2518840730190277	-0.5739311	No	
row_10	TGFBR2	10075	-0.33465999364852905	-0.6037175	No	
row_11	KDR	11283	-0.5797022581100464	-0.6773281	No	
row_12	VEGFA	11682	-0.6769861578941345	-0.6948371	No	
row_13	COL4A3	11805	-0.718138575553894	-0.6930955	No	
row_14	COL1A1	12520	-0.9565558433532715	-0.728097	No	
row_15	PECAM1	12591	-0.9860537648200989	-0.7191066	No	
row_16	VTN	12637	-0.999884843826294	-0.70823187	No	
row_17	PLAU	12784	-1.064760446548462	-0.7032889	No	
row_18	COL1A2	13574	-1.5234814882278442	-0.73547333	Yes	
row_19	SDC4	13799	-1.6941107511520386	-0.7270472	Yes	
row_20	COL4A1	13848	-1.7425100803375244	-0.7060369	Yes	
row_21	THBS1	13961	-1.8631861209869385	-0.6876777	Yes	
row_22	F11R	14358	-2.4131884574890137	-0.68088055	Yes	
row_23	COL4A4	14478	-2.7010691165924072	-0.6513303	Yes	
row_24	PDGFRB	14573	-3.0263257026672363	-0.6155602	Yes	
row_25	EDIL3	14608	-3.1564433574676514	-0.57391816	Yes	
row_26	LAMB1	14618	-3.206843614578247	-0.5298827	Yes	
row_27	FN1	14628	-3.2496085166931152	-0.4852519	Yes	
row_28	ITGAV	14645	-3.325247287750244	-0.44004178	Yes	
row_29	COL4A5	14665	-3.4300639629364014	-0.39357546	Yes	
row_30	CD47	14701	-3.6898977756500244	-0.3445746	Yes	
row_31	LAMA4	14722	-3.8888306617736816	-0.29178917	Yes	
row_32	ITGB3	14732	-3.9605491161346436	-0.23726091	Yes	
row_33	TNC	14745	-4.06110954284668	-0.1815357	Yes	
row_34	FBN1	14752	-4.125420570373535	-0.12450914	Yes	
row_35	LAMC1	14755	-4.170003890991211	-0.06659121	Yes	
row_36	CCN1	14792	-5.060362339019775	0.0014210879	Yes	
