NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ITGB5	8482	-0.10868718475103378	-0.57033026	No	
row_1	COL5A3	12822	-1.0809032917022705	-0.83551484	Yes	
row_2	COL4A2	13284	-1.3232883214950562	-0.8323735	Yes	
row_3	COL1A2	13574	-1.5234814882278442	-0.8124218	Yes	
row_4	COL4A1	13848	-1.7425100803375244	-0.785713	Yes	
row_5	THBS1	13961	-1.8631861209869385	-0.74499786	Yes	
row_6	COL6A1	14063	-1.9709237813949585	-0.7007475	Yes	
row_7	LAMB2	14476	-2.691678762435913	-0.65883416	Yes	
row_8	COL5A2	14498	-2.7544007301330566	-0.58887476	Yes	
row_9	THBS2	14646	-3.326231002807617	-0.5126108	Yes	
row_10	COL3A1	14671	-3.4593846797943115	-0.4245849	Yes	
row_11	SDC2	14692	-3.5890979766845703	-0.33292726	Yes	
row_12	LAMA4	14722	-3.8888306617736816	-0.23411041	Yes	
row_13	LAMC1	14755	-4.170003890991211	-0.12820987	Yes	
row_14	ITGA1	14794	-5.096080780029297	0.0012839186	Yes	
