NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MDK	1561	1.6186884641647339	-0.0852261	No	
row_1	SPP1	2343	1.1812944412231445	-0.12317464	No	
row_2	PLAUR	4830	0.38444340229034424	-0.28660983	No	
row_3	IGSF8	5834	0.19348308444023132	-0.35206455	No	
row_4	TGFBI	6002	0.16794927418231964	-0.36124822	No	
row_5	COL11A2	6142	0.15019850432872772	-0.36876065	No	
row_6	ITGA2	7876	-0.04268548637628555	-0.485538	No	
row_7	COL18A1	9293	-0.2169218808412552	-0.57865494	No	
row_8	LAMB3	9707	-0.27342814207077026	-0.60315937	No	
row_9	CD81	10349	-0.38235968351364136	-0.64172244	No	
row_10	CD14	10667	-0.4458495080471039	-0.6575501	No	
row_11	LAMA3	10686	-0.4505486488342285	-0.6530774	No	
row_12	ITGA6	11584	-0.652535080909729	-0.7055578	No	
row_13	LAMA5	11608	-0.6591001152992249	-0.69878924	No	
row_14	VEGFA	11682	-0.6769861578941345	-0.6951795	No	
row_15	CSPG4	11766	-0.705801248550415	-0.6918828	No	
row_16	COL4A3	11805	-0.718138575553894	-0.6853839	No	
row_17	COL1A1	12520	-0.9565558433532715	-0.7216357	No	
row_18	VTN	12637	-0.999884843826294	-0.71685815	No	
row_19	VCAM1	12803	-1.0711976289749146	-0.71449685	No	
row_20	LAMC2	13277	-1.3170310258865356	-0.7298806	No	
row_21	COL1A2	13574	-1.5234814882278442	-0.7306743	Yes	
row_22	COL4A1	13848	-1.7425100803375244	-0.72714436	Yes	
row_23	THBS1	13961	-1.8631861209869385	-0.71119106	Yes	
row_24	LAMA1	13965	-1.8697803020477295	-0.6877756	Yes	
row_25	COL6A1	14063	-1.9709237813949585	-0.669446	Yes	
row_26	ITGA4	14446	-2.6202638149261475	-0.6622073	Yes	
row_27	LAMB2	14476	-2.691678762435913	-0.63017	Yes	
row_28	COL4A4	14478	-2.7010691165924072	-0.5961186	Yes	
row_29	COL5A2	14498	-2.7544007301330566	-0.56261206	Yes	
row_30	LAMB1	14618	-3.206843614578247	-0.53015995	Yes	
row_31	ITGAV	14645	-3.325247287750244	-0.48991647	Yes	
row_32	THBS2	14646	-3.326231002807617	-0.44790053	Yes	
row_33	COL4A5	14665	-3.4300639629364014	-0.4057915	Yes	
row_34	COL3A1	14671	-3.4593846797943115	-0.36243206	Yes	
row_35	LAMA4	14722	-3.8888306617736816	-0.3166943	Yes	
row_36	NID1	14729	-3.924238920211792	-0.26753065	Yes	
row_37	ITGB1	14731	-3.9445080757141113	-0.2177725	Yes	
row_38	FBN1	14752	-4.125420570373535	-0.16701533	Yes	
row_39	LAMC1	14755	-4.170003890991211	-0.114476465	Yes	
row_40	JAM2	14761	-4.26666259765625	-0.06091973	Yes	
row_41	ITGA1	14794	-5.096080780029297	0.0012861828	Yes	
