NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PPIB	1362	1.7498211860656738	-0.07320886	No	
row_1	COL13A1	2060	1.314218521118164	-0.10609226	No	
row_2	PLEC	2907	0.9426538944244385	-0.15314355	No	
row_3	LOXL3	3447	0.7494443655014038	-0.18149213	No	
row_4	CD151	4148	0.5433880090713501	-0.22301166	No	
row_5	COL6A6	5271	0.2963313162326813	-0.29584798	No	
row_6	COL11A2	6142	0.15019850432872772	-0.35319588	No	
row_7	P3H3	6460	0.11281334608793259	-0.37345618	No	
row_8	COLGALT2	7537	-0.00778682716190815	-0.44633004	No	
row_9	SERPINH1	7591	-0.013623387552797794	-0.4497747	No	
row_10	CTSL	7605	-0.014430788345634937	-0.4504983	No	
row_11	P4HA3	8409	-0.09959299862384796	-0.50385684	No	
row_12	COL18A1	9293	-0.2169218808412552	-0.5613563	No	
row_13	LOXL1	9404	-0.2306094765663147	-0.5662921	No	
row_14	PCOLCE2	9510	-0.24486321210861206	-0.570733	No	
row_15	LAMB3	9707	-0.27342814207077026	-0.5810317	No	
row_16	ADAMTS14	9756	-0.2806400954723358	-0.5812162	No	
row_17	PLOD3	9766	-0.2826295495033264	-0.5787346	No	
row_18	COL24A1	10015	-0.3239281475543976	-0.5920067	No	
row_19	ADAMTS2	10447	-0.40174806118011475	-0.61683595	No	
row_20	COLGALT1	10449	-0.4018772840499878	-0.61250734	No	
row_21	LAMA3	10686	-0.4505486488342285	-0.62358063	No	
row_22	PCOLCE	10701	-0.4526500105857849	-0.619578	No	
row_23	CTSB	10709	-0.4540106952190399	-0.6150859	No	
row_24	COL7A1	11030	-0.5200614333152771	-0.6310944	No	
row_25	COL15A1	11557	-0.6461833119392395	-0.65969115	No	
row_26	ITGA6	11584	-0.652535080909729	-0.6543155	No	
row_27	COL27A1	11748	-0.6972379088401794	-0.65774024	No	
row_28	COL4A3	11805	-0.718138575553894	-0.6536811	No	
row_29	MMP3	11810	-0.7185812592506409	-0.64609116	No	
row_30	P4HB	12306	-0.8703914284706116	-0.6701332	No	
row_31	COL1A1	12520	-0.9565558433532715	-0.6741113	Yes	
row_32	COL14A1	12601	-0.9889937043190002	-0.66871643	Yes	
row_33	COL8A2	12602	-0.9894826412200928	-0.6578917	Yes	
row_34	COL5A3	12822	-1.0809032917022705	-0.6609163	Yes	
row_35	COL22A1	13152	-1.2347849607467651	-0.6697162	Yes	
row_36	BMP1	13230	-1.291958212852478	-0.6608035	Yes	
row_37	LOX	13235	-1.294661045074463	-0.64691144	Yes	
row_38	LAMC2	13277	-1.3170310258865356	-0.6352834	Yes	
row_39	COL4A2	13284	-1.3232883214950562	-0.6212138	Yes	
row_40	COL5A1	13306	-1.339519739151001	-0.6079837	Yes	
row_41	P3H1	13401	-1.410838007926941	-0.5989232	Yes	
row_42	CRTAP	13407	-1.41508150100708	-0.58378154	Yes	
row_43	COL8A1	13519	-1.4802166223526	-0.5751147	Yes	
row_44	COL1A2	13574	-1.5234814882278442	-0.5621097	Yes	
row_45	PLOD1	13700	-1.61794912815094	-0.5528855	Yes	
row_46	CTSS	13730	-1.6339627504348755	-0.53697664	Yes	
row_47	LOXL4	13737	-1.6407948732376099	-0.51943356	Yes	
row_48	COL4A1	13848	-1.7425100803375244	-0.50782955	Yes	
row_49	COL16A1	14024	-1.9248872995376587	-0.49863774	Yes	
row_50	PXDN	14060	-1.9696056842803955	-0.4794639	Yes	
row_51	COL6A1	14063	-1.9709237813949585	-0.45803803	Yes	
row_52	ADAMTS3	14072	-1.9782251119613647	-0.43693915	Yes	
row_53	COL6A2	14124	-2.035679578781128	-0.4181274	Yes	
row_54	P3H2	14243	-2.20190167427063	-0.40204015	Yes	
row_55	LOXL2	14372	-2.4442975521087646	-0.38397926	Yes	
row_56	COL4A4	14478	-2.7010691165924072	-0.3615498	Yes	
row_57	COL5A2	14498	-2.7544007301330566	-0.3327056	Yes	
row_58	P4HA2	14544	-2.909818649291992	-0.30392408	Yes	
row_59	COL6A3	14582	-3.053947687149048	-0.27302343	Yes	
row_60	PLOD2	14651	-3.3461501598358154	-0.24102809	Yes	
row_61	COL4A5	14665	-3.4300639629364014	-0.20438544	Yes	
row_62	COL3A1	14671	-3.4593846797943115	-0.1668796	Yes	
row_63	COL12A1	14741	-4.0190887451171875	-0.12759028	Yes	
row_64	P4HA1	14809	-6.016695976257324	-0.06631199	Yes	
row_65	COL11A1	14810	-6.080113887786865	2.0306886E-4	Yes	
