NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BCAN	885	2.1425843238830566	-0.029852258	No	
row_1	TGFB1	3936	0.6041063666343689	-0.22777195	No	
row_2	ITGA2	7876	-0.04268548637628555	-0.49371845	No	
row_3	ITGB5	8482	-0.10868718475103378	-0.53313416	No	
row_4	PTPRS	9531	-0.24797487258911133	-0.6005743	No	
row_5	NCAM1	9895	-0.30151253938674927	-0.62091136	No	
row_6	DAG1	10622	-0.4351761043071747	-0.6639383	No	
row_7	LAMA3	10686	-0.4505486488342285	-0.66188574	No	
row_8	LAMA5	11608	-0.6591001152992249	-0.71496904	No	
row_9	SPARC	12129	-0.8118340373039246	-0.73877645	No	
row_10	ITGA7	12451	-0.9276338219642639	-0.74749464	No	
row_11	VTN	12637	-0.999884843826294	-0.7459972	No	
row_12	AGRN	12706	-1.0307955741882324	-0.7361493	No	
row_13	BGN	13241	-1.2979722023010254	-0.75408953	Yes	
row_14	DCN	13242	-1.299060344696045	-0.7358797	Yes	
row_15	SERPINE1	13763	-1.6675125360488892	-0.7476925	Yes	
row_16	TGFB3	13795	-1.6921496391296387	-0.7260702	Yes	
row_17	ASPN	13943	-1.8408581018447876	-0.7102129	Yes	
row_18	LAMA1	13965	-1.8697803020477295	-0.6854239	Yes	
row_19	LUM	14015	-1.918782114982605	-0.6618428	Yes	
row_20	HSPG2	14026	-1.928109884262085	-0.63549185	Yes	
row_21	FMOD	14130	-2.042191505432129	-0.6138349	Yes	
row_22	TGFB2	14141	-2.0565743446350098	-0.58568317	Yes	
row_23	LRP4	14244	-2.2078189849853516	-0.5616368	Yes	
row_24	MATN3	14350	-2.398193359375	-0.5351249	Yes	
row_25	HAPLN1	14454	-2.6417195796966553	-0.50506395	Yes	
row_26	LAMB2	14476	-2.691678762435913	-0.46875387	Yes	
row_27	VCAN	14486	-2.722500801086426	-0.43119976	Yes	
row_28	LAMB1	14618	-3.206843614578247	-0.39511177	Yes	
row_29	ITGAV	14645	-3.325247287750244	-0.35025892	Yes	
row_30	LAMA4	14722	-3.8888306617736816	-0.3008893	Yes	
row_31	ITGB1	14731	-3.9445080757141113	-0.24613781	Yes	
row_32	ITGB3	14732	-3.9605491161346436	-0.19062012	Yes	
row_33	TNC	14745	-4.06110954284668	-0.13450481	Yes	
row_34	LAMC1	14755	-4.170003890991211	-0.07666006	Yes	
row_35	LAMA2	14804	-5.743967056274414	6.0894544E-4	Yes	
