NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DMAC1	46	3.9838826656341553	0.06549706	Yes	
row_1	NDUFA6	57	3.895881175994873	0.13191576	Yes	
row_2	NDUFS6	163	3.2917990684509277	0.1814993	Yes	
row_3	NDUFB7	242	3.056640625	0.2288608	Yes	
row_4	NDUFV1	260	3.0114660263061523	0.279574	Yes	
row_5	NDUFS5	340	2.8563764095306396	0.3234188	Yes	
row_6	NDUFA13	391	2.7781548500061035	0.36787978	Yes	
row_7	NDUFA3	686	2.345160722732544	0.38836476	Yes	
row_8	ECSIT	744	2.2745895385742188	0.42367932	Yes	
row_9	TMEM70	843	2.1746559143066406	0.45449707	Yes	
row_10	NDUFB9	950	2.0922250747680664	0.48335359	Yes	
row_11	NDUFAF2	990	2.0447840690612793	0.515929	Yes	
row_12	NDUFB10	1074	1.9737751483917236	0.54430264	Yes	
row_13	NDUFA12	1173	1.8937913179397583	0.5702833	Yes	
row_14	NDUFC1	1240	1.8445966243743896	0.5975831	Yes	
row_15	NDUFV3	1375	1.7401467561721802	0.61848044	Yes	
row_16	NDUFB11	1536	1.6323314905166626	0.6357608	Yes	
row_17	NDUFB6	1738	1.5024596452713013	0.64802873	Yes	
row_18	NDUFB4	1771	1.4813460111618042	0.6713744	Yes	
row_19	NDUFB2	1860	1.4161242246627808	0.68980557	Yes	
row_20	NDUFA2	1885	1.4037410020828247	0.71235627	Yes	
row_21	NDUFB3	2649	1.0474618673324585	0.6787406	No	
row_22	NDUFAB1	3111	0.8664163947105408	0.6624524	No	
row_23	DMAC2	3371	0.7757512927055359	0.6582782	No	
row_24	TMEM186	3578	0.7137863039970398	0.6566249	No	
row_25	NDUFS3	4310	0.5004695653915405	0.61575526	No	
row_26	NDUFAF1	4545	0.4507971704006195	0.60767716	No	
row_27	NDUFS4	4900	0.3691367208957672	0.59006864	No	
row_28	ACAD9	5260	0.29831504821777344	0.5709019	No	
row_29	NDUFAF7	5298	0.2928388714790344	0.5734403	No	
row_30	NDUFC2	5405	0.2724320590496063	0.570956	No	
row_31	NDUFAF6	5477	0.2566782832145691	0.5705698	No	
row_32	NDUFB8	5491	0.2547236680984497	0.5740766	No	
row_33	NDUFA10	5758	0.2089250683784485	0.5596665	No	
row_34	NDUFB1	6788	0.0712614580988884	0.49123025	No	
row_35	NUBPL	7182	0.027128010988235474	0.4650913	No	
row_36	NDUFAF4	7457	5.089346086606383E-5	0.4465423	No	
row_37	NDUFB5	7827	-0.03843708336353302	0.42222288	No	
row_38	NDUFA5	8413	-0.0999847874045372	0.3843402	No	
row_39	TIMMDC1	9278	-0.21498119831085205	0.32954967	No	
row_40	COA1	9688	-0.27084290981292725	0.30652478	No	
row_41	NDUFS1	12416	-0.9148504137992859	0.13766202	No	
row_42	TMEM126B	13421	-1.4253482818603516	0.09423865	No	
