NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MRPL24	54	3.941640615463257	0.03003742	Yes	
row_1	MRPL23	144	3.3603322505950928	0.052727602	Yes	
row_2	MRPS7	172	3.2559704780578613	0.07873537	Yes	
row_3	MRPL57	200	3.169126272201538	0.10400054	Yes	
row_4	MRPL52	202	3.1647708415985107	0.13099393	Yes	
row_5	GADD45GIP1	218	3.102060317993164	0.15650047	Yes	
row_6	MRPL12	318	2.896522045135498	0.17454569	Yes	
row_7	MRPL41	327	2.87783145904541	0.19861022	Yes	
row_8	MRPS12	347	2.8477392196655273	0.2216705	Yes	
row_9	MRPS18A	388	2.7894065380096436	0.24280603	Yes	
row_10	MRPS18B	440	2.676006317138672	0.26222497	Yes	
row_11	MRPL28	487	2.6022448539733887	0.28135273	Yes	
row_12	MRPL54	583	2.4802656173706055	0.2961102	Yes	
row_13	AURKAIP1	621	2.432666540145874	0.31439906	Yes	
row_14	MRPL20	684	2.3472635746002197	0.33026007	Yes	
row_15	MRPL58	690	2.340311288833618	0.34993207	Yes	
row_16	MRPS2	713	2.3093042373657227	0.3681846	Yes	
row_17	MRPL21	736	2.281182289123535	0.38619667	Yes	
row_18	MRPS21	739	2.2797117233276367	0.4055542	Yes	
row_19	MRPL4	749	2.2718865871429443	0.4243695	Yes	
row_20	MRPS25	856	2.1633498668670654	0.4356702	Yes	
row_21	MRPL38	871	2.1512084007263184	0.4531141	Yes	
row_22	MRPL55	987	2.0484514236450195	0.46282122	Yes	
row_23	MRPL36	1007	2.029864549636841	0.478888	Yes	
row_24	MRPL27	1153	1.9087547063827515	0.4853635	Yes	
row_25	MRPL14	1198	1.8726837635040283	0.49838874	Yes	
row_26	MRPL10	1270	1.817743182182312	0.5091108	Yes	
row_27	OXA1L	1328	1.7722764015197754	0.52039474	Yes	
row_28	MRPL43	1329	1.772225022315979	0.5355487	Yes	
row_29	MRPL34	1354	1.755271315574646	0.54892796	Yes	
row_30	MRPS26	1389	1.7307941913604736	0.56141895	Yes	
row_31	MRPL2	1413	1.7149624824523926	0.5745215	Yes	
row_32	MRPS11	1438	1.698058009147644	0.5874115	Yes	
row_33	MRPL15	1525	1.6433318853378296	0.59562373	Yes	
row_34	MRPL51	1579	1.6067618131637573	0.605764	Yes	
row_35	MRPS34	1628	1.5719084739685059	0.61594576	Yes	
row_36	MRPL32	1664	1.5458005666732788	0.62678695	Yes	
row_37	CHCHD1	1718	1.5118094682693481	0.6361153	Yes	
row_38	MRPL37	1766	1.4840484857559204	0.6456137	Yes	
row_39	MRPL11	1843	1.4257099628448486	0.65264404	Yes	
row_40	MRPS15	1846	1.4236268997192383	0.6646814	Yes	
row_41	MRPL17	2220	1.2368340492248535	0.64992964	Yes	
row_42	MRPL9	2244	1.2254695892333984	0.6588466	Yes	
row_43	MRPL18	2277	1.2121968269348145	0.667039	Yes	
row_44	MTIF3	2521	1.1063939332962036	0.65999925	Yes	
row_45	ERAL1	2624	1.0596206188201904	0.66213375	Yes	
row_46	MRPS31	2655	1.0458064079284668	0.6690392	Yes	
row_47	MRPS5	2733	1.0095082521438599	0.6724428	Yes	
row_48	MRPS30	2795	0.985459566116333	0.6767272	Yes	
row_49	MRPS36	3135	0.8565390706062317	0.6610323	No	
row_50	MRPS22	3197	0.8335751295089722	0.66401803	No	
row_51	MRPL40	3392	0.7671787738800049	0.6574049	No	
row_52	MRPL3	3469	0.7419782876968384	0.6585888	No	
row_53	MRPL49	3511	0.7321690917015076	0.66206545	No	
row_54	MRPS33	3513	0.7310917377471924	0.66824895	No	
row_55	MRPL1	3889	0.6173850297927856	0.6480647	No	
row_56	MRPS9	3928	0.6073365211486816	0.65067756	No	
row_57	MRPS28	3944	0.6014382839202881	0.6548018	No	
row_58	MRPS24	4332	0.4951331317424774	0.6327573	No	
row_59	MRPL22	4531	0.45437267422676086	0.6231979	No	
row_60	MRPL46	4679	0.42008882761001587	0.6168083	No	
row_61	MTIF2	4829	0.384776771068573	0.609981	No	
