NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TSR3	62	3.844343900680542	0.015954548	Yes	
row_1	DDX49	99	3.5860073566436768	0.03232956	Yes	
row_2	RPL36	126	3.4430034160614014	0.04863704	Yes	
row_3	BOP1	135	3.3985702991485596	0.06594165	Yes	
row_4	EXOSC4	155	3.3142035007476807	0.08205112	Yes	
row_5	BUD23	180	3.2300198078155518	0.0973766	Yes	
row_6	EXOSC5	236	3.0675158500671387	0.109729275	Yes	
row_7	WDR18	241	3.057309865951538	0.1255148	Yes	
row_8	RPL17	248	3.0401535034179688	0.14107351	Yes	
row_9	PES1	263	3.006507635116577	0.15590857	Yes	
row_10	EXOSC9	312	2.9062716960906982	0.16789283	Yes	
row_11	RRP1	342	2.8547005653381348	0.18090507	Yes	
row_12	WDR46	375	2.8001036643981934	0.19342545	Yes	
row_13	RPL18	418	2.734043598175049	0.20491523	Yes	
row_14	RPL28	458	2.6376373767852783	0.21610369	Yes	
row_15	FAU	498	2.5787177085876465	0.22698267	Yes	
row_16	RPLP2	525	2.5554258823394775	0.23862801	Yes	
row_17	EMG1	588	2.4768481254577637	0.24739958	Yes	
row_18	RRP9	609	2.4490082263946533	0.25889614	Yes	
row_19	NHP2	612	2.4444925785064697	0.27159947	Yes	
row_20	NOB1	647	2.3927981853485107	0.2818437	Yes	
row_21	RPL13	674	2.3551669120788574	0.29243717	Yes	
row_22	FBL	711	2.31394100189209	0.30213046	Yes	
row_23	RPL38	746	2.2732772827148438	0.31174687	Yes	
row_24	RPS5	783	2.2383766174316406	0.32104325	Yes	
row_25	IMP3	812	2.2032992839813232	0.33070228	Yes	
row_26	RPL8	840	2.1768484115600586	0.34029073	Yes	
row_27	IMP4	870	2.1512367725372314	0.3496079	Yes	
row_28	RPS18	913	2.1170449256896973	0.3578568	Yes	
row_29	PELP1	948	2.09494686126709	0.36653653	Yes	
row_30	LAS1L	1039	2.003770589828491	0.37090904	Yes	
row_31	RPS26	1053	1.9942132234573364	0.38049525	Yes	
row_32	EXOSC3	1075	1.9703354835510254	0.38940912	Yes	
row_33	TBL3	1168	1.899185299873352	0.39309558	Yes	
row_34	RPL35	1188	1.8794914484024048	0.401669	Yes	
row_35	RPS16	1250	1.8340914249420166	0.40713277	Yes	
row_36	EBNA1BP2	1276	1.8111151456832886	0.41493687	Yes	
row_37	BYSL	1289	1.799828052520752	0.4235704	Yes	
row_38	RPS14	1293	1.7984647750854492	0.432812	Yes	
row_39	NOC4L	1297	1.7957183122634888	0.44203922	Yes	
row_40	RPS15	1307	1.783797025680542	0.45079362	Yes	
row_41	RPS9	1313	1.780760645866394	0.45980552	Yes	
row_42	RPL24	1396	1.7252411842346191	0.46326193	Yes	
row_43	CSNK1D	1472	1.6796015501022339	0.46695712	Yes	
row_44	SENP3	1480	1.6740697622299194	0.4752719	Yes	
row_45	RPLP1	1493	1.6671226024627686	0.48320836	Yes	
row_46	RPL18A	1626	1.5727345943450928	0.4824456	Yes	
row_47	RPL13A	1751	1.4965927600860596	0.4818298	Yes	
row_48	RPL29	1786	1.4713798761367798	0.48723412	Yes	
row_49	CSNK1E	1788	1.4694571495056152	0.4948843	Yes	
row_50	NOP58	1848	1.4222228527069092	0.49832138	Yes	
row_51	UTP14A	1887	1.4025264978408813	0.5030906	Yes	
row_52	NOL6	1903	1.3925327062606812	0.5093797	Yes	
row_53	RPL26	1926	1.3814595937728882	0.515132	Yes	
row_54	RPS28	1950	1.3688132762908936	0.52074957	Yes	
row_55	RPP25	1971	1.3534060716629028	0.52649134	Yes	
row_56	RPL10A	1976	1.3491489887237549	0.5333045	Yes	
row_57	RPS2	2237	1.2284278869628906	0.52198285	Yes	
row_58	RPL23	2255	1.221953272819519	0.5272392	Yes	
row_59	RPL30	2266	1.2164652347564697	0.5329452	Yes	
row_60	ISG20L2	2314	1.1923396587371826	0.5359952	Yes	
row_61	UBA52	2338	1.1836302280426025	0.54064006	Yes	
row_62	RPL26L1	2398	1.1555191278457642	0.5426762	Yes	
row_63	RPS21	2502	1.1153655052185059	0.54149354	Yes	
row_64	NOL12	2507	1.114010214805603	0.54707164	Yes	
row_65	MPHOSPH6	2542	1.1005730628967285	0.5505282	Yes	
