NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
BETA1 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA1 INTEGRIN CELL SURFACE INTERACTIONS	BETA1 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA1 INTEGRIN CELL SURFACE INTERACTIONS	Details ...	57	-0.73359644	-2.5710156	0.0	0.0	0.0	1538	tags=53%, list=10%, signal=59%	
PID_INTEGRIN1_PATHWAY%MSIGDB_C2%PID_INTEGRIN1_PATHWAY	PID_INTEGRIN1_PATHWAY%MSIGDB_C2%PID_INTEGRIN1_PATHWAY	Details ...	42	-0.74991846	-2.534378	0.0	0.0	0.0	1241	tags=50%, list=8%, signal=54%	
NON-INTEGRIN MEMBRANE-ECM INTERACTIONS%REACTOME%R-HSA-3000171.3	NON-INTEGRIN MEMBRANE-ECM INTERACTIONS%REACTOME%R-HSA-3000171.3	Details ...	39	-0.7673077	-2.4898505	0.0	0.0	0.0	1142	tags=44%, list=8%, signal=47%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDBHALLMARK%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDBHALLMARK%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	145	-0.60434616	-2.4892948	0.0	0.0	0.0	2032	tags=47%, list=14%, signal=54%	
COLLAGEN BIOSYNTHESIS AND MODIFYING ENZYMES%REACTOME%R-HSA-1650814.4	COLLAGEN BIOSYNTHESIS AND MODIFYING ENZYMES%REACTOME%R-HSA-1650814.4	Details ...	50	-0.717752	-2.4870956	0.0	0.0	0.0	2295	tags=58%, list=15%, signal=68%	
ECM PROTEOGLYCANS%REACTOME%R-HSA-3000178.4	ECM PROTEOGLYCANS%REACTOME%R-HSA-3000178.4	Details ...	36	-0.7722841	-2.485094	0.0	0.0	0.0	1574	tags=64%, list=11%, signal=71%	
COLLAGEN FORMATION%REACTOME DATABASE ID RELEASE 83%1474290	COLLAGEN FORMATION%REACTOME DATABASE ID RELEASE 83%1474290	Details ...	66	-0.6845758	-2.4480593	0.0	0.0	0.0	2295	tags=53%, list=15%, signal=62%	
BETA3 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA3 INTEGRIN CELL SURFACE INTERACTIONS	BETA3 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA3 INTEGRIN CELL SURFACE INTERACTIONS	Details ...	37	-0.7566827	-2.4386373	0.0	0.0	0.0	1241	tags=51%, list=8%, signal=56%	
POST-TRANSLATIONAL PROTEIN PHOSPHORYLATION%REACTOME DATABASE ID RELEASE 83%8957275	POST-TRANSLATIONAL PROTEIN PHOSPHORYLATION%REACTOME DATABASE ID RELEASE 83%8957275	Details ...	69	-0.66042566	-2.4283593	0.0	0.0	0.0	1553	tags=43%, list=10%, signal=48%	
EXTRACELLULAR MATRIX ORGANIZATION%GOBP%GO:0030198	EXTRACELLULAR MATRIX ORGANIZATION%GOBP%GO:0030198	Details ...	123	-0.5943899	-2.3890421	0.0	0.0	0.0	2295	tags=47%, list=15%, signal=55%	
EXTERNAL ENCAPSULATING STRUCTURE ORGANIZATION%GOBP%GO:0045229	EXTERNAL ENCAPSULATING STRUCTURE ORGANIZATION%GOBP%GO:0045229	Details ...	124	-0.5961292	-2.3703232	0.0	0.0	0.0	2214	tags=47%, list=15%, signal=55%	
LAMININ INTERACTIONS%REACTOME%R-HSA-3000157.2	LAMININ INTERACTIONS%REACTOME%R-HSA-3000157.2	Details ...	21	-0.8322171	-2.3696837	0.0	0.0	0.0	850	tags=57%, list=6%, signal=61%	
GLYCOPROTEIN BIOSYNTHETIC PROCESS%GOBP%GO:0009101	GLYCOPROTEIN BIOSYNTHETIC PROCESS%GOBP%GO:0009101	Details ...	186	-0.55799437	-2.3672483	0.0	0.0	0.0	1931	tags=37%, list=13%, signal=42%	
INTEGRIN CELL SURFACE INTERACTIONS%REACTOME DATABASE ID RELEASE 83%216083	INTEGRIN CELL SURFACE INTERACTIONS%REACTOME DATABASE ID RELEASE 83%216083	Details ...	46	-0.6911782	-2.3558238	0.0	0.0	0.0	2364	tags=61%, list=16%, signal=72%	
EXTRACELLULAR STRUCTURE ORGANIZATION%GOBP%GO:0043062	EXTRACELLULAR STRUCTURE ORGANIZATION%GOBP%GO:0043062	Details ...	123	-0.5943899	-2.3484664	0.0	0.0	0.0	2295	tags=47%, list=15%, signal=55%	
ELASTIC FIBRE FORMATION%REACTOME%R-HSA-1566948.2	ELASTIC FIBRE FORMATION%REACTOME%R-HSA-1566948.2	Details ...	35	-0.7471692	-2.3460176	0.0	0.0	0.0	1677	tags=49%, list=11%, signal=55%	
REGULATION OF IGF ACTIVITY BY IGFBP%REACTOME DATABASE ID RELEASE 83%381426	REGULATION OF IGF ACTIVITY BY IGFBP%REACTOME DATABASE ID RELEASE 83%381426	Details ...	76	-0.6252657	-2.3025553	0.0	0.0	0.0	1553	tags=39%, list=10%, signal=44%	
PID_INTEGRIN3_PATHWAY%MSIGDB_C2%PID_INTEGRIN3_PATHWAY	PID_INTEGRIN3_PATHWAY%MSIGDB_C2%PID_INTEGRIN3_PATHWAY	Details ...	30	-0.7430422	-2.2927396	0.0	0.0	0.0	1241	tags=50%, list=8%, signal=54%	
REGULATION OF EXTRACELLULAR MATRIX ORGANIZATION%GOBP%GO:1903053	REGULATION OF EXTRACELLULAR MATRIX ORGANIZATION%GOBP%GO:1903053	Details ...	43	-0.69913477	-2.2840967	0.0	0.0	0.0	917	tags=35%, list=6%, signal=37%	
MIRNA TARGETS IN ECM AND MEMBRANE RECEPTORS%WIKIPATHWAYS_20220510%WP2911%HOMO SAPIENS	MIRNA TARGETS IN ECM AND MEMBRANE RECEPTORS%WIKIPATHWAYS_20220510%WP2911%HOMO SAPIENS	Details ...	15	-0.8666656	-2.282236	0.0	0.0	0.0	1531	tags=87%, list=10%, signal=97%	
COLLAGEN CHAIN TRIMERIZATION%REACTOME DATABASE ID RELEASE 83%8948216	COLLAGEN CHAIN TRIMERIZATION%REACTOME DATABASE ID RELEASE 83%8948216		29	-0.74648196	-2.2814405	0.0	0.0	0.0	2295	tags=69%, list=15%, signal=81%	
POSITIVE REGULATION OF PATHWAY-RESTRICTED SMAD PROTEIN PHOSPHORYLATION%GOBP%GO:0010862	POSITIVE REGULATION OF PATHWAY-RESTRICTED SMAD PROTEIN PHOSPHORYLATION%GOBP%GO:0010862		31	-0.7403498	-2.2678194	0.0	0.0	0.0	1703	tags=45%, list=11%, signal=51%	
ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES%REACTOME%R-HSA-2022090.3	ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES%REACTOME%R-HSA-2022090.3		42	-0.686248	-2.2589004	0.0	0.0	0.0	2295	tags=55%, list=15%, signal=65%	
PROTEOGLYCAN METABOLIC PROCESS%GOBP%GO:0006029	PROTEOGLYCAN METABOLIC PROCESS%GOBP%GO:0006029		47	-0.6591012	-2.2563345	0.0	0.0	0.0	1350	tags=36%, list=9%, signal=40%	
CELL ADHESION MEDIATED BY INTEGRIN%GOBP%GO:0033627	CELL ADHESION MEDIATED BY INTEGRIN%GOBP%GO:0033627		21	-0.7900908	-2.251389	0.0	0.0	0.0	1175	tags=52%, list=8%, signal=57%	
IMPORT INTO CELL%GOBP%GO:0098657	IMPORT INTO CELL%GOBP%GO:0098657		85	-0.598795	-2.2393677	0.0	5.4468866E-5	0.001	2555	tags=46%, list=17%, signal=55%	
PROTEIN GLYCOSYLATION%GOBP%GO:0006486	PROTEIN GLYCOSYLATION%GOBP%GO:0006486		146	-0.53745943	-2.22627	0.0	5.24515E-5	0.001	1931	tags=36%, list=13%, signal=41%	
TYPE I COLLAGEN SYNTHESIS IN THE CONTEXT OF OSTEOGENESIS IMPERFECTA%WIKIPATHWAYS_20220510%WP4786%HOMO SAPIENS	TYPE I COLLAGEN SYNTHESIS IN THE CONTEXT OF OSTEOGENESIS IMPERFECTA%WIKIPATHWAYS_20220510%WP4786%HOMO SAPIENS		24	-0.7537605	-2.2092516	0.0	1.01374164E-4	0.002	1585	tags=63%, list=11%, signal=70%	
IMPORT ACROSS PLASMA MEMBRANE%GOBP%GO:0098739	IMPORT ACROSS PLASMA MEMBRANE%GOBP%GO:0098739		70	-0.60472053	-2.2067955	0.0	9.78785E-5	0.002	2555	tags=47%, list=17%, signal=57%	
MUCOPOLYSACCHARIDE METABOLIC PROCESS%GOBP%GO:1903510	MUCOPOLYSACCHARIDE METABOLIC PROCESS%GOBP%GO:1903510		46	-0.6535648	-2.189171	0.0	2.823763E-4	0.006	2804	tags=54%, list=19%, signal=67%	
CELL-MATRIX ADHESION%GOBP%GO:0007160	CELL-MATRIX ADHESION%GOBP%GO:0007160		75	-0.58231467	-2.168362	0.0	3.6354418E-4	0.008	2858	tags=48%, list=19%, signal=59%	
TRANSITION METAL ION TRANSPORT%GOBP%GO:0000041	TRANSITION METAL ION TRANSPORT%GOBP%GO:0000041		51	-0.6289358	-2.1664722	0.0	3.969079E-4	0.009	2104	tags=51%, list=14%, signal=59%	
MACROMOLECULE GLYCOSYLATION%GOBP%GO:0043413	MACROMOLECULE GLYCOSYLATION%GOBP%GO:0043413		146	-0.53745943	-2.1664302	0.0	3.848804E-4	0.009	1931	tags=36%, list=13%, signal=41%	
