NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
MITOCHONDRIAL TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 83%5389840	MITOCHONDRIAL TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 83%5389840	Details ...	86	0.6780297	2.4060323	0.0	0.0	0.0	2795	tags=57%, list=19%, signal=70%	
MITOCHONDRIAL TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 83%5368286	MITOCHONDRIAL TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 83%5368286	Details ...	87	0.6767272	2.389403	0.0	0.0	0.0	2795	tags=56%, list=19%, signal=69%	
RRNA PROCESSING%REACTOME DATABASE ID RELEASE 83%72312	RRNA PROCESSING%REACTOME DATABASE ID RELEASE 83%72312	Details ...	195	0.60570717	2.3831496	0.0	0.0	0.0	3914	tags=54%, list=26%, signal=73%	
RRNA PROCESSING IN THE NUCLEUS AND CYTOSOL%REACTOME%R-HSA-8868773.3	RRNA PROCESSING IN THE NUCLEUS AND CYTOSOL%REACTOME%R-HSA-8868773.3	Details ...	186	0.6088941	2.3767495	0.0	0.0	0.0	3914	tags=55%, list=26%, signal=74%	
MITOCHONDRIAL TRANSLATION%REACTOME%R-HSA-5368287.1	MITOCHONDRIAL TRANSLATION%REACTOME%R-HSA-5368287.1	Details ...	92	0.6686541	2.3670971	0.0	0.0	0.0	2795	tags=54%, list=19%, signal=67%	
MAJOR PATHWAY OF RRNA PROCESSING IN THE NUCLEOLUS AND CYTOSOL%REACTOME DATABASE ID RELEASE 83%6791226	MAJOR PATHWAY OF RRNA PROCESSING IN THE NUCLEOLUS AND CYTOSOL%REACTOME DATABASE ID RELEASE 83%6791226	Details ...	177	0.61149174	2.3591127	0.0	0.0	0.0	3914	tags=56%, list=26%, signal=75%	
MITOCHONDRIAL TRANSLATION TERMINATION%REACTOME DATABASE ID RELEASE 83%5419276	MITOCHONDRIAL TRANSLATION TERMINATION%REACTOME DATABASE ID RELEASE 83%5419276	Details ...	87	0.67043483	2.3552048	0.0	0.0	0.0	2795	tags=55%, list=19%, signal=68%	
MITOCHONDRIAL TRANSLATION%GOBP%GO:0032543	MITOCHONDRIAL TRANSLATION%GOBP%GO:0032543	Details ...	107	0.6469687	2.3537498	0.0	0.0	0.0	2795	tags=50%, list=19%, signal=61%	
RRNA METABOLIC PROCESS%GOBP%GO:0016072	RRNA METABOLIC PROCESS%GOBP%GO:0016072	Details ...	183	0.5967197	2.3443952	0.0	0.0	0.0	3923	tags=53%, list=26%, signal=71%	
RRNA PROCESSING%GOBP%GO:0006364	RRNA PROCESSING%GOBP%GO:0006364	Details ...	157	0.6093675	2.3202887	0.0	0.0	0.0	3923	tags=55%, list=26%, signal=74%	
AEROBIC RESPIRATION I (CYTOCHROME C)%BIOCYC%PWY-3781	AEROBIC RESPIRATION I (CYTOCHROME C)%BIOCYC%PWY-3781	Details ...	71	0.6657627	2.288914	0.0	0.0	0.0	3111	tags=51%, list=21%, signal=64%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION%MSIGDBHALLMARK%HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION%MSIGDBHALLMARK%HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	153	0.5862295	2.2342901	0.0	0.0	0.0	2980	tags=44%, list=20%, signal=54%	
MITOCHONDRIAL COMPLEX I ASSEMBLY MODEL OXPHOS SYSTEM%WIKIPATHWAYS_20220510%WP4324%HOMO SAPIENS	MITOCHONDRIAL COMPLEX I ASSEMBLY MODEL OXPHOS SYSTEM%WIKIPATHWAYS_20220510%WP4324%HOMO SAPIENS	Details ...	43	0.71235627	2.2337384	0.0	0.0	0.0	1885	tags=49%, list=13%, signal=56%	
PROTEIN SYNTHESIS: THREONINE%PATHWHIZ%PW120525	PROTEIN SYNTHESIS: THREONINE%PATHWHIZ%PW120525	Details ...	79	0.6299771	2.2280436	0.0	0.0	0.0	3905	tags=63%, list=26%, signal=85%	
PROTEIN SYNTHESIS: GLUTAMINE%SMPDB%SMP0111862	PROTEIN SYNTHESIS: GLUTAMINE%SMPDB%SMP0111862	Details ...	79	0.63311386	2.221999	0.0	0.0	0.0	3905	tags=65%, list=26%, signal=87%	
PROTEIN SYNTHESIS: CYSTEINE%PATHWHIZ%PW112918	PROTEIN SYNTHESIS: CYSTEINE%PATHWHIZ%PW112918	Details ...	79	0.63140523	2.218988	0.0	0.0	0.0	3905	tags=63%, list=26%, signal=85%	
PROTEIN SYNTHESIS: ASPARAGINE%SMPDB%SMP0111854	PROTEIN SYNTHESIS: ASPARAGINE%SMPDB%SMP0111854	Details ...	79	0.6265388	2.2114484	0.0	0.0	0.0	3905	tags=63%, list=26%, signal=85%	
PROTEIN SYNTHESIS: ARGININE%SMPDB%SMP0111853	PROTEIN SYNTHESIS: ARGININE%SMPDB%SMP0111853	Details ...	79	0.6300199	2.2096775	0.0	0.0	0.0	3905	tags=63%, list=26%, signal=85%	
PROTEIN SYNTHESIS: GLYCINE%PATHWHIZ%PW112928	PROTEIN SYNTHESIS: GLYCINE%PATHWHIZ%PW112928	Details ...	79	0.6299963	2.2094193	0.0	0.0	0.0	3905	tags=63%, list=26%, signal=85%	
PROTEIN SYNTHESIS: ALANINE%PATHWHIZ%PW101384	PROTEIN SYNTHESIS: ALANINE%PATHWHIZ%PW101384	Details ...	79	0.63315344	2.2074637	0.0	0.0	0.0	3905	tags=65%, list=26%, signal=87%	
MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX ASSEMBLY%GOBP%GO:0033108	MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX ASSEMBLY%GOBP%GO:0033108		92	0.6162123	2.207336	0.0	0.0	0.0	2448	tags=41%, list=17%, signal=49%	
PROTEIN SYNTHESIS: TYROSINE%PATHWHIZ%PW120527	PROTEIN SYNTHESIS: TYROSINE%PATHWHIZ%PW120527		79	0.6332938	2.2067976	0.0	3.2918844E-5	0.001	3905	tags=65%, list=26%, signal=87%	
PROTEIN SYNTHESIS: HISTIDINE%PATHWHIZ%PW112929	PROTEIN SYNTHESIS: HISTIDINE%PATHWHIZ%PW112929		79	0.6338109	2.2039535	0.0	3.1487587E-5	0.001	3905	tags=65%, list=26%, signal=87%	
PROTON MOTIVE FORCE-DRIVEN MITOCHONDRIAL ATP SYNTHESIS%GOBP%GO:0042776	PROTON MOTIVE FORCE-DRIVEN MITOCHONDRIAL ATP SYNTHESIS%GOBP%GO:0042776		61	0.6600838	2.2024124	0.0	3.0175604E-5	0.001	3192	tags=52%, list=22%, signal=67%	
NADH DEHYDROGENASE COMPLEX ASSEMBLY%GOBP%GO:0010257	NADH DEHYDROGENASE COMPLEX ASSEMBLY%GOBP%GO:0010257		58	0.6572541	2.2023213	0.0	2.8968581E-5	0.001	3111	tags=53%, list=21%, signal=67%	
SELENOCYSTEINE SYNTHESIS%REACTOME%R-HSA-2408557.2	SELENOCYSTEINE SYNTHESIS%REACTOME%R-HSA-2408557.2		90	0.6225522	2.2005513	0.0	2.7854405E-5	0.001	3905	tags=61%, list=26%, signal=82%	
EUKARYOTIC TRANSLATION ELONGATION%REACTOME%R-HSA-156842.2	EUKARYOTIC TRANSLATION ELONGATION%REACTOME%R-HSA-156842.2		90	0.62241197	2.1982715	0.0	2.682276E-5	0.001	3905	tags=61%, list=26%, signal=82%	
MITOCHONDRIAL GENE EXPRESSION%GOBP%GO:0140053	MITOCHONDRIAL GENE EXPRESSION%GOBP%GO:0140053		137	0.58544797	2.1966646	0.0	2.5864805E-5	0.001	2795	tags=42%, list=19%, signal=52%	
EUKARYOTIC TRANSLATION TERMINATION%REACTOME%R-HSA-72764.4	EUKARYOTIC TRANSLATION TERMINATION%REACTOME%R-HSA-72764.4		90	0.61676294	2.1934369	0.0	2.4972915E-5	0.001	3905	tags=59%, list=26%, signal=79%	
PROTEIN SYNTHESIS: TRYPTOPHAN%PATHWHIZ%PW120526	PROTEIN SYNTHESIS: TRYPTOPHAN%PATHWHIZ%PW120526		79	0.6311109	2.192652	0.0	2.4140483E-5	0.001	3905	tags=63%, list=26%, signal=85%	
RESPIRATORY ELECTRON TRANSPORT%REACTOME DATABASE ID RELEASE 83%611105	RESPIRATORY ELECTRON TRANSPORT%REACTOME DATABASE ID RELEASE 83%611105		101	0.6093597	2.1918042	0.0	2.336176E-5	0.001	3111	tags=44%, list=21%, signal=55%	
