"","logFC","logCPM","F","PValue","FDR","Expression"
"ARL10",-1.57993003112728,3.45925297032093,92.4713298503563,6.92651638513457e-09,6.309245483188e-05,"Down-regulated"
"FADS1",-1.04456064539899,7.68062804803928,90.1655496426304,8.51794988954773e-09,6.309245483188e-05,"Down-regulated"
"SCD",-1.49748898562056,9.8426130952977,80.4400738571116,2.14502464278007e-08,0.00010592131686048,"Down-regulated"
"LYPD1",1.63105094119682,4.93349162543863,52.0176203242967,6.03503183700774e-07,0.00179764407509114,"Up-regulated"
"CYP1B1",1.80597659451749,7.79142324065825,51.9793925605384,6.06738245946788e-07,0.00179764407509114,"Up-regulated"
"COL11A1",-4.17878421071618,2.06417107220048,49.7620570650987,8.3154570730848e-07,0.00203647068621716,"Down-regulated"
"P4HA1",-1.3439670763252,7.06095097609177,48.7586879107442,9.6228532493048e-07,0.00203647068621716,"Down-regulated"
"NFE2L3",-1.15823879134759,4.44809961112365,47.6465581864249,1.1342724484133e-06,0.00210038900634933,"Down-regulated"
"FAT1",-1.79186462684433,7.84801149546841,46.4336690233018,1.36141821610373e-06,0.00222599536634435,"Down-regulated"
"SLC2A3",-0.947033028417662,5.10810405744605,45.7860374975795,1.50291091204065e-06,0.00222599536634435,"Down-regulated"
"SLC7A6",-0.67648390703487,5.58486472070508,44.6255191779334,1.7988023578747e-06,0.00222599536634435,"Down-regulated"
"LAMA2",-2.11369348660157,6.53432687198919,44.6100557861698,1.80315542028704e-06,0.00222599536634435,"Down-regulated"
"SPRYD3",0.920532254337837,6.29302765739409,43.8269225575514,2.03956198607432e-06,0.00232415932782346,"Up-regulated"
"WFDC21P",-1.5400048552969,4.38218685885912,43.3136424529016,2.21295732003064e-06,0.00232980456118427,"Down-regulated"
"CCL11",-3.96997463240744,2.03321445691215,42.9144491838504,2.35905686632672e-06,0.00232980456118427,"Down-regulated"
"FBXL16",2.23272802030603,1.20402740814907,41.8913302074452,2.78444997090882e-06,0.00243907428750732,"Up-regulated"
"SDSL",1.39146890935369,4.56345537066324,41.8594649800371,2.79899168945756e-06,0.00243907428750732,"Up-regulated"
"STMN3",2.21664644256821,2.97729398355585,40.8410651389793,3.31086937278799e-06,0.00265907878088919,"Up-regulated"
"VLDLR",-0.965589091391994,5.71550424058177,40.663175240501,3.41045611157652e-06,0.00265907878088919,"Down-regulated"
"LRRC17",-2.07711039847249,3.56914388678027,39.9985356736626,3.8128306341576e-06,0.00282416365072054,"Down-regulated"
"POGLUT3",-0.890278404264457,4.70909392556177,39.4685279361116,4.17129837834666e-06,0.00291436756632345,"Down-regulated"
"ERV3-1",1.20072167232631,5.42088632731949,39.252310119595,4.32807388005373e-06,0.00291436756632345,"Up-regulated"
"FBN2",-2.48291030218053,5.70545825278028,37.9995160436281,5.37460120300554e-06,0.00341186077460008,"Down-regulated"
"SV2A",-1.05101197554749,5.00288731159094,37.8392443892176,5.52751846836789e-06,0.00341186077460008,"Down-regulated"
"FRAS1",-1.83156121757136,5.45725727297496,37.3969338792025,5.97499619023041e-06,0.00349422110882349,"Down-regulated"
"SLC5A3",-1.41052045940798,3.41548568778038,37.2496989121667,6.13269534422916e-06,0.00349422110882349,"Down-regulated"
"SLC16A14",1.98716927532027,0.574834137162197,36.1733168157598,7.43519172862696e-06,0.00407944186177333,"Up-regulated"
"ITGA1",-1.60709792428635,5.06991586891682,35.7591632597293,8.01528543231991e-06,0.00418737146252528,"Down-regulated"
"B3GALT2",-3.14214647574021,1.66262688680626,35.3427185181093,8.64931229339864e-06,0.00418737146252528,"Down-regulated"
"CCN1",-0.795093937589694,9.4390247256443,35.3094017500186,8.70237630806704e-06,0.00418737146252528,"Down-regulated"
