NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MRPL24	54	3.941640615463257	0.030165164	Yes	
row_1	MRPL23	144	3.3603322505950928	0.052964255	Yes	
row_2	MRPS7	172	3.2559704780578613	0.07907754	Yes	
row_3	MRPL57	200	3.169126272201538	0.10444543	Yes	
row_4	MRPL52	202	3.1647708415985107	0.13154139	Yes	
row_5	GADD45GIP1	218	3.102060317993164	0.15714847	Yes	
row_6	MRPL12	318	2.896522045135498	0.17528756	Yes	
row_7	MRPL41	327	2.87783145904541	0.19944535	Yes	
row_8	MRPS12	347	2.8477392196655273	0.22259793	Yes	
row_9	MRPS18A	388	2.7894065380096436	0.24382387	Yes	
row_10	MRPS18B	440	2.676006317138672	0.26332954	Yes	
row_11	MRPL28	487	2.6022448539733887	0.28254163	Yes	
row_12	MRPL54	583	2.4802656173706055	0.2973795	Yes	
row_13	AURKAIP1	621	2.432666540145874	0.31574717	Yes	
row_14	MRPL20	684	2.3472635746002197	0.33168426	Yes	
row_15	MRPL58	690	2.340311288833618	0.3514321	Yes	
row_16	MRPS2	713	2.3093042373657227	0.3697595	Yes	
row_17	MRPL21	736	2.281182289123535	0.3878455	Yes	
row_18	MRPS21	739	2.2797117233276367	0.4072769	Yes	
row_19	MRPL4	749	2.2718865871429443	0.42616585	Yes	
row_20	MRPS25	856	2.1633498668670654	0.43753666	Yes	
row_21	MRPL38	871	2.1512084007263184	0.4550503	Yes	
row_22	MRPL55	987	2.0484514236450195	0.46482375	Yes	
row_23	MRPL36	1007	2.029864549636841	0.48095635	Yes	
row_24	MRPL27	1153	1.9087547063827515	0.48749372	Yes	
row_25	MRPL14	1198	1.8726837635040283	0.50057966	Yes	
row_26	MRPL10	1270	1.817743182182312	0.51136065	Yes	
row_27	OXA1L	1328	1.7722764015197754	0.522702	Yes	
row_28	MRPL43	1329	1.772225022315979	0.5379134	Yes	
row_29	MRPL34	1354	1.755271315574646	0.5513495	Yes	
row_30	MRPS26	1389	1.7307941913604736	0.5638966	Yes	
row_31	MRPL2	1413	1.7149624824523926	0.57705474	Yes	
row_32	MRPS11	1438	1.698058009147644	0.58999985	Yes	
row_33	MRPL15	1525	1.6433318853378296	0.5982653	Yes	
row_34	MRPL51	1579	1.6067618131637573	0.6084576	Yes	
row_35	MRPS34	1628	1.5719084739685059	0.6186903	Yes	
row_36	MRPL32	1664	1.5458005666732788	0.62958163	Yes	
row_37	CHCHD1	1718	1.5118094682693481	0.638959	Yes	
row_38	MRPL37	1766	1.4840484857559204	0.64850545	Yes	
row_39	MRPL11	1843	1.4257099628448486	0.655582	Yes	
row_40	MRPS15	1846	1.4236268997192383	0.6676655	Yes	
row_41	MRPL17	2220	1.2368340492248535	0.65295386	Yes	
row_42	MRPL9	2244	1.2254695892333984	0.66191053	Yes	
row_43	MRPL18	2277	1.2121968269348145	0.6701422	Yes	
row_44	ERAL1	2624	1.0596206188201904	0.6557429	Yes	
row_45	MRPS31	2655	1.0458064079284668	0.6626822	Yes	
row_46	MRPS5	2733	1.0095082521438599	0.6661185	Yes	
row_47	MRPS30	2795	0.985459566116333	0.67043483	Yes	
row_48	MRPS36	3135	0.8565390706062317	0.65476775	No	
row_49	MRPS22	3197	0.8335751295089722	0.6577804	No	
row_50	MRPL40	3392	0.7671787738800049	0.6511922	No	
row_51	MRPL3	3469	0.7419782876968384	0.65240014	No	
row_52	MRPL49	3511	0.7321690917015076	0.65590054	No	
row_53	MRPS33	3513	0.7310917377471924	0.6621077	No	
row_54	MRPL1	3889	0.6173850297927856	0.64194345	No	
row_55	MRPS9	3928	0.6073365211486816	0.644576	No	
row_56	MRPS28	3944	0.6014382839202881	0.6487197	No	
row_57	MRRF	4317	0.49826914072036743	0.62773675	No	
row_58	MRPS24	4332	0.4951331317424774	0.631036	No	
row_59	MRPL22	4531	0.45437267422676086	0.62149125	No	
row_60	MRPL46	4679	0.42008882761001587	0.6151153	No	
row_61	MTRF1L	5003	0.3469104766845703	0.5961604	No	
row_62	MRPS14	5076	0.33244645595550537	0.59412485	No	
row_63	MRPL39	5137	0.3233177959918976	0.59282583	No	
row_64	MRPL48	5293	0.29329296946525574	0.5848183	No	
row_65	MRPS18C	5509	0.25182661414146423	0.5723808	No	
row_66	DAP3	5517	0.2509036064147949	0.574059	No	
row_67	MRPL13	5982	0.17129814624786377	0.54402256	No	
row_68	MRPS23	6808	0.06978593021631241	0.48860198	No	
row_69	MRPL47	7177	0.027582911774516106	0.46385062	No	
row_70	MRPL30	7509	-0.005066420882940292	0.44141838	No	
row_71	MRPL33	7978	-0.05443194508552551	0.4101072	No	
row_72	MRPL50	8227	-0.07908129692077637	0.39394617	No	
row_73	MRPL45	8436	-0.10285370796918869	0.38070527	No	
row_74	MRPS10	8959	-0.17281852662563324	0.3467435	No	
row_75	MRPS16	9174	-0.20210188627243042	0.33394703	No	
row_76	MRPL35	9305	-0.21882744133472443	0.32699797	No	
row_77	GFM2	9337	-0.22233150899410248	0.3268013	No	
row_78	MRPS35	9575	-0.2540619373321533	0.31288907	No	
row_79	MRPL42	9802	-0.28934863209724426	0.30002666	No	
row_80	MRPL44	10413	-0.39580675959587097	0.26200342	No	
row_81	MRPL16	10715	-0.4563821852207184	0.245482	No	
row_82	PTCD3	10858	-0.48428428173065186	0.23999655	No	
row_83	MRPS17	11159	-0.548867404460907	0.22433685	No	
row_84	MRPL19	11505	-0.6349666118621826	0.20636053	No	
row_85	MRPS6	12631	-0.9988434910774231	0.1385435	No	
row_86	MRPS27	12889	-1.1128549575805664	0.13064443	No	
